name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,corp_id
AUTOMATIC VENDING AND COFFEE SERVICE,CORPORATION,,,,,,,,,A011495,250109
1 STOP SEELEY LAKE CONVENIENCE STORE,PARTNERSHIP,,,,,,,,,A011542,250130
VALLEY BOOKKEEPING & TAX SERVICE,SOLE PROPRIETORSHIP,,,,,,,,,A012086,250362
MATTRESS MILL,CORPORATION,,,,,,,,,A012188,250396
HEALTH BENEFIT PLAN,CORPORATION,,,,,,,,,A025795,255555
D-K FARMS,PARTNERSHIP,,,,,,,,,A025950,255602
CSI MORTGAGE REPORTING,CORPORATION,,,,,,,,,A025984,255619
VAN VOAST ENTERPRISES,PARTNERSHIP,,,,,,,,,A026117,255662
WILDLIFE ALONG THE ROCKIES,SOLE PROPRIETORSHIP,,,,,,,,,A026241,255720
ROCKY RIDGE ANGUS,PARTNERSHIP,,,,,,,,,A026367,255764
TOWNHOUSE INNS OF MONTANA,CORPORATION,,,,,,,,,A026884,255930
SNOWCAP HYDROLOGY,SOLE PROPRIETORSHIP,,,,,,,,,A027154,256032
HAPPY CAMPER CAR WASH,CORPORATION,,,,,,,,,A027216,256059
KNUTE'S PACK & TACK,SOLE PROPRIETORSHIP,,,,,,,,,A027347,256106
KELLEM'S MONTANA SADDLERY,CORPORATION,,,,,,,,,A027427,256143
CONCISE LOGIC,PARTNERSHIP,,,,,,,,,A027619,256206
WHG PARTNERSHIP,PARTNERSHIP,,,,,,,,,A027823,256291
ZIG'S BUILDING MATERIALS,SOLE PROPRIETORSHIP,,,,,,,,,A027917,256331
FOOD CITY,CORPORATION,,,,,,,,,A028005,256366
RED WRECKER SERVICE,SOLE PROPRIETORSHIP,,,,,,,,,A051947,265287
TORGERSON FARMS PARTNERSHIP,PARTNERSHIP,,,,,,,,,A052081,265339
GOLD DUST CASINO,CORPORATION,,,,,,,,,A052215,265375
HUNTLEY LODGE,CORPORATION,,,,,,,,,A052262,265390
PEMBROKE CONSULTING SERVICES,SOLE PROPRIETORSHIP,,,,,,,,,A052306,265409
SUMMIT VALLEY BOTTLED WATER & CONDITIONING,CORPORATION,,,,,,,,,A052307,265410
HELENA'S OWN BOTTLED WATER,CORPORATION,,,,,,,,,A052308,265411
ROUND VALLEY IRON AND WOODS WORKS,CORPORATION,,,,,,,,,A052492,265467
MONTANA NUGGET CASINO,CORPORATION,,,,,,,,,A052534,265481
ROONEY'S QUALITY CONSTRUCTION & PLUMBING,CORPORATION,,,,,,,,,A052604,265500
D-TEL TECHNOLOGIES,SOLE PROPRIETORSHIP,,,,,,,,,A052960,265633
STEVON'S LANDSCAPE & SPRINKLER,CORPORATION,,,,,,,,,A053214,265732
MILLER CATTLE COMPANY OF COLORADO,CORPORATION,,,,,,,,,A053245,265745
FLATHEAD LAKE CRUISES,CORPORATION,,,,,,,,,A053350,265789
FLATHEAD LAKE SCENIC CRUISES,CORPORATION,,,,,,,,,A053615,265884
CRANE CREATIONS,SOLE PROPRIETORSHIP,,,,,,,,,A053771,265932
THE HIDEOUT CASINO,CORPORATION,,,,,,,,,A053986,266001
HEALTH CONSULTING RESOURCES,PARTNERSHIP,,,,,,,,,A054046,266023
RED LODGE BREWING COMPANY,CORPORATION,,,,,,,,,A054070,266034
HAVRE FORD,CORPORATION,,,,,,,,,A054128,266058
M&M DUMP TRUCK SERVICE,SOLE PROPRIETORSHIP,,,,,,,,,A054157,266070
HUFF CONSTRUCTION,CORPORATION,,,,,,,,,A054200,266090
PAS COMPUTERS,SOLE PROPRIETORSHIP,,,,,,,,,A054359,266140
SHEAR EXCITEMENT,CORPORATION,,,,,,,,,A054507,266191
JIREH CONSULTING SERVICES,SOLE PROPRIETORSHIP,,,,,,,,,A054567,266212
IN CAHOOTS FOR TEA,SOLE PROPRIETORSHIP,,,,,,,,,A054602,266228
NUTRA-LIX,CORPORATION,,,,,,,,,A054754,266287
OPEN ROAD BICYCLES AND NORDIC EQUIPMENT,CORPORATION,,,,,,,,,A054770,266294
FRAME IT,SOLE PROPRIETORSHIP,,,,,,,,,A054826,266319
WISHER'S AUTO RECYCLING,CORPORATION,,,,,,,,,A054905,266340
LAZY G MOTEL,CORPORATION,,,,,,,,,A055000,266375
TRINITY HOSPITAL OF WOLF POINT,CORPORATION,,,,,,,,,A055048,266393
RYE CREEK LODGE,CORPORATION,,,,,,,,,A055138,266427
CASH COW STOCK CLUB,PARTNERSHIP,,,,,,,,,A055154,266434
"LYNDON ADMINISTRATIVE SERVICES, INC.",CORPORATION,,,,,,,,,A055163,266438
TRADEMARK DESIGN,CORPORATION,,,,,,,,,A055311,266485
TRADEMARK INTERIORS,CORPORATION,,,,,,,,,A055312,266486
HAVRE RV PARK,CORPORATION,,,,,,,,,A055582,266592
FORDE NURSERY AND LANDSCAPING,CORPORATION,,,,,,,,,A055593,266596
DOGS & SUDS PET GROOMING,SOLE PROPRIETORSHIP,,,,,,,,,A055610,266602
WESTGATE REALTY,SOLE PROPRIETORSHIP,,,,,,,,,A055997,266731
ASSOCIATED AGENCIES INC. OF ILLINOIS,CORPORATION,,,,,,,,,A056172,266795
"ALTERATIONS, ETC.",SOLE PROPRIETORSHIP,,,,,,,,,A056282,266841
MID-RIVERS CELLULAR,LLC,,,,,,,,,A056558,266932
MID-RIVERS INTERNET,CORPORATION,,,,,,,,,A056560,266933
ROXY & KIDZ,SOLE PROPRIETORSHIP,,,,,,,,,A056619,266949
WINDYCREEK CONSULTING,SOLE PROPRIETORSHIP,,,,,,,,,A070971,271390
FIDDLER CREEK CABINS,SOLE PROPRIETORSHIP,,,,,,,,,A085592,276099
TAYLORS SERVICE MAX,CORPORATION,,,,,,,,,A085596,276102
SEAMS PERFECT,SOLE PROPRIETORSHIP,,,,,,,,,A085794,276154
WCS TELECOM,CORPORATION,,,,,,,,,A085845,276165
SW & CREW,PARTNERSHIP,,,,,,,,,A085850,276167
GARY'S PLUMBING & HEATING,SOLE PROPRIETORSHIP,,,,,,,,,A085978,276198
GRAIN PRO DISTRIBUTING,SOLE PROPRIETORSHIP,,,,,,,,,A086018,276211
MOUNTAIN COUNTRY CARPET CARE,CORPORATION,,,,,,,,,A086022,276213
MITCHELL GOLF,CORPORATION,,,,,,,,,A086080,276220
GLACIER OUTDOOR CENTER,CORPORATION,,,,,,,,,A086090,276225
BENJAMIN NEWS GROUP,CORPORATION,,,,,,,,,A086188,276254
WILD WEST OUTFITTERS,LLC,,,,,,,,,A086222,276267
GLACIER CLEAN,CORPORATION,,,,,,,,,A086282,276279
THE PEAK HEALTH AND WELLNESS CENTER,LLC,,,,,,,,,A086368,276303
LAST BEST PLAYS,PARTNERSHIP,,,,,,,,,A086504,276342
CHS FARMERS ELEVATOR,CORPORATION,,,,,,,,,A086510,276345
MISSION MOUNTAIN FARMS,LLC,,,,,,,,,A086663,276391
"HARDTOINSURE INSURANCE AGENCY, INC.",CORPORATION,,,,,,,,,A086678,276399
OX BOW RANCH,LLC,,,,,,,,,A086708,276416
NADIR ZENITH INCORPORATED,CORPORATION,,,,,,,,,A086760,276431
BIG SKY CONVENIENCE,CORPORATION,,,,,,,,,A086778,276438
"SORENSEN CONSTRUCTION, INC.",CORPORATION,,,,,,,,,A086805,276450
MISSION MTN FARMS,LLC,,,,,,,,,A086911,276476
MISSION MTN ANGUS RANCH,LLC,,,,,,,,,A086912,276477
MONTANA NEWS,CORPORATION,,,,,,,,,A086961,276490
NORTHERN NEWS NETWORK,CORPORATION,,,,,,,,,A086962,276491
LITTLE BUFFALO ENTERPRISES,PARTNERSHIP,,,,,,,,,A087091,276536
LITTLE BUFFALO CONSTRUCTION,PARTNERSHIP,,,,,,,,,A087122,276543
SPECTRA CONTRACT FLOORING,CORPORATION,,,,,,,,,A087124,276544
PRAETORIAN,SOLE PROPRIETORSHIP,,,,,,,,,A087209,276566
Y BAR T RANCH,PARTNERSHIP,,,,,,,,,A087240,276574
ETERM.COM,CORPORATION,,,,,,,,,A087278,276587
GLASS PLUS SERVICES,LLC,,,,,,,,,A087303,276592
NEW DIRECTIONS BEAUTY SALON,PARTNERSHIP,,,,,,,,,A087390,276616
CHS BIG SKY,CORPORATION,,,,,,,,,A087398,276620
MAX CASINO & SPORTS,CORPORATION,,,,,,,,,A087450,276644
MAKIN WAVES STYLIN SALON,SOLE PROPRIETORSHIP,,,,,,,,,A087454,276647
STREEPER FAMILY PARTNERSHIP,PARTNERSHIP,,,,,,,,,A087557,276683
WWW.MADEINMONTANA.COM,CORPORATION,,,,,,,,,A087627,276706
KELLY'S SIGNS,CORPORATION,,,,,,,,,A087630,276707
MOUNTAIN EQUIPMENT REPAIR,CORPORATION,,,,,,,,,A087640,276712
ROPERS LOUNGE & CASINO,CORPORATION,,,,,,,,,A088438,276961
VALLEY DRUG & VARIETY,CORPORATION,,,,,,,,,A088490,276977
MID-RIVERS COMMUNICATIONS..,LLC,,,,,,,,,A088574,277000
SHADY GRADY'S CONCESSIONS,SOLE PROPRIETORSHIP,,,,,,,,,A088632,277030
LAST BEST PLACE CANDY,CORPORATION,,,,,,,,,A088648,277039
MONTANA CANDY COMPANY,CORPORATION,,,,,,,,,A088649,277040
HOFELDT PREMIUM MEATS,PARTNERSHIP,,,,,,,,,A088683,277052
ELK CREEK ENTERPRISES,SOLE PROPRIETORSHIP,,,,,,,,,A088748,277075
SUIT YOUR FANCY,CORPORATION,,,,,,,,,A088884,277106
FRUGALS,CORPORATION,,,,,,,,,A088907,277117
STUDIO 1047,PARTNERSHIP,,,,,,,,,A088989,277150
DC COMMUNICATION,CORPORATION,,,,,,,,,A089018,277159
POPLAR COMMUNITY HOSPITAL,CORPORATION,,,,,,,,,A089102,277179
THE ART DEPT.,SOLE PROPRIETORSHIP,,,,,,,,,A089463,277280
FRISKE BEANS ESPRESSO,PARTNERSHIP,,,,,,,,,A089481,277284
PEIFFER FOREST MAINTENANCE,SOLE PROPRIETORSHIP,,,,,,,,,A089513,277289
CHA CONVENIENT CARE,CORPORATION,,,,,,,,,A089542,277298
BILLINGS GAZETTE COMMUNICATIONS,CORPORATION,,,,,,,,,A089550,277300
DOUBLE FORK RANCH,LLC,,,,,,,,,A089559,277302
SAIL MONTANA,LLC,,,,,,,,,A089633,277323
