1,ONE FAMILY
2,TWO FAMILY
3,THREE FAMILY
4,FOUR FAMILY
5,MULTI-FAMILY
6,RES. W/BUSI USE
7,GARDEN
8,TOWNHOUSE
9,ELEVATOR
10,ROOMING HOUSE
11,BANK BUILDING
12,DRIVE-IN ONLY
14,BOWLING ALLEY
16,DAY CARE
17,CLUB HOUSE
18,BATH HOUSE
19,SALES & SERVICE
20,SERVICE GARAGE
21,PARKING DECK
22,OIL & LUBE
23,CAR WASH
24,WAND CAR WASH
25,SERVICE STATION
27,OTHER/BOOTH
28,HOTEL/MOTEL-FULL
29,HOTEL/MOTEL-LTD
30,MOTEL EXT STAY
31,HOTEL HIGH-RISE,
32,HOTEL/MOTEL-IND
34,TYPICAL OFFICE
35,OFC/RTL/RES CONV
36,MEDICAL TYPE
37,OFFICE/APARTMENT
38,OFFICE BLDG-H.R.
39,RESTAURANT
40,FAST FOOD
41,PLAIN DRIVE
42,STORE TYPE BLDG
43,BAR/CLUB
44,CAFETERIA
46,FOOD MART
47,SINGLE TENANT
48,MULTI TENANT
49,SUPERMARKET
50,DISCOUNT STORE
51,DEPARTMENT STORE
52,BULK RETAIL
53,MALL
54,COMMUNITY CTR
55,NHBD CENTER
56,JUNIOR ANCHOR
57,STORES W/APTS
58,STORES W/OFCS
59,STORES W/ OFC & APT
60,JUNIOR DEPT STORE
62,AIRPORT TERMINAL
63,VET CLINIC
64,CLINIC
65,CLUB
66,CHURCH
67,DORMITORY
68,FIRE STATION
69,GYMNASIUM
70,HOSPITAL
71,LIBRARY
72,MOBILE HOME
73,MUNICIPAL BLDG
74,NURSING HOME
75,FUNERAL HOME
76,RETIREMENT HOME
77,SCHOOL
78,THEATER
79,LIGHT MANUF
80,MANUFACTURING
81,PHARM PLANT
82,PREFAB WHSE
83,WAREHOUSE
84,BULK/DIST WHSE
85,FLEX WAREHOUSE
86,MINI WAREHOUSE
87,BOTTLING PLANT
88,CHEMICAL PLANT
89,BIOLOGICAL PLANT
90,R & D
91,HANGAR
92,POWER HOUSE
94,TELEPHONE FIX
95,TRUCK TERMINAL
96,LABORATORY
98,LAUNDRY
99,SPECIAL WRITE-INS
100,STUDENT APTS
101,LUXURY APTS
102,MUSEUM
103,CAR SALES
104,FRATERNITY
105,SORORITY
106,POST OFFICE
107,ARMORY
108,GROUP HOME
109,RESTROOM BUILDING
110,GUARD HOUSE
111,PRISON/JAIL
113,SPORTS ARENA
114,ROOMING HSE CONV
210,PARKING DECK (PUB)
340,TYPICAL OFFICE (NET)
360,MEDICAL OFFICE (GROSS)
