AFYA PUBLIC CHARTER SCHOOL, BALTIMORE, MD
AG MONTESSORI SCHOOL, UNIONTOWN, PA
AGAPE CHRISTIAN ACADEMY, MOORE HAVEN, FL
AGAPE CHRISTIAN HIGH SCHOOL, MARION, IL
AGAPE JR ACADEMY, LAWRENCEVILLE, GA
AGATHOS CLASSICAL SCHOOL, COLUMBIA, TN
AGBU ALEXMARIE MANOOGIAN SCHOOL, SOUTHFIELD, MI
AGBU MANOOGIAN-DEMIRDJIAN, CANOGA PARK, CA
AGBU VATCHE AND TAMAR MANOUKIAN HIGH SCHOOL, PASADENA, CA
AGGIE ROBERTS ELEMENTARY SCHOOL, HENDERSON, NV
AGNES COTTON ACADEMY, SAN ANTONIO, TX
AGNES MEMORIAL CHRISTIAN ACADEMEY, OAKLAND, CA
AGNES SCOTT COLLEGE, DECATUR, GA
AGNEW MIDDLE, MESQUITE, TX
AGRICOLA ELEMENTARY SCHOOL, LUCEDALE, MS
AGUEDA JOHNSTON MIDDLE SCHOOL, ORDOT, GU
AGUILA ELEMENTARY SCHOOL, AGUILA, AZ
AGUILAR JUNIOR-SENIOR HIGH SCHOOL, AGUILAR, CO
AGUILAR SCHOOL, TEMPE, AZ
AGUSTIN CABRERA, CAROLINA, PR
AGWSR ELEMENTARY AT WELLSBURG, WELLSBURG, IA
AGWSR MIDDLE SCHOOL, WELLSBURG, IA
AHLF JUNIOR HIGH SCHOOL, SEARCY, AR
AHRENS EDUCATIONAL RESOURCE CENTER, LOUISVILLE, KY
AHSTW ELEMENTARY SCHOOL, AVOCA, IA
AHSTW SECONDARY SCHOOL, AVOCA, IA
AICHHORN SCHOOL (THE), NEW YORK, NY
AIEA ELEMENTARY SCHOOL, AIEA, HI
AIKEN PERFORMING ARTS ACADEMY CHARTER, AIKEN, SC
AIKENS FBC PRESCHOOL, AIKEN, SC
AILEEN COLBURN ELEMENTARY, ATWATER, CA
AIM HIGH SCHOOL, SNOHOMISH, WA
AIMS COMMUNITY COLLEGE - LOVELAND, LOVELAND, CO
AINSWORTH LITTLE PAWS PRESCHOOL, AINSWORTH, NE
AIRLINE PARK ACADEMY FOR ADVANCED STUDIES, METAIRIE, LA
AITKIN ALTERNATIVE LEARNING PROGRAM, AITKIN, MN
AITON ES, WASHINGTON, DC
AKAULA SCHOOL, KUALAPUU, HI
AKI KUROSE MIDDLE SCHOOL, SEATTLE, WA
AKIBA ACADEMY OF DALLAS, DALLAS, TX
AKIN ROAD ELEMENTARY, FARMINGTON, MN
AKRON ELEMENTARY SCHOOL, AKRON, NY
AKRON PREPARATORY SCHOOL, AKRON, OH
AL HUDA ACADEMY, DURHAM, NC
AL KENNEDY HIGH SCHOOL, COTTAGE GROVE, OR
AL MADINA SCHOOL OF RICHMOND, MIDLOTHIAN, VA
AL MADRASA AL ISLAMIYA, BROOKLYN, NY
AL-AMAL SCHOOL, FRIDLEY, MN
AL-ARQAM ISLAMIC SCHOOL, SACRAMENTO, CA
AL-HADI SCHOOL OF ACCELERATIVE LEARNING, HOUSTON, TX
AL-HAMRA ACADEMY, SHREWSBURY, MA
AL-HIKMAH ELEMENTARY SCHOOL, PROSPECT PARK, NJ
AL-HUDA ISLAMIC SCHOOL, HAWTHORNE, CA
AL-IMAN SCHOOL, RALEIGH, NC
AL-NOOR SCHOOL, BROOKLYN, NY
AL-QALAM ACADEMY, SPRINGFIELD, VA
ALABAMA CHRISTIAN ACADEMY, MONTGOMERY, AL
ALAFIA ELEMENTARY SCHOOL, VALRICO, FL
ALAIEDON ELEMENTARY SCHOOL, MASON, MI
ALAIN LEROY LOCKE 3 COLLEGE PREPARATORY ACADEMY, LOS ANGELES, CA
ALAKA'I O KAUA'I CHARTER SCHOOL, KOLOA, HI
ALAKANUK SCHOOL, ALAKANUK, AK
ALAMANCE COMMUNITY COLLEGE - BURLINGTON CAMPUS, BURLINGTON, NC
ALAMEDA ELEMENTARY, LAS CRUCES, NM
ALAMEDA ELEMENTARY SCHOOL, PORTLAND, OR
ALAMEDA HIGH, ALAMEDA, CA
ALAMITOS INTERMEDIATE, GARDEN GROVE, CA
ALAMO ELEMENTARY, SAN FRANCISCO, CA
ALAMO ELEMENTARY, VACAVILLE, CA
ALAMOSA PARK ELEMENTARY, OCEANSIDE, CA
ALAN B SHEPARD ELEM SCHOOL, BOURBONNAIS, IL
ALAN B SHEPARD MIDDLE SCHOOL, DEERFIELD, IL
ALAN SHAWN FEINSTEIN MS OF COV, COVENTRY, RI
ALAN SHEPARD ELEMENTARY SCHOOL, LONG GROVE, IA
ALBA, SAN DIEGO, CA
ALBA-GOLDEN H S, ALBA, TX
ALBAN ELEMENTARY SCHOOL, ST. ALBANS, WV
ALBANY AVENUE SCHOOL, LINDENHURST, NY
ALBANY ELEMENTARY SCHOOL, ALBANY, KY
ALBANY HIGH, ALBANY, CA
ALBANY HIGH, ALBANY, MO
ALBANY HIGH, ALBANY, WI
ALBANY PARK MULTICULTURAL ELEM, CHICAGO, IL
ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER SCHOOL, CHARLOTTESVILLE, VA
ALBERT A. MICHELSON ELEMENTARY, MURPHYS, CA
ALBERT EINSTEIN ACAD LTRS ARTS SCIS - AQUA DULCE PART. ACAD, AGUA DULCE, CA
ALBERT EINSTEIN CONTINUATION, NORTH HILLS, CA
ALBERT F. ARGENZIANO SCHOOL AT LINCOLN PARK, SOMERVILLE, MA
ALBERT H BANGERT ELEMENTARY, NEW BERN, NC
ALBERT LEONARD MIDDLE SCHOOL, NEW ROCHELLE, NY
ALBERT R. LYMAN MIDDLE, BLANDING, UT
ALBERT S HALL SCHOOL, WATERVILLE, ME
ALBERT SCHWEITZER ELEMENTARY SCHOOL, WESTLAND, MI
ALBERTA MARTONE ELEMENTARY, MODESTO, CA
ALBION ELEMENTARY, ALBION, CA
ALBION ELEMENTARY SCHOOL, ALBION, ME
ALBRIGHT MIDDLE, HOUSTON, TX
ALC AT MOUNTAIN VIEW, CENTREVILLE, VA
ALC EXTENDED DAY, MINNEAPOLIS, MN
ALCONA COMMUNITY HIGH SCHOOL, LINCOLN, MI
ALCOTT ELEMENTARY, MILWAUKEE, WI
ALCOVA ELEMENTARY, ALCOVA, WY
ALDAR ACADEMY, SACRAMENTO, CA
ALDEN MIDDLE SCHOOL, ALDEN, NY
ALDEN PRIMARY AT TOWNLINE, ALDEN, NY
ALDEN-CONGER ELEMENTARY, ALDEN, MN
ALDER CREEK MIDDLE, TRUCKEE, CA
ALDERSGATE CHRISTIAN ACADEMY, CINCINNATI, OH
ALDERWOOD ELEMENTARY SCHOOL, BELLINGHAM, WA
ALDO LEOPOLD CHARTER, SILVER CITY, NM
ALDRIDGE ELEM SCHOOL, CHICAGO, IL
ALEDO H S, ALEDO, TX
ALEDO MIDDLE, ALEDO, TX
ALEE ACADEMY CHARTER SCHOOL, EUSTIS, FL
ALEX ES, ALEX, OK
ALEX GREEN ELEMENTARY, WHITES CREEK, TN
ALEX M MARTINO JR HIGH SCHOOL, NEW LENOX, IL
ALEX SANGER EL, DALLAS, TX
ALEXANDER ACADEMY, LUNENBURG, MA
ALEXANDER CENTRAL HIGH, TAYLORSVILLE, NC
ALEXANDER CITY MIDDLE SCHOOL, ALEXANDER CITY, AL
ALEXANDER DAWSON SCHOOL, LAFAYETTE, CO
ALEXANDER DAWSON SCHOOL, LAS VEGAS, NV
ALEXANDER DONIPHAN ELEM., LIBERTY, MO
ALEXANDER ELEM., SLATER, MO
