name,city,state,address,category
APOSTOLIC BIBLE INSTITUTE CHRISTIAN ACADEMY,OAKDALE,MN,6944 HUDSON BLVD,MIDDLE
APOSTOLIC CHRISTIAN ACADEMY,MARYVILLE,TN,1723 WILLIAM BLOUNT DR,MIDDLE
A L HAGEN JUNIOR HIGH SCHOOL,DICKINSON,ND,402 4TH ST W,MIDDLE
APOSTOLIC CHRISTIAN ACADEMY,NORTH VERNON,IN,710 E COUNTY ROAD 160 N,MIDDLE
APOSTOLIC CHRISTIAN ACADEMY,OPELOUSAS,LA,637 MELANCON ST,MIDDLE
APOSTOLIC CHRISTIAN ACADEMY,SOMERSET,PA,141 FORWARD BLVD,MIDDLE
APOSTOLIC CHRISTIAN SCHOOL,KNOXVILLE,TN,5020 PLEASANT RIDGE RD,MIDDLE
APOSTOLIC CHRISTIAN SCHOOL,SHELBYVILLE,IN,1500 MILLER AVE,MIDDLE
APOSTOLIC INSTIT OF MISSOURI,DIGGINS,MO,3710 NORMANDY RD,MIDDLE
APOSTOLIC LIGHTHOUSE CHRISTIAN SCHOOL,SILER CITY,NC,701 N 2ND AVE,MIDDLE
APOSTOLIC PRAISE CHRISTIAN ACADEMY,DIXON,NM,JCT 75 CTY RD 0063 #8,MIDDLE
APOSTOLIC REVIVAL CENTER CHRISTIAN SCHOOL,FORT MYERS,FL,2100 BARDEN ST,MIDDLE
"APOSTOLIC WORSHOP CHILD DEVELOPMENT, INC.",ORLANDO,FL,8001 SILVER STAR RD,MIDDLE
APPALACHIA ELEMENTARY,APPALACHIA,VA,3965 KENT JUNCTION ROAD,MIDDLE
A LEARNING DAY CARE CENTER,HOMESTEAD,FL,17 NE 1ST RD,MIDDLE
APPALACHIAN  SCHOOL,ONEONTA,AL,350 COUNTY HIGHWAY 12,MIDDLE
APPALACHIAN CHRISTIAN ACADEMY,MANCHESTER,KY,168 SDA SCHOOL RD,MIDDLE
A MOTHER'S TOUCH CREATIVE LEARNING CENTER,ARLINGTON HEIGHTS,IL,125 N DRYDEN AVE,MIDDLE
A MOTHERS TOUCH LEARNING ACADEMY,DES PLAINES,IL,1666 RAND RD,MIDDLE
A NEW WORLD OF MONTESSORI,DANVILLE,CA,101 SONORA AVE,MIDDLE
A PERFECT PLACE 4 KIDZ,MIAMI GARDENS,FL,18441 NW 2ND AVE STE 112,MIDDLE
A PHILIP RANDOLPH TECHNICAL HIGH SCHOOL,DETROIT,MI,17101 HUBBELL ST,MIDDLE
APPLE ACADEMY CHARTER PUBLIC,LOS ANGELES,CA,4920 S. W.ERN AVE.,MIDDLE
A PLACE TO GROW,OJAI,CA,414 E. OJAI AVE.,MIDDLE
A PLUS LEARNING ACADEMY,LAKE CITY,FL,810 SW FAITH RD,MIDDLE
A PLUS PREPARATORY LEARNING ACADEMY,ELLENWOOD,GA,100 DUDLEY DR,MIDDLE
APPLE BLOSSOMS CHILD CENTER,MANCHESTER,NH,1 SUNDIAL AVE STE 117,MIDDLE
A RAINBOW OF FRIENDS PRESCHOOL,COLORADO SPRINGS,CO,9355 PEACEFUL VALLEY RD,MIDDLE
A STEP AHEAD,FERNLEY,NV,945 N CLOVER LN,MIDDLE
A STEP AHEAD LEARNING CENTER,REX,GA,340 WILKERSON RD,MIDDLE
A STEP UP @ IMMOKALEE,IMMOKALEE,FL,701 IMMOKALEE DR,MIDDLE
A STEP UP ACADEMY,JENKINTOWN,PA,520 MEETINGHOUSE RD,MIDDLE
A STEP UP INC.,EAST GREENWICH,RI,88 CROMPTON RD,MIDDLE
A UNIQUE LEARNING ACADEMY,LITHONIA,GA,7290 COVINGTON HWY,MIDDLE
APPLE GROVE,ORRVILLE,OH,12899 HACKETT RD,MIDDLE
APPLE GROVE SCHOOL,DOVER,DE,2391 HAZLETTVILLE RD,MIDDLE
APPLE HILL,DUNDEE,OH,8164 TR 662,MIDDLE
APPLE MONTESSORI OF HOBOKEN,HOBOKEN,NJ,1055 MAXWELL LN,MIDDLE
APPLE MONTESSORI OF METUCHEN,METUCHEN,NJ,12 CENTER ST,MIDDLE
APPLE MONTESSORI OF WAYNE,WAYNE,NJ,25 NEVINS RD,MIDDLE
APPLE MONTESSORI SCHOOL,BETHESDA,MD,7210 HIDDEN CREEK RD,MIDDLE
APPLE MONTESSORI SCHOOL OF EDGEWATER,EDGEWATER,NJ,8 ADELAIDE PL,MIDDLE
APPLE MONTESSORI SCHOOL OF MORRIS PLAINS,MORRIS PLAINS,NJ,1339 LITTLETON RD,MIDDLE
APPLE MONTESSORI SCHOOL OF OAKLAND,OAKLAND,NJ,192 RAMAPO VALLEY RD,MIDDLE
APPLE MONTESSORI SCHOOL OF RANDOLPH,RANDOLPH,NJ,470 MILLBROOK AVE,MIDDLE
A VILLAGE GREEN MONTESSORI,LIBERTYVILLE,IL,125 W CHURCH ST,MIDDLE
APPLE MONTESSORI SCHOOLS - HOBOKEN,HOBOKEN,NJ,220 SINATRA DR,MIDDLE
