federal_offense,misdemeanor,total,detained_or_awaiting_trial,felony,snapshot_date,id,source_url,source_url1
0.0,6.0,62.0,52,4,2020-05-01,8996,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
1.0,1.0,35.0,27,6,2020-05-01,8998,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,16.0,102.0,72,14,2020-05-01,8999,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,23.0,127.0,104,0,2020-05-01,9003,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,15.0,60.0,33,12,2020-05-01,9004,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,48.0,167.0,113,6,2020-05-01,9005,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,51.0,206.0,122,33,2020-05-01,9006,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,28.0,186.0,149,9,2020-05-01,9001,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,6.0,45.0,39,0,2020-05-01,9002,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,4.0,50.0,35,11,2020-05-01,9007,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,27.0,166.0,128,11,2020-05-01,9008,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,2.0,20.0,2,16,2020-05-01,9048,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
69.0,2.0,136.0,56,9,2020-05-01,9011,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0.0,1.0,24.0,22,1,2020-05-01,9012,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
2.0,2.0,42.0,38,0,2020-05-01,9013,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2020.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
