name,city,state,address,zip
ST. MARTIN OF TOURS SCHOOL,SAN JOSE,CA,300 O＇CONNOR DR,95128
ST. MARY OF THE ASSUMPTION SCHOOL,SANTA MARIA,CA,424 E CYPRESS ST,93454
ST. MARY OF THE IMMACULATE CONCEPTION,LOS GATOS,CA,219 BEAN AVE,95030
ST. MARY SCHOOL,ESCONDIDO,CA,130 E 13TH AVE,92025
ST. MARY STAR OF THE SEA ELEMENTARY,OCEANSIDE,CA,515 WISCONSIN AVE,92054
ST. MARY'S ACADEMY,INGLEWOOD,CA,701 GRACE AVE,90301
ST. MARY'S SCHOOL,ALISO VIEJO,CA,7 PURSUIT,92656
ST. MARYS SCHOOL,EL CENTRO,CA,700 S WATERMAN AVE,92243
ST. MATTHEW'S EPISCOPAL DAY SCHOOL,SAN MATEO,CA,16 BALDWIN AVE,94401
ST. MATTHIAS ELEMENTARY SCHOOL,HUNTINGTON PARK,CA,7130 CEDAR ST,90255
ST. MEL,FAIR OAKS,CA,4745 PENNSYLVANIA AVE,95628
ST. MEL ELEMENTARY,WOODLAND HILLS,CA,20874 VENTURA BLVD,91364
ST. MICHAEL ELEMENTARY,LOS ANGELES,CA,1027 W 87TH ST,90044
ST. MICHAEL SCHOOL,LIVERMORE,CA,345 CHURCH ST,94550
ST. MICHAEL'S CHRISTIAN ACADEMY,SAN CLEMENTE,CA,107 W MARQUITA,92672
ST. MICHAEL'S EPISCOPAL DAY SCHOOL,CARMICHAEL,CA,2140 MISSION AVE,95608
ST. NORBERT CATHOLIC SCHOOL,ORANGE,CA,300 E TAFT AVE,92865
ST. ODILIA ELEMENTARY,LOS ANGELES,CA,5300 HOOPER AVE.,90011
ST. PATRICK ELEMENTARY,NORTH HOLLYWOOD,CA,10626 ERWIN ST,91606
ST. PATRICK ELEMENTARY,SAN JOSE,CA,51 N 9TH ST,95112
ST. PATRICK SCHOOL,LARKSPUR,CA,120 KING ST,94939
ST. PATRICK SCHOOL,RODEO,CA,907 SEVENTH ST,94572
ST. PATRICK SUCCEED ACADEMY,SACRAMENTO,CA,5945 FRANKLIN BLVD,95824
ST. PATRICK'S ELEMENTARY,SAN DIEGO,CA,3014 CAPPS ST,92104
ST. PATRICK'S EPISCOPAL DAY SCHOOL,THOUSAND OAKS,CA,1 CHURCH RD,91362
