name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
AQUAFINA BOTTLED WATER,TROPICAL SMOOTHIE CAFE,NATIONAL,0,0,0,20,0,0,0,0
BREWED SWEET TEA,TROPICAL SMOOTHIE CAFE,NATIONAL,250,0,0,25,62,0,60,0
COKE ZERO,TROPICAL SMOOTHIE CAFE,NATIONAL,0,0,0,85,0,0,0,0
DASANI BOTTLED WATER,TROPICAL SMOOTHIE CAFE,NATIONAL,0,0,0,20,0,0,0,0
MINUTE MAID LEMONADE,TROPICAL SMOOTHIE CAFE,NATIONAL,270,0,0,200,75,0,72,0
NESTLE PURE LIFE BOTTLED WATER,TROPICAL SMOOTHIE CAFE,NATIONAL,0,0,0,20,0,0,0,0
ORGANIC HALF TEA HALF LEMONADE,TROPICAL SMOOTHIE CAFE,NATIONAL,100,0,0,0,25,0,25,0
ORGANIC HONEY GREEN TEA,TROPICAL SMOOTHIE CAFE,NATIONAL,70,0,0,15,19,0,19,0
ORGANIC PEACH TEA,TROPICAL SMOOTHIE CAFE,NATIONAL,100,0,0,20,25,0,25,0
BAJA CHICKEN BOWL,TROPICAL SMOOTHIE CAFE,NATIONAL,470,21,95,1480,37,9,7,33
BUFFALO CHICKEN BOWL,TROPICAL SMOOTHIE CAFE,NATIONAL,420,25,100,2550,16,4,6,29
CARIBBEAN JERK CHICKEN BOWL,TROPICAL SMOOTHIE CAFE,NATIONAL,440,12,95,1350,52,6,24,33
HUMMUS VEGGIE BOWL,TROPICAL SMOOTHIE CAFE,NATIONAL,620,42,35,1170,48,11,9,13
SUPERGREEN CAESAR CHICKEN BOWL,TROPICAL SMOOTHIE CAFE,NATIONAL,570,43,150,1140,13,5,3,33
THAI CHICKEN BOWL,TROPICAL SMOOTHIE CAFE,NATIONAL,380,13,65,1160,40,5,22,26
ALL AMERICAN WRAP,TROPICAL SMOOTHIE CAFE,NATIONAL,430,20,145,1160,37,0,1,22
PEANUT BUTTER BANANA CRUNCH FLATBREAD,TROPICAL SMOOTHIE CAFE,NATIONAL,590,24,0,730,77,7,22,18
SOUTHWEST WRAP,TROPICAL SMOOTHIE CAFE,NATIONAL,580,36,170,1170,38,2,2,24
CHOCOLATE CHUNK COOKIE,TROPICAL SMOOTHIE CAFE,NATIONAL,330,18,35,300,39,3,22,5
SNICKERDOODLE COOKIE,TROPICAL SMOOTHIE CAFE,NATIONAL,290,11,50,330,43,0,22,5
ALMONDS,TROPICAL SMOOTHIE CAFE,NATIONAL,40,3,0,0,2,0,0,2
CHIA SEEDS,TROPICAL SMOOTHIE CAFE,NATIONAL,45,2,0,0,4,3,0,1
GINGER,TROPICAL SMOOTHIE CAFE,NATIONAL,0,0,0,0,1,0,0,0
GROUND FLAXSEED,TROPICAL SMOOTHIE CAFE,NATIONAL,20,2,0,0,1,1,0,1
MATCHA GREEN TEA,TROPICAL SMOOTHIE CAFE,NATIONAL,15,0,0,0,4,0,4,0
MORINGA POWDER,TROPICAL SMOOTHIE CAFE,NATIONAL,10,0,0,0,2,0,0,2
PEANUT BUTTER,TROPICAL SMOOTHIE CAFE,NATIONAL,190,15,0,140,4,2,3,8
SPINACH KALE SUPER PACK,TROPICAL SMOOTHIE CAFE,NATIONAL,15,0,0,30,2,0,0,1
WHOLE GRAIN OATS,TROPICAL SMOOTHIE CAFE,NATIONAL,70,0,0,0,15,3,0,2
KIDS CHEESE QUESADILLA,TROPICAL SMOOTHIE CAFE,NATIONAL,400,19,45,900,37,0,0,19
KIDS CHEESE QUESADILLA WITH CHICKEN,TROPICAL SMOOTHIE CAFE,NATIONAL,480,21,90,1160,38,0,0,33
KIDS HAM CHEDDAR WRAP,TROPICAL SMOOTHIE CAFE,NATIONAL,380,16,60,1260,37,0,1,23
KIDS TURKEY CHEDDAR WRAP,TROPICAL SMOOTHIE CAFE,NATIONAL,370,14,60,1050,37,0,1,24
BBQ PORK QUESADILLA,TROPICAL SMOOTHIE CAFE,NATIONAL,630,27,55,1960,78,1,40,18
GUAVA MARGARITA WITH SPLENDA,TROPICAL SMOOTHIE CAFE,NATIONAL,150,0,0,0,37,7,25,2
GUAVA MARGARITA WITH TURBINADO,TROPICAL SMOOTHIE CAFE,NATIONAL,360,0,0,5,90,7,79,2
WATERMELON MOJITO WITH SPLENDA,TROPICAL SMOOTHIE CAFE,NATIONAL,160,0,0,5,40,2,33,1
WATERMELON MOJITO WITH TURBINADO,TROPICAL SMOOTHIE CAFE,NATIONAL,370,0,0,10,93,2,87,1
ISLAND CHICKEN QUESADILLA,TROPICAL SMOOTHIE CAFE,NATIONAL,570,27,80,1960,51,2,9,29
SANTA FE CHICKEN QUESADILLA,TROPICAL SMOOTHIE CAFE,NATIONAL,600,28,100,2270,50,3,5,35
