ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE
27687,VT,Vermont,"White River Junction",Windsor,43.663431,-72.350351
27688,VT,Vermont,Whiting,Addison,43.874972,-73.213312
27689,VT,Vermont,Whitingham,Windham,42.790071,-72.856001
27690,VT,Vermont,Wilder,Windsor,43.672778,-72.309167
27691,VT,Vermont,Williamstown,Orange,44.118191,-72.53811
27692,VT,Vermont,Williamsville,Windham,42.948151,-72.658406
27693,VT,Vermont,Williston,Chittenden,44.436745,-73.095704
27694,VT,Vermont,Wilmington,Windham,42.881216,-72.861316
27695,VT,Vermont,Windsor,Windsor,43.476032,-72.410998
27696,VT,Vermont,Winooski,Chittenden,44.494898,-73.187413
27697,VT,Vermont,Wolcott,Lamoille,44.555753,-72.484416
27698,VT,Vermont,Woodbury,Washington,44.432507,-72.417766
27699,VT,Vermont,Woodstock,Windsor,43.62482,-72.538455
27700,VT,Vermont,Worcester,Washington,44.394389,-72.560925
27701,WA,Washington,Aberdeen,"Grays Harbor",46.984293,-123.79629
27702,WA,Washington,Acme,Whatcom,48.675248,-122.191391
27703,WA,Washington,Addy,Stevens,48.44769,-117.892383
27704,WA,Washington,Adna,Lewis,46.629167,-123.06
27705,WA,Washington,"Airway Heights",Spokane,47.644722,-117.592222
27706,WA,Washington,Albion,Whitman,46.791111,-117.249444
27707,WA,Washington,Allyn,Mason,47.385004,-122.853571
27708,WA,Washington,Almira,Lincoln,47.763175,-118.91225
27709,WA,Washington,"Amanda Park","Grays Harbor",47.470579,-123.907375
27710,WA,Washington,Amboy,Clark,45.9195,-122.457418
27711,WA,Washington,Anacortes,Skagit,48.500438,-122.630873
27712,WA,Washington,Anatone,Asotin,46.128466,-117.088316
27713,WA,Washington,"Anderson Island",Pierce,47.15872,-122.696025
27714,WA,Washington,Appleton,Klickitat,45.909041,-121.148618
27715,WA,Washington,Ardenvoir,Chelan,47.7375,-120.367778
27716,WA,Washington,Ariel,Cowlitz,45.995154,-122.46769
27717,WA,Washington,Arlington,Snohomish,48.18293,-122.112126
27718,WA,Washington,Ashford,Pierce,46.753121,-121.989791
27719,WA,Washington,Asotin,Asotin,46.134318,-117.001548
27720,WA,Washington,Auburn,King,47.316339,-122.270057
27721,WA,Washington,"Bainbridge Island",Kitsap,47.645048,-122.531297
27722,WA,Washington,Baring,King,47.757787,-121.44757
27723,WA,Washington,"Battle Ground",Clark,45.790667,-122.531845
27724,WA,Washington,"Bay Center",Pacific,46.631667,-123.953611
27725,WA,Washington,Beaver,Clallam,48.067263,-124.305424
27726,WA,Washington,Belfair,Mason,47.454956,-122.822381
27727,WA,Washington,Bellevue,King,47.619899,-122.207371
27728,WA,Washington,Bellingham,Whatcom,48.748957,-122.488676
27729,WA,Washington,Belmont,Whitman,47.088056,-117.161389
27730,WA,Washington,Benge,Adams,46.867636,-117.969895
27731,WA,Washington,"Benton City",Benton,46.280624,-119.491349
27732,WA,Washington,Beverly,Grant,46.848429,-119.912074
27733,WA,Washington,Bickleton,Klickitat,45.959687,-120.104223
27734,WA,Washington,Bingen,Klickitat,45.6341,-121.175778
27735,WA,Washington,"Black Diamond",King,47.311372,-122.005265
27736,WA,Washington,Blaine,Whatcom,48.963572,-122.732327
27737,WA,Washington,"Blakely Island","San Juan",48.512778,-122.611389
27738,WA,Washington,"Bonney Lake",Pierce,47.181911,-122.173888
27739,WA,Washington,Bothell,King,47.749692,-122.2159
27740,WA,Washington,Bothell,Snohomish,47.848941,-122.206981
27741,WA,Washington,Bow,Skagit,48.562037,-122.413438
27742,WA,Washington,Boyds,Ferry,48.691919,-118.19906
27743,WA,Washington,Bremerton,Kitsap,47.601916,-122.629913
27744,WA,Washington,Brewster,Okanogan,48.120641,-119.771999
27745,WA,Washington,Bridgeport,Douglas,48.016083,-119.702772
27746,WA,Washington,Brinnon,Jefferson,47.677596,-122.937509
27747,WA,Washington,Brownstown,Yakima,46.404444,-120.605833
27748,WA,Washington,"Brush Prairie",Clark,45.730432,-122.484342
27749,WA,Washington,Buckley,Pierce,47.152449,-122.062098
27750,WA,Washington,Bucoda,Thurston,46.799167,-122.868611
27751,WA,Washington,Buena,Yakima,46.428889,-120.312222
27752,WA,Washington,Burbank,"Walla Walla",46.2,-119.011944
27753,WA,Washington,Burley,Kitsap,47.418056,-122.629722
27754,WA,Washington,Burlington,Skagit,48.478577,-122.33449
27755,WA,Washington,Burton,King,47.389167,-122.459444
27756,WA,Washington,"Camano Island",Island,48.191667,-122.513889
27757,WA,Washington,Camas,Clark,45.605772,-122.414231
27758,WA,Washington,"Camp Murray",Pierce,47.117,-122.5663
27759,WA,Washington,Carbonado,Pierce,47.080242,-122.051339
27760,WA,Washington,Carlsborg,Clallam,48.090833,-123.170833
27761,WA,Washington,Carlton,Okanogan,48.252615,-120.10551
27762,WA,Washington,Carnation,King,47.638007,-121.911095
27763,WA,Washington,Carrolls,Cowlitz,46.071667,-122.861111
27764,WA,Washington,Carson,Skamania,45.749332,-121.835138
27765,WA,Washington,Cashmere,Chelan,47.517293,-120.503274
27766,WA,Washington,"Castle Rock",Cowlitz,46.278291,-122.9139
27767,WA,Washington,Cathlamet,Wahkiakum,46.195383,-123.362716
27768,WA,Washington,Centerville,Klickitat,45.703183,-120.945973
27769,WA,Washington,Centralia,Lewis,46.724635,-122.967068
27770,WA,Washington,Chattaroy,Spokane,47.919178,-117.29209
27771,WA,Washington,Chehalis,Lewis,46.638193,-122.965764
27772,WA,Washington,Chelan,Chelan,47.848263,-120.027306
27773,WA,Washington,"Chelan Falls",Chelan,47.801667,-119.984722
27774,WA,Washington,Cheney,Spokane,47.494257,-117.583372
27775,WA,Washington,Chewelah,Stevens,48.287585,-117.77539
27776,WA,Washington,Chimacum,Jefferson,47.98607,-122.788323
27777,WA,Washington,Chinook,Pacific,46.273056,-123.944167
27778,WA,Washington,Cinebar,Lewis,46.567131,-122.566005
27779,WA,Washington,"Clallam Bay",Clallam,48.225486,-124.201512
27780,WA,Washington,Clarkston,Asotin,46.394622,-117.064457
27781,WA,Washington,Clayton,Stevens,47.955206,-117.574021
27782,WA,Washington,"Cle Elum",Kittitas,47.206319,-120.968505
27783,WA,Washington,Clearlake,Skagit,48.464444,-122.232778
27784,WA,Washington,Clinton,Island,47.950845,-122.391588
27785,WA,Washington,Colbert,Spokane,47.841093,-117.375895
27786,WA,Washington,Colfax,Whitman,46.879996,-117.366975
27787,WA,Washington,"College Place","Walla Walla",46.045723,-118.385338
27788,WA,Washington,Colton,Whitman,46.590098,-117.169243
27789,WA,Washington,Colville,Stevens,48.57799,-117.864463
27790,WA,Washington,Conconully,Okanogan,48.5575,-119.748611
27791,WA,Washington,Concrete,Skagit,48.530962,-121.664294
27792,WA,Washington,Connell,Franklin,46.66426,-118.85454
27793,WA,Washington,Conway,Skagit,48.340556,-122.341667
27794,WA,Washington,"Copalis Beach","Grays Harbor",47.065044,-124.135881
27795,WA,Washington,"Copalis Crossing","Grays Harbor",47.12535,-124.13471
27796,WA,Washington,Cosmopolis,"Grays Harbor",46.953789,-123.77394
27797,WA,Washington,Cougar,Cowlitz,46.069012,-122.294186
27798,WA,Washington,"Coulee City",Grant,47.596571,-119.27582
27799,WA,Washington,"Coulee Dam",Okanogan,48.173861,-119.180907
27800,WA,Washington,Coupeville,Island,48.218911,-122.682346
27801,WA,Washington,Cowiche,Yakima,46.66611,-120.714893
27802,WA,Washington,Creston,Lincoln,47.797681,-118.530656
