property_id,sale_date,sale_price,book,page,physical_address,property_type,county,state,source_url
966089034200,2001-12-14 00:00:00,5,767,342,3015.0 BOURBON ST,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964471125900,2001-12-14 00:00:00,1,767,319,509.0 FAIRWAY DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
953881207400,2001-12-14 00:00:00,3,767,82,0.0 PILSON RD,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
969414792000,2001-12-13 00:00:00,1,767,484,510.0 LANIER FARM RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
951988244900,2001-12-13 00:00:00,3,767,33,8700.0 TWIN BRIDGE CT,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
60443435400,2001-12-12 00:00:00,0,778,75,0.0 BUCKHORN RD,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967178789500,2001-12-12 00:00:00,0,768,173,920.0 DIXIE FARM RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964370419400,2001-12-12 00:00:00,0,767,63,121.0 CHATHAM ST,COMM BLDG,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
962232574400,2001-12-12 00:00:00,0,767,599,119.0 POCKET CHURCH RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954857436400,2001-12-12 00:00:00,4,767,216,0.0 NICHOLSON RD,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
952941598200,2001-12-12 00:00:00,9,766,925,0.0 CEDAR LANE RD,,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967028277700,2001-12-11 00:00:00,1,766,466,5107.0 QUAIL HOLLOW RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964361251000,2001-12-10 00:00:00,1,766,962,104.0 E CHISHOLM ST,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964221212300,2001-12-10 00:00:00,1,766,822,318.0 PROVIDENCE HALL DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
60308947800,2001-12-10 00:00:00,0,766,599,2678.0 BUCKHORN RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963302173900,2001-12-07 00:00:00,1,768,753,425.0 PETTY RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963302178700,2001-12-07 00:00:00,1,768,753,425.0 PETTY RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965356114600,2001-12-07 00:00:00,2,766,92,775.0 LOWER MONCURE RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964462772200,2001-12-07 00:00:00,1,766,39,704.0 TIDEWATER DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963146330900,2001-12-07 00:00:00,9,766,161,2008.0 BELFORD DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963441902800,2001-12-07 00:00:00,1,765,945,2920.0 FOREST GLEN DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
960492398800,2001-12-07 00:00:00,0,765,939,421.0 N PLANK RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965112670700,2001-12-07 00:00:00,1,765,879,2401.0 DUNBAR DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954929921000,2001-12-06 00:00:00,0,769,771,6773.0 LEMON SPRINGS RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954857125200,2001-12-06 00:00:00,2,767,780,0.0 NICHOLSON RD,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965208497200,2001-12-06 00:00:00,2,766,792,408.0 OAKWOOD AVE,,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967177521100,2001-12-06 00:00:00,0,766,541,0.0 DIXIE FARM RD,OBY(S),Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967178509800,2001-12-06 00:00:00,5,766,539,36.0 PALMER SLOAN RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964276257400,2001-12-06 00:00:00,0,766,277,706.0 BOOKER ST,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
968203284900,2001-12-06 00:00:00,9,765,890,0.0 HUNTER DR,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
968203382700,2001-12-06 00:00:00,9,765,890,205.0 HUNTER DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
954867657200,2001-12-06 00:00:00,1,765,747,0.0 NICHOLSON RD,SW MH(S),Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966081910400,2001-12-05 00:00:00,3,767,61,369.0 CARDINAL BAY,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
962193965100,2001-12-05 00:00:00,5,766,353,63.0 NUTBUSH RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965076083700,2001-12-05 00:00:00,0,766,142,4343.0 LEE AVE,,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964492746200,2001-12-05 00:00:00,1,765,587,0.0 COLON RD,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964269682300,2001-12-04 00:00:00,1,774,844,102.0 S STEELE ST,COMM BLDG,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964350587100,2001-12-04 00:00:00,8,768,895,304.0 N HORNER BLVD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963378350036,2001-12-04 00:00:00,2,765,423,1209.0 RADCLIFF DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
967513192100,2001-12-01 00:00:00,1,767,847,0.0 LOWER MONCURE RD,VACANT LD,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
952871074400,2001-12-01 00:00:00,2,766,593,155.0 RAVENS NEST LN,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
968590331500,2001-11-30 00:00:00,0,779,446,0.0 AVENTS FERRY RD,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
968489932800,2001-11-30 00:00:00,0,779,446,0.0 AVENTS FERRY RD,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
952814690200,2001-11-30 00:00:00,0,767,369,243.0 HOLLYWOOD RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966162593200,2001-11-30 00:00:00,1,764,893,703.0 BUCKS CT,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966545469600,2001-11-29 00:00:00,1,765,870,552.0 AMMONS FARM RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964320753700,2001-11-29 00:00:00,8,764,736,607.0 BRINN DR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
962390179800,2001-11-29 00:00:00,1,764,522,227.0 BROOKFIELD CIR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966089767900,2001-11-29 00:00:00,1,764,501,4001.0 CHIPMUNK CIR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
953801140500,2001-11-28 00:00:00,2,767,177,0.0 CHRISTINE LN,VACANT,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
966190555800,2001-11-28 00:00:00,8,765,389,6068.0 JONES CIR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963306747200,2001-11-28 00:00:00,1,764,333,2104.0 EVETON LN,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961023425000,2001-11-28 00:00:00,2,764,331,3980.0 S PLANK RD,SW MH(S),Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961023140900,2001-11-28 00:00:00,2,764,331,3942.0 S PLANK RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961022196300,2001-11-28 00:00:00,2,764,331,109.0 ALISHA LN,,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961023324600,2001-11-28 00:00:00,2,764,331,3968.0 S PLANK RD,,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961023236300,2001-11-28 00:00:00,2,764,331,3962.0 S PLANK RD,SW MH(S),Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961013811800,2001-11-28 00:00:00,2,764,331,108.0 ALISHA LN,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961023148100,2001-11-28 00:00:00,2,764,331,3956.0 S PLANK RD,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961023514100,2001-11-28 00:00:00,2,764,331,3990.0 S PLANK RD,SW MH(S),Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
961012798100,2001-11-28 00:00:00,2,764,331,112.0 ALISHA LN,,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965163015500,2001-11-27 00:00:00,0,767,442,1612.0 CHEROKEE TR,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
951964401500,2001-11-27 00:00:00,0,764,216,0.0 S PLANK RD,,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
963372510500,2001-11-27 00:00:00,0,764,196,1610.0 SPRING LN,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
965149655400,2001-11-27 00:00:00,2,764,119,2707.0 ACADEMY ST,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
962331004200,2001-11-27 00:00:00,2,764,113,325.0 FOGGY BOTTOM,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
964476470200,2001-11-26 00:00:00,0,764,680,2722.0 WATERS EDGE,DWELLING,Lee,NC,https://leecountync.gov/Departments/GISStrategicServices/SalesData
