name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
AVOCADO CLUB BURGER SMALL SMASH,SMASHBURGER,NATIONAL,710,52,100,1480,38,3,4,25
AVOCADO CLUB BURGER SMASH,SMASHBURGER,NATIONAL,820,60,135,1670,38,3,4,32
AVOCADO CLUB BURGER BIG SMASH,SMASHBURGER,NATIONAL,930,70,165,1860,38,3,4,40
AVOCADO RANCH BURGER SMALL SMASH,SMASHBURGER,NATIONAL,560,35,90,1110,38,3,3,25
AVOCADO RANCH BURGER SMASH,SMASHBURGER,NATIONAL,680,45,125,1310,38,3,3,33
AVOCADO RANCH BURGER BIG SMASH,SMASHBURGER,NATIONAL,790,54,155,1510,38,3,3,40
BACON CHEESEBURGER SMALL SMASH,SMASHBURGER,NATIONAL,595,35,105,2462,46,1,7,29
BACON CHEESEBURGER SMASH,SMASHBURGER,NATIONAL,720,45,140,2670,46,1,7,37
BACON CHEESEBURGER BIG SMASH,SMASHBURGER,NATIONAL,830,54,170,2860,46,1,7,45
BBQ BACON CHEDDAR BURGER SMALL SMASH,SMASHBURGER,NATIONAL,820,52,140,2120,52,2,11,38
BBQ BACON CHEDDAR BURGER SMASH,SMASHBURGER,NATIONAL,931,60,174,2307,53,2,11,46
BBQ BACON CHEDDAR BURGER BIG SMASH,SMASHBURGER,NATIONAL,1048,70,203,2495,53,2,11,53
BUFFALO BLUE CHEESE BURGER SMALL,SMASHBURGER,NATIONAL,660,44,121,1517,37,3,3,27
BUFFALO BLUE CHEESE BURGER REGULAR,SMASHBURGER,NATIONAL,816,56,166,1566,38,3,3,37
BUFFALO BLUE CHEESE BURGER BIG,SMASHBURGER,NATIONAL,909,62,192,1612,38,3,3,47
CLASSIC SMASHBURGER SMALL SMASH,SMASHBURGER,NATIONAL,610,40,105,1760,44,2,7,26
CLASSIC SMASHBURGER SMASH,SMASHBURGER,NATIONAL,731,49,134,1937,45,2,7,34
CLASSIC SMASHBURGER BIG SMASH,SMASHBURGER,NATIONAL,838,58,168,2135,45,2,7,41
SMOKED BACON BRISKET BURGER SINGLE,SMASHBURGER,NATIONAL,960,56,205,2250,55,2,23,55
SMOKED BACON BRISKET BURGER DOUBLE,SMASHBURGER,NATIONAL,1300,82,295,2780,55,2,23,81
SPICY JALAPENO BAJA BURGER SMALL SMASH,SMASHBURGER,NATIONAL,650,43,95,1240,43,4,6,25
SPICY JALAPENO BAJA BURGER SMASH,SMASHBURGER,NATIONAL,761,52,124,1427,44,4,6,33
SPICY JALAPENO BAJA BURGER BIG SMASH,SMASHBURGER,NATIONAL,878,61,158,1615,44,4,6,40
SPINACH CUCUMBER GOAT CHEESE BURGER SMALL SMASH,SMASHBURGER,NATIONAL,500,28,76,974,40,3,6,23
SPINACH CUCUMBER GOAT CHEESE BURGER SMASH,SMASHBURGER,NATIONAL,622,38,111,1181,41,3,6,31
