name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
FOUR CHEESE FLATBREAD,JAMBA JUICE,NATIONAL,350,13,25,570,44,4,2,18
SWEET N SPICY CHICKEN FLATBREAD,JAMBA JUICE,NATIONAL,330,11,40,580,38,4,3,12
CHEDDAR TOMATO TWIST,JAMBA JUICE,NATIONAL,250,4,5,430,41,2,3,9
PARMESAN PRETZEL,JAMBA JUICE,NATIONAL,420,0,0,690,69,0,0,12
ACAI PRIMO BOWL,JAMBA JUICE,NATIONAL,510,10,0,45,101,11,67,8
CHUNKY STRAWBERRY BOWL,JAMBA JUICE,NATIONAL,580,0,0,135,94,0,0,21
ISLAND PITAYA BOWL,JAMBA JUICE,NATIONAL,480,0,0,20,102,0,0,7
NUTTY ALMOND BUTTER BOWL,JAMBA JUICE,NATIONAL,430,0,0,105,68,0,0,5
PEACHY GREEN GOODNESS BOWL,JAMBA JUICE,NATIONAL,510,0,0,50,82,0,0,15
VANILLA BLUE SKY BOWL,JAMBA JUICE,NATIONAL,330,0,0,85,62,0,0,6
BACON ROASTED TOMATO SPINACH SANDWICH,JAMBA JUICE,NATIONAL,250,9,15,600,30,4,2,12
ROASTED SPINACH SPINACH FETA SANDWICH,JAMBA JUICE,NATIONAL,240,8,15,550,30,4,2,11
SPINACH N CHEESE WRAP,JAMBA JUICE,NATIONAL,240,8,15,590,30,3,1,15
TURKEY SAUSAGE N CHEESE WRAP,JAMBA JUICE,NATIONAL,320,16,40,580,30,1,1,17
TURKEY SAUSAGE ROASTED RED PEPPER GOUDA SANDWICH,JAMBA JUICE,NATIONAL,290,12,50,660,25,1,2,20
BLUEBERRY STRAWBERRY BLAST OFF,JAMBA JUICE,NATIONAL,190,1,0,15,46,3,31,1
STRAWBERRIES GONE BANANAS,JAMBA JUICE,NATIONAL,150,0,0,10,36,0,0,1
GINGER LEMON CAYENNE SHOT,JAMBA JUICE,NATIONAL,15,0,0,0,4,0,3,0
GINGER ORANGE CAYENNE SHOT,JAMBA JUICE,NATIONAL,25,0,0,0,5,0,0,0
WHEATGRASS SHOT,JAMBA JUICE,NATIONAL,15,0,0,10,2,0,3,1
OATMEAL,JAMBA JUICE,NATIONAL,170,2,0,20,31,4,5,6
BANANAS,JAMBA JUICE,NATIONAL,60,0,0,0,15,0,0,1
BLUEBERRIES,JAMBA JUICE,NATIONAL,10,0,0,0,2,0,0,0
BROWN SUGAR CRUMBLE,JAMBA JUICE,NATIONAL,40,0,0,0,8,0,0,0
COCONUT CHIPS,JAMBA JUICE,NATIONAL,25,0,0,15,3,0,0,0
GINGER,JAMBA JUICE,NATIONAL,5,0,0,0,1,0,0,0
HONEY,JAMBA JUICE,NATIONAL,30,0,0,0,9,0,0,0
ORGANIC GRANOLA,JAMBA JUICE,NATIONAL,100,0,0,5,14,0,0,2
SHREDDED COCONUT,JAMBA JUICE,NATIONAL,25,0,0,0,1,0,0,0
SLICED ALMONDS,JAMBA JUICE,NATIONAL,20,0,0,0,1,0,0,1
STRAWBERRIES,JAMBA JUICE,NATIONAL,5,0,0,0,1,0,0,0
3G ENERGY,JAMBA JUICE,NATIONAL,5,0,0,0,3,0,0,0
DAILY VITAMIN ZINC,JAMBA JUICE,NATIONAL,15,0,0,0,3,0,0,0
SOY PROTEIN,JAMBA JUICE,NATIONAL,25,0,0,70,0,0,0,6
WHEY PROTEIN,JAMBA JUICE,NATIONAL,70,0,0,35,1,0,0,13
ALMOND BUTTER,JAMBA JUICE,NATIONAL,30,0,0,0,0,0,0,1
BLUE SPIRULINA,JAMBA JUICE,NATIONAL,5,0,0,0,0,0,0,0
CHIA SEEDS,JAMBA JUICE,NATIONAL,20,2,0,0,2,3,0,1
GOJI BERRIES,JAMBA JUICE,NATIONAL,15,0,0,15,3,0,0,1
KALE,JAMBA JUICE,NATIONAL,15,0,0,10,3,1,0,1
MATCHA POWDER,JAMBA JUICE,NATIONAL,5,0,0,0,0,0,0,0
NONFAT GREEK YOGURT,JAMBA JUICE,NATIONAL,40,0,0,30,3,0,0,7
PEANUT BUTTER,JAMBA JUICE,NATIONAL,100,0,0,50,4,0,0,4
PUMPKIN SEEDS,JAMBA JUICE,NATIONAL,130,12,0,0,3,1,0,7
