name,restaurant_name,identifier,calories,price_usd
"CLASSIC ITALIAN - 16"" FAMILY",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,22.99
"CLASSIC ITALIAN - 10"" GLUTEN FREE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"VEGETARIAN - 12"" MEDIUM",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"VEGETARIAN - 14"" LARGE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,19.99
"VEGETARIAN - 16"" FAMILY",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,22.99
"VEGETARIAN - 10"" GLUTEN FREE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"CHICKEN BACON ARTICHOKE - 12"" MEDIUM",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"CHICKEN BACON ARTICHOKE - 14"" LARGE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,19.99
"CHICKEN BACON ARTICHOKE - 16"" FAMILY",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,22.99
"CHICKEN BACON ARTICHOKE - 10"" GLUTEN FREE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"MEDITERRANEAN - 12"" MEDIUM",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"MEDITERRANEAN - 14"" LARGE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,19.99
"MEDITERRANEAN - 16"" FAMILY",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,22.99
"MEDITERRANEAN - 10"" GLUTEN FREE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"MARGARITA - 12"" MEDIUM",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
"MARGARITA - 14"" LARGE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,19.99
"MARGARITA - 16"" FAMILY",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,22.99
"MARGARITA - 10"" GLUTEN FREE",GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,16.99
BONELESS WINGS - 8 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,7.99
BONELESS WINGS - 12 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,10.99
BONELESS WINGS - 16 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,13.99
BONELESS WINGS - 24 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,20.99
TRADITIONAL WINGS - 8 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,7.99
TRADITIONAL WINGS - 12 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,10.99
TRADITIONAL WINGS - 16 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,13.99
TRADITIONAL WINGS - 24 WINGS,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,20.99
CHICKEN CAESAR SALAD - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,6.99
ITALIAN SALAD - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,6.99
VEGGIE SALAD - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,6.99
GARLIC CHEESY BREAD - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,7.99
CHICKEN RANCH WRAP - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
CHICKEN CAESAR WRAP - REGULAR,GROVETOWN | WIFESAVER RESTAURANT,"CHOWNOW, GROVETOWN, GA",,8.99
