name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
APPETIZER SAMPLER,IHOP,NATIONAL,1421,72,180,3760,132,9,12,60
MOZZA STICKS,IHOP,NATIONAL,621,30,145,2070,58,4,7,28
2 X 2 X 2 COMBO,IHOP,NATIONAL,320,15,60,1060,39,2,7,9
AVOCADO BACON CHEESE OMELETTE,IHOP,NATIONAL,881,67,885,1720,15,4,2,57
BACON TEMPTATION OMELETTE,IHOP,NATIONAL,1111,83,945,2940,16,1,5,74
BIG STEAK OMELETTE,IHOP,NATIONAL,1041,69,915,1790,40,5,7,66
BREAKFAST SAMPLER,IHOP,NATIONAL,881,56,135,2570,62,4,10,32
CHICKEN PANCAKES COMBO,IHOP,NATIONAL,901,40,165,2790,91,5,11,47
CHICKEN WAFFLES,IHOP,NATIONAL,1051,52,245,1980,101,5,17,45
CHICKEN FAJITA OMELETTE,IHOP,NATIONAL,911,57,995,1860,25,3,9,75
CHICKEN FRIED CHICKEN EGGS COMBO WITH COUNTRY GRAVY,IHOP,NATIONAL,851,43,100,2160,82,5,8,32
CLASSIC AVOCADO TOAST,IHOP,NATIONAL,360,20,10,720,41,9,3,8
COLORADO OMELETTE,IHOP,NATIONAL,1251,96,965,2930,19,2,6,77
EGG WHITE OMELETTE,IHOP,NATIONAL,100,3,5,290,1,1,40489,18
EGGS BENEDICT COMBO,IHOP,NATIONAL,851,51,460,2610,56,3,6,39
GREEN CHILI OMELETTE,IHOP,NATIONAL,961,67,935,1580,26,3,9,64
HUEVOS RANCHEROS COMBO,IHOP,NATIONAL,661,35,55,1180,63,9,3,22
LOCO MOCO COMBO,IHOP,NATIONAL,871,32,80,1490,108,3,2,37
MACHACA COMBO,IHOP,NATIONAL,1101,81,705,1870,46,6,6,49
MIGAS COMBO,IHOP,NATIONAL,1031,77,675,1560,45,6,6,39
OATMEAL WITH MILK BROWN SUGAR,IHOP,NATIONAL,260,5,5,125,50,5,20,8
OMELETTE,IHOP,NATIONAL,400,28,805,440,8,0,1,28
ORIGINAL FRENCH TOAST WITH WHIPPED BUTTER,IHOP,NATIONAL,741,36,260,830,84,4,28,20
SOUTHWEST SCRAMBLE COMBO,IHOP,NATIONAL,641,51,675,840,12,4,3,36
SPICY POBLANO FAJITA BOWL,IHOP,NATIONAL,1061,75,535,2000,42,7,6,55
SPICY POBLANO OMELETTE,IHOP,NATIONAL,1021,75,955,1860,31,5,8,57
SPINACH MUSHROOM OMELETTE,IHOP,NATIONAL,911,71,900,1870,23,3,6,47
SPLIT DECISION BREAKFAST COMBO,IHOP,NATIONAL,911,59,205,2020,69,4,18,27
STRAWBERRY BANANA FRENCH TOAST WITH WHIPPED TOPPING,IHOP,NATIONAL,841,31,245,790,121,7,55,21
SWEDISH CREPE,IHOP,NATIONAL,591,28,180,830,71,3,26,16
SEASONED FRIES,IHOP,NATIONAL,320,15,0,1060,41,4,40489,4
KIDS BLACK ANGUS JR. CHEESEBURGER,IHOP,NATIONAL,641,36,125,1330,50,3,18,32
KIDS CUPCAKE PANCAKE COMBO,IHOP,NATIONAL,561,29,280,940,58,1,37,17
KIDS FUNNY FACE BUTTERMILK PANCAKE DINNER,IHOP,NATIONAL,540,36,300,920,36,2,18,18
KIDS FUNNY FACE CHOCOLATE PANCAKE DINNER,IHOP,NATIONAL,540,36,300,920,37,2,18,18
KIDS JR. CHICKEN WAFFLES,IHOP,NATIONAL,561,30,130,1020,50,2,9,23
KIDS JR. CHICKEN STRIP DINNER,IHOP,NATIONAL,841,57,60,2120,59,5,1,22
KIDS JR. HAM EGG MELT,IHOP,NATIONAL,320,21,290,770,15,1,3,1
KIDS MACARONI CHEESE WITH APPLE SAUCE,IHOP,NATIONAL,360,9,15,830,58,3,22,11
KIDS 1 MILK,IHOP,NATIONAL,100,3,10,105,12,0,12,8
KIDS 2 MILK,IHOP,NATIONAL,160,6,25,150,15,0,15,11
KIDS APPLE JUICE,IHOP,NATIONAL,150,40489,0,10,37,0,34,0
KIDS CHOCOLATE MILK,IHOP,NATIONAL,250,6,25,150,40,1,37,10
KIDS HOT CHOCOLATE,IHOP,NATIONAL,130,4,5,190,25,0,21,1
KIDS ORANGE JUICE,IHOP,NATIONAL,140,40489,0,10,33,0,29,3
BONELESS BUFFALO CHICKEN STRIPS FRIES,IHOP,NATIONAL,931,44,105,5220,84,7,1,47
BUTTERMILK CRISPY CHICKEN FRIES,IHOP,NATIONAL,891,43,105,2600,81,7,40489,47
GRILLED TILAPIA,IHOP,NATIONAL,240,10,105,1330,2,1,1,38
POT ROAST ENTREE,IHOP,NATIONAL,370,21,95,2010,15,0,2,32
ROASTED TURKEY BREAST TURKEY GRAVY ENTREE,IHOP,NATIONAL,440,13,105,900,39,1,33,44
SIRLOIN STEAK TIPS ENTREE,IHOP,NATIONAL,440,23,100,1350,21,2,17,38
SIRLOIN TIPS EGGS COMBO,IHOP,NATIONAL,971,51,165,2630,80,6,25,49
SPICY SHREDDED BEEF BOWL,IHOP,NATIONAL,901,42,130,2370,85,12,6,46
AMERICAN CHEESE,IHOP,NATIONAL,100,8,25,470,2,0,1,5
AVOCADO,IHOP,NATIONAL,80,7,0,0,4,3,40489,1
BACON,IHOP,NATIONAL,90,8,10,310,40489,0,40489,6
DICED BACON,IHOP,NATIONAL,90,7,15,460,40489,0,40489,7
DICED HAM,IHOP,NATIONAL,122,2,61,1291,4,0,2,20
FIRE ROASTED POBLANO SALSA,IHOP,NATIONAL,20,40489,0,180,4,1,2,1
FLOUR TORTILLA,IHOP,NATIONAL,290,8,0,730,46,2,2,8
FRIED EGGS,IHOP,NATIONAL,120,6,335,130,4,1,40489,12
HARD OR SOFT BOILED EGG,IHOP,NATIONAL,80,6,185,60,1,0,1,6
HASH BROWNS,IHOP,NATIONAL,210,14,0,230,19,2,40489,2
PEPPER JACK CHEESE,IHOP,NATIONAL,160,13,45,270,1,0,40489,10
POACHED EGG,IHOP,NATIONAL,60,4,165,130,40489,0,40489,6
PORK SAUSAGE LINKS,IHOP,NATIONAL,190,19,35,330,1,0,40489,5
RYE BREAD,IHOP,NATIONAL,200,3,0,450,36,4,3,6
RYE TOAST WITH BUTTER JAMJELLY,IHOP,NATIONAL,320,9,15,460,54,5,19,7
SAUTEED GREEN PEPPERS ONIONS,IHOP,NATIONAL,70,7,0,45,2,0,1,0
SAUTEED MUSHROOMS,IHOP,NATIONAL,80,7,0,45,2,1,1,2
SAUTEED SPINACH,IHOP,NATIONAL,80,7,0,85,2,1,40489,2
SCRAMBLED EGG,IHOP,NATIONAL,110,9,205,105,1,0,40489,7
SCRAMBLED EGG WHITE,IHOP,NATIONAL,30,1,0,95,40489,0,40489,6
SHARP WHITE CHEDDAR CHEESE,IHOP,NATIONAL,170,14,40,270,1,0,40489,10
SHREDDED CHEDDAR CHEESE,IHOP,NATIONAL,230,19,55,360,2,0,40489,13
SHREDDED CHEESE BLEND,IHOP,NATIONAL,220,17,55,350,2,0,40489,13
SOUR CREAM,IHOP,NATIONAL,60,6,20,15,1,0,1,1
SOURDOUGH BREAD,IHOP,NATIONAL,160,2,0,360,31,1,1,5
SOURDOUGH TOAST WITH BUTTER JAM OR JELLY,IHOP,NATIONAL,230,5,10,370,39,1,10,6
SPAM,IHOP,NATIONAL,170,14,35,550,2,0,1,8
SWISS CHEESE,IHOP,NATIONAL,110,9,25,50,40489,0,40489,8
TOMATO,IHOP,NATIONAL,10,40489,0,0,2,1,2,1
TURKEY SAUSAGE LINKS,IHOP,NATIONAL,90,7,35,390,40489,0,40489,8
WHEATBERRY BREAD,IHOP,NATIONAL,210,3,0,430,40,4,40489,7
WHEATBERRY TOAST WITH BUTTER JAMJELLY,IHOP,NATIONAL,350,11,20,440,58,5,16,7
WHITE BREAD,IHOP,NATIONAL,130,2,0,240,25,1,3,4
WHITE TOAST WITH BUTTER JAMJELLY,IHOP,NATIONAL,250,7,15,250,42,2,19,5
WHOLE WHEAT BREAD PLAIN,IHOP,NATIONAL,200,3,0,37,34,5,3,10
WHOLE WHEAT TOAST WITH BUTTER JAMJELLY,IHOP,NATIONAL,340,11,20,370,52,5,20,10
BELGIAN WAFFLE WITH WHIPPED BUTTER,IHOP,NATIONAL,591,30,160,750,69,3,17,11
FRENCH CREME BRULEE PANCAKES,IHOP,NATIONAL,631,26,120,1630,87,3,36,14
GLUTEN FRIENDLY BELGIAN WAFFLES,IHOP,NATIONAL,410,13,65,850,66,2,12,8
GLUTEN FRIENDLY PANCAKES,IHOP,NATIONAL,540,15,80,1140,90,2,17,11
BALSAMIC VINAIGRETTE DRESSING,IHOP,NATIONAL,200,16,5,370,12,0,10,0
BUTTERMILK RANCH DRESSING,IHOP,NATIONAL,290,31,20,440,2,0,1,1
HONEY MUSTARD DRESSING,IHOP,NATIONAL,230,20,15,470,13,1,12,1
RANCH DRESSING,IHOP,NATIONAL,290,31,20,440,2,0,1,1
CHICKEN VEGGIE SALAD WITH BALSAMIC VINAIGRETTE,IHOP,NATIONAL,600,35,110,1790,38,9,24,38
CRISPY CHICKEN VEGGIE SALAD WITH BALSAMIC VINAIGRETTE,IHOP,NATIONAL,791,49,65,1530,60,10,24,32
HOUSE SALAD,IHOP,NATIONAL,30,40489,0,20,7,2,4,2
BIG BRUNCH STEAKBURGER,IHOP,NATIONAL,1001,64,305,2190,59,4,10,46
BLTA SANDWICH,IHOP,NATIONAL,1171,84,75,1970,74,10,7,31
CLASSIC STEAKBURGER,IHOP,NATIONAL,671,42,130,1770,42,3,11,32
CLASSIC STEAKBURGER WITH BACON,IHOP,NATIONAL,771,50,140,2080,42,3,11,38
COWBOY BBQ STEAKBURGER,IHOP,NATIONAL,951,54,140,550,76,4,22,41
HAM EGG MELT SANDWICH,IHOP,NATIONAL,961,51,550,2740,68,2,7,57
JALAPENO KICK STEAKBURGER,IHOP,NATIONAL,1001,74,155,189,42,4,10,41
MEGA MONSTER CHEESEBURGER,IHOP,NATIONAL,1071,72,230,2650,43,3,11,60
PHILLY CHEESE STEAK STACKER BURGER,IHOP,NATIONAL,821,45,125,2220,58,3,10,49
SPICY BUFFALO CHICKEN SANDWICH,IHOP,NATIONAL,631,31,80,2800,58,3,8,29
TURKEY CHEDDAR CLUB SANDWICH,IHOP,NATIONAL,1181,76,170,2100,66,4,6,59
CHOCOLATE SAUCE,IHOP,NATIONAL,420,2,0,65,99,5,85,3
IHOP SAUCE,IHOP,NATIONAL,220,21,10,550,8,1,7,0
VANILLA SAUCE,IHOP,NATIONAL,320,23,65,150,27,1,20,2
55 BLT SANDWICH,IHOP,NATIONAL,410,28,20,840,27,2,5,14
55 BREAKFAST SAMPLER,IHOP,NATIONAL,581,39,75,1430,41,3,5,17
55 BUTTERMILK PANCAKES,IHOP,NATIONAL,450,18,80,1560,59,3,11,13
55 CRISPY CHICKEN STRIPS DINNER,IHOP,NATIONAL,340,16,60,930,24,2,40489,26
55 FRENCH TOAST,IHOP,NATIONAL,521,27,180,570,56,3,19,14
55 GRILLED CHICKEN DINNER,IHOP,NATIONAL,150,3,105,1190,1,1,1,32
55 GRILLED TILAPIA DINNER,IHOP,NATIONAL,120,5,55,670,2,1,1,19
55 RISE N SHINE HASH BROWNS,IHOP,NATIONAL,210,14,0,230,19,2,40489,2
55 ROASTED TURKEY DINNER WITH TURKEY GRAVY,IHOP,NATIONAL,370,11,70,730,39,1,33,30
55 TURKEY SWISS SANDWICH,IHOP,NATIONAL,540,25,85,860,36,6,5,43
BUTTERED CORN,IHOP,NATIONAL,180,10,25,65,20,5,8,4
BUTTERED ENGLISH MUFFIN,IHOP,NATIONAL,160,5,10,220,25,1,1,4
CHEESE BLINTZES WITH BLUEBERRY COMPOTE,IHOP,NATIONAL,891,54,245,1230,77,4,39,26
CORN TORTILLAS,IHOP,NATIONAL,110,1,0,15,22,2,40489,1
CRISPY BREAKFAST POTATOES,IHOP,NATIONAL,280,13,0,1050,37,5,1,5
CRISPY POTATO CAKES,IHOP,NATIONAL,370,24,0,660,35,4,1,4
FRESH FRUIT,IHOP,NATIONAL,60,40489,0,0,14,1,11,1
GARLIC BREAD,IHOP,NATIONAL,140,8,0,240,15,1,1,2
GRILLED BUTTERMILK BISCUIT,IHOP,NATIONAL,450,25,15,1190,50,1,2,6
GRITS,IHOP,NATIONAL,100,40489,0,220,22,1,40489,2
ONION RINGS,IHOP,NATIONAL,531,30,0,1060,60,4,7,7
RED SKIN MASHED POTATOES,IHOP,NATIONAL,240,13,0,680,30,3,1,5
SCRAPPLE,IHOP,NATIONAL,290,18,110,960,16,0,40489,18
SLICED HAM,IHOP,NATIONAL,120,3,55,1290,4,0,2,20
BLUEBERRY COMPOTE TOPPING,IHOP,NATIONAL,240,40489,0,75,61,2,53,0
CHEESECAKE BITES TOPPING,IHOP,NATIONAL,400,23,100,310,42,1,28,7
CHOCOLATE CHIP TOPPINGS,IHOP,NATIONAL,581,30,5,0,76,8,62,5
GLAZED STRAWBERRIES TOPPING,IHOP,NATIONAL,150,40489,0,25,38,3,30,1
OLD FASHIONED PANCAKE SYRUP,IHOP,NATIONAL,110,40489,0,15,27,0,18,0
ROSETTE WHIPPED TOPPING,IHOP,NATIONAL,25,2,5,0,1,0,1,0
WHIPPED BUTTER TOPPING,IHOP,NATIONAL,70,8,20,65,40489,0,40489,0
