name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
COFFEE HIGH PROTEIN VANILLA 40 OZ,SMOOTHIE KING,NATIONAL,800,24,105,850,87,14,68,60
GLADIATOR CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,230,3,25,510,5,3,2,45
GLADIATOR CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,230,3,25,510,5,3,2,45
GLADIATOR CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,230,3,25,510,5,3,2,45
GLADIATOR STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,220,3,25,370,4,3,1,45
GLADIATOR STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,220,3,25,370,4,3,1,45
GLADIATOR STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,220,3,25,370,4,3,1,45
GLADIATOR VANILLA 32 OZ,SMOOTHIE KING,NATIONAL,230,3,25,440,3,2,1,45
GLADIATOR VANILLA 40 OZ,SMOOTHIE KING,NATIONAL,230,3,25,440,3,2,1,45
GLADIATOR VANILLA 20 OZ,SMOOTHIE KING,NATIONAL,230,3,25,440,3,2,1,45
HIGH INTENSITY WORKOUT CHOCOLATE CINNAMON 20 OZ,SMOOTHIE KING,NATIONAL,420,15,0,470,44,8,20,30
HIGH INTENSITY WORKOUT CHOCOLATE CINNAMON 32 OZ,SMOOTHIE KING,NATIONAL,680,26,0,720,71,14,33,47
HIGH INTENSITY WORKOUT CHOCOLATE CINNAMON 40 OZ,SMOOTHIE KING,NATIONAL,830,29,0,950,88,17,40,60
HIGH INTENSITY WORKOUT VEGGIE MANGO 20 OZ,SMOOTHIE KING,NATIONAL,400,15,0,430,41,9,22,29
HIGH INTENSITY WORKOUT VEGGIE MANGO 32 OZ,SMOOTHIE KING,NATIONAL,620,25,0,650,63,14,33,45
HIGH INTENSITY WORKOUT VEGGIE MANGO 40 OZ,SMOOTHIE KING,NATIONAL,790,30,0,860,83,17,44,59
KETO CHAMP BERRY 20 OZ,SMOOTHIE KING,NATIONAL,430,31,10,350,19,10,6,23
KETO CHAMP BERRY 32 OZ,SMOOTHIE KING,NATIONAL,690,50,15,530,30,15,9,36
KETO CHAMP BERRY 40 OZ,SMOOTHIE KING,NATIONAL,870,62,20,690,38,19,11,46
KETO CHAMP CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,430,31,10,380,18,7,2,25
KETO CHAMP CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,680,50,20,580,28,12,4,39
KETO CHAMP CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,860,61,25,760,37,15,5,50
KETO CHAMP COFFEE 20 OZ,SMOOTHIE KING,NATIONAL,420,31,10,350,14,7,1,24
KETO CHAMP COFFEE 32 OZ,SMOOTHIE KING,NATIONAL,670,50,15,530,23,12,3,37
KETO CHAMP COFFEE 40 OZ,SMOOTHIE KING,NATIONAL,830,61,20,700,29,15,3,47
ORIGINAL HIGH PROTEIN BANANA 20 OZ,SMOOTHIE KING,NATIONAL,340,12,50,370,35,5,21,27
ORIGINAL HIGH PROTEIN BANANA 32 OZ,SMOOTHIE KING,NATIONAL,510,18,75,560,52,8,32,40
ORIGINAL HIGH PROTEIN BANANA 40 OZ,SMOOTHIE KING,NATIONAL,680,24,105,750,69,11,42,54
ORIGINAL HIGH PROTEIN CHOCOLATE 20 OZ,SMOOTHIE KING,NATIONAL,400,12,55,420,44,7,34,30
ORIGINAL HIGH PROTEIN CHOCOLATE 32 OZ,SMOOTHIE KING,NATIONAL,620,18,80,630,72,11,56,45
ORIGINAL HIGH PROTEIN CHOCOLATE 40 OZ,SMOOTHIE KING,NATIONAL,800,24,105,840,87,14,68,60
ORIGINAL HIGH PROTEIN LEMON 20 OZ,SMOOTHIE KING,NATIONAL,390,12,50,370,46,3,37,26
ORIGINAL HIGH PROTEIN LEMON 32 OZ,SMOOTHIE KING,NATIONAL,580,18,75,560,69,5,55,40
ORIGINAL HIGH PROTEIN LEMON 40 OZ,SMOOTHIE KING,NATIONAL,780,24,105,740,92,7,74,53
ORIGINAL HIGH PROTEIN PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,320,12,50,370,29,5,21,26
ORIGINAL HIGH PROTEIN PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,480,18,75,560,45,7,32,40
ORIGINAL HIGH PROTEIN PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,630,24,105,750,57,9,42,53
PEANUT POWER PLUS 20 OZ,SMOOTHIE KING,NATIONAL,590,24,10,430,79,12,55,20
