name,restaurant_name,identifier,calories,price_usd
BYRNE'S TOSSED CHICKEN BITES - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
GRILLED QUESADILLA - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,12.00
FRIED FISH TACOS - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,14.00
CRISPY IDAHO SKINS - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,12.00
FRIED CALAMARI - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,12.00
AWARD-WINNING NEW ENGLAND CLAM CHOWDER - CUP,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,7.00
AWARD-WINNING NEW ENGLAND CLAM CHOWDER - BOWL,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,8.00
AWARD-WINNING NEW ENGLAND CLAM CHOWDER - QUART (COLD),BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
PORTUGUESE KALE SOUP - CUP,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,6.00
PORTUGUESE KALE SOUP - BOWL,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,7.00
SOUTHWEST CHICKEN SALAD - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,15.00
GREEK SALAD - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,13.00
CAESAR SALAD - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,12.00
SOUTHWEST TACO SALAD - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,15.00
BYRNE'S CHEF'S SALADS - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,16.00
BBQ CHICKEN COBB - REGULAR,BOBBY BYRNE'S RESTAURANT & PUB | MASHPEE,"CHOWNOW, MASHPEE, MA",,15.00
