name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
CHOCOLATE MILK,QDOBA,NATIONAL,180,3,10,210,29,1,26,10
COCA COLA BOTTLE,QDOBA,NATIONAL,240,0,0,75,65,0,65,0
DIET COKE BOTTLE,QDOBA,NATIONAL,0,0,0,70,0,0,0,0
GOLD PEAK LEMON ICE TEA,QDOBA,NATIONAL,180,0,0,30,45,0,44,0
GOLD PEAK RASPBERRY ICE TEA,QDOBA,NATIONAL,170,0,0,45,44,0,44,0
HONEST TEA HALF AND HALF,QDOBA,NATIONAL,100,0,0,0,25,0,25,0
HONEST TEA HONEY GREEN TEA,QDOBA,NATIONAL,70,0,0,15,19,0,19,0
HONEST TEA ORGANIC PEACH,QDOBA,NATIONAL,100,0,0,20,25,0,25,0
JARRITOS SODA,QDOBA,NATIONAL,171,0,0,40,44,0,44,0
MEXICAN COCA COLA,QDOBA,NATIONAL,150,0,0,85,39,0,39,0
MEXICAN SPRITE,QDOBA,NATIONAL,160,0,0,65,38,0,38,0
MILK,QDOBA,NATIONAL,100,3,10,105,12,0,12,8
MINUTE MAID KIDS APPLE JUICE BOX,QDOBA,NATIONAL,80,0,0,15,21,0,19,0
SIMPLY ORANGE JUICE,QDOBA,NATIONAL,160,0,0,0,37,0,33,0
VITAMIN WATER POWER C,QDOBA,NATIONAL,100,0,0,0,27,0,27,0
VITAMIN WATER XXX,QDOBA,NATIONAL,100,0,0,0,28,0,27,0
VITAMIN WATER ZERO SQUEEZED LEMONADE,QDOBA,NATIONAL,5,0,0,0,4,0,0,0
CHOCOLATE CHUNK COOKIE,QDOBA,NATIONAL,260,14,15,180,34,1,20,2
DOUBLE CHOCOLATE BROWNIE,QDOBA,NATIONAL,360,16,15,210,52,2,35,4
NATURAL APPLE SAUCE,QDOBA,NATIONAL,50,0,0,0,13,1,11,0
ANCHO CHILE BBQ SAUCE,QDOBA,NATIONAL,60,1,0,690,13,1,11,1
BLACK BEANS,QDOBA,NATIONAL,140,1,0,330,24,14,1,9
CHILE CORN SALSA,QDOBA,NATIONAL,50,1,0,105,10,2,1,2
CHORIZO,QDOBA,NATIONAL,210,13,65,790,6,2,1,16
CILANTRO LIME RICE,QDOBA,NATIONAL,190,3,0,390,38,1,0,3
CILANTRO LIME VINAIGRETTE,QDOBA,NATIONAL,110,10,0,360,5,0,3,0
CORN TORTILLA,QDOBA,NATIONAL,60,1,0,100,11,1,0,1
CORN TORTILLA CHIPS,QDOBA,NATIONAL,560,26,0,220,75,9,2,7
COTIJA CHEESE,QDOBA,NATIONAL,30,13,5,120,0,0,0,2
CRISPY CORN TACO SHELL,QDOBA,NATIONAL,60,3,0,0,8,1,0,1
CRUNCHY FLOUR TORTILLA BOWL,QDOBA,NATIONAL,390,22,0,150,41,0,1,7
EGGS,QDOBA,NATIONAL,230,16,600,440,2,0,0,19
FAJITA VEGGIES,QDOBA,NATIONAL,35,2,0,180,4,1,2,1
GRILLED ADOBO CHICKEN,QDOBA,NATIONAL,150,9,70,360,2,0,1,16
GRILLED STEAK,QDOBA,NATIONAL,230,15,50,390,4,0,1,19
GROUND BEEF,QDOBA,NATIONAL,190,11,55,510,4,1,1,17
HABANERO SALSA,QDOBA,NATIONAL,20,0,0,260,3,1,2,1
LITE SOUR CREAM,QDOBA,NATIONAL,50,5,15,40,2,0,2,3
MANGO SALSA,QDOBA,NATIONAL,25,0,0,160,6,2,5,0
MEXICAN CAESAR DRESSING,QDOBA,NATIONAL,170,13,5,3310,13,0,6,2
PICANTE RANCH DRESSING,QDOBA,NATIONAL,40,0,0,500,10,1,3,0
PICKLED JALAPENOS,QDOBA,NATIONAL,15,0,0,90,3,0,2,0
PICO DE GALLO,QDOBA,NATIONAL,10,0,0,70,3,1,2,0
PINTO BEANS,QDOBA,NATIONAL,130,1,0,350,23,14,1,8
PLANT BASED IMPOSSIBLE PROTEIN,QDOBA,NATIONAL,180,10,0,780,9,2,1,13
PULLED PORK,QDOBA,NATIONAL,140,4,70,340,9,0,1,17
QUESO DIABLO,QDOBA,NATIONAL,90,7,45,360,3,0,1,3
ROMAINE LETTUCE,QDOBA,NATIONAL,15,0,0,10,3,0,0,0
SALSA ROJA,QDOBA,NATIONAL,20,0,0,460,4,1,2,1
SALSA VERDE,QDOBA,NATIONAL,15,0,0,280,3,1,1,0
SEASONED BROWN RICE,QDOBA,NATIONAL,170,1,0,410,35,2,1,4
SEASONED POTATOES,QDOBA,NATIONAL,130,6,0,260,17,2,0,2
SHREDDED CHEESE,QDOBA,NATIONAL,110,9,30,180,1,0,0,7
SMOKED BRISKET,QDOBA,NATIONAL,270,20,70,1220,3,0,1,20
TORTILLA SOUP,QDOBA,NATIONAL,100,5,0,1390,11,4,2,3
TORTILLA STRIPS,QDOBA,NATIONAL,70,3,0,30,9,0,0,0
WHOLE WHEAT FLOUR TORTILLA,QDOBA,NATIONAL,270,5,0,590,47,5,3,11
KIDS BLACK BEANS,QDOBA,NATIONAL,70,0,0,170,12,7,0,5
KIDS CILANTRO LIME RICE,QDOBA,NATIONAL,90,2,0,190,19,1,0,2
KIDS CORN TORTILLA CHIPS,QDOBA,NATIONAL,560,26,0,220,75,9,2,7
KIDS FLOUR TORTILLA,QDOBA,NATIONAL,70,2,0,170,12,1,0,2
KIDS GRILLED ADOBO CHICKEN,QDOBA,NATIONAL,80,4,50,270,2,1,0,11
KIDS GRILLED STEAK,QDOBA,NATIONAL,90,4,35,230,1,0,0,13
KIDS HAND SMASHED GUACAMOLE,QDOBA,NATIONAL,45,4,0,100,2,1,0,0
KIDS PINTO BEANS,QDOBA,NATIONAL,70,0,0,180,12,7,0,4
KIDS PULLED PORK,QDOBA,NATIONAL,80,2,40,190,5,0,0,10
KIDS SEASONED BROWN RICE,QDOBA,NATIONAL,80,1,0,125,18,1,1,2
KIDS SHREDDED CHEESE,QDOBA,NATIONAL,70,6,20,270,2,1,0,2
KIDS SOUR CREAM,QDOBA,NATIONAL,50,5,15,10,3,0,1,1
KIDS 3 CHEESE QUESO,QDOBA,NATIONAL,45,4,10,180,2,0,0,2
KIDS CORN TORTILLA,QDOBA,NATIONAL,30,0,0,50,6,1,0,1
KIDS BURRITO,QDOBA,NATIONAL,480,15,30,1040,67,10,2,18
KIDS QUESADILLA,QDOBA,NATIONAL,260,12,30,510,25,2,1,11
KIDS TACO WITH BEEF,QDOBA,NATIONAL,220,12,50,370,11,1,1,15
KIDS TACO WITH CHICKEN,QDOBA,NATIONAL,200,11,65,360,11,2,1,16
KIDS BEANS WITH CHEESE SIDE,QDOBA,NATIONAL,160,3,10,400,24,14,1,10
CHICKEN PROTEIN BOWL,QDOBA,NATIONAL,610,29,140,1830,48,0,9,44
CHICKEN QUESO BOWL,QDOBA,NATIONAL,780,34,140,1790,75,3,4,43
CHICKEN QUESO BURRITO,QDOBA,NATIONAL,1080,41,140,2550,127,0,6,51
IMPOSSIBLE FAJITA BOWL,QDOBA,NATIONAL,580,15,0,1930,85,0,5,28
SLOW BRAISED PORK BURRITO,QDOBA,NATIONAL,1100,40,155,2570,129,0,5,54
