name,restaurant_name,identifier,price_usd
SAVORY POTATO DOUGHNUT,MILLWORKS HARRISBURG,"HARRISBURG, PA",10
DEVILED EGGS,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
HUSH PUPPIES,MILLWORKS HARRISBURG,"HARRISBURG, PA",13
PULL APART MONKEY BREAD,MILLWORKS HARRISBURG,"HARRISBURG, PA",12
MILLWORKS MACARONI AND CHEESE,MILLWORKS HARRISBURG,"HARRISBURG, PA",9
URBAN PICNIC,MILLWORKS HARRISBURG,"HARRISBURG, PA",18
FRIED GREEN TOMATOES,MILLWORKS HARRISBURG,"HARRISBURG, PA",10
MILLWORKS STOUT GRAVY FRIES ,MILLWORKS HARRISBURG,"HARRISBURG, PA",9
BUTTERNUT SQUASH BISQUE,MILLWORKS HARRISBURG,"HARRISBURG, PA",9
SMOKED TROUT AND ARUGULA,MILLWORKS HARRISBURG,"HARRISBURG, PA",12
WOOD-GRILLED KALE AND BROCCOLI RABE SALAD,MILLWORKS HARRISBURG,"HARRISBURG, PA",14
WOOD GRILLED COBB SALAD,MILLWORKS HARRISBURG,"HARRISBURG, PA",17
WHOLESOME LIVING ACRES FARM EGGS ANY WAY,MILLWORKS HARRISBURG,"HARRISBURG, PA",13
BUILD YOUR OWN FARM EGG OMLETTE,MILLWORKS HARRISBURG,"HARRISBURG, PA",14
COUNTRY FRIED CHICKEN AND SAUSAGE GRAVY BISCUIT,MILLWORKS HARRISBURG,"HARRISBURG, PA",17
BUTTERMILK PANCAKES,MILLWORKS HARRISBURG,"HARRISBURG, PA",13
CLASSIC EGGS BENEDICT - PIT HAM,MILLWORKS HARRISBURG,"HARRISBURG, PA",16
HOMESTYLE BENEDICT,MILLWORKS HARRISBURG,"HARRISBURG, PA",17
CEDAR PLANK SALMON,MILLWORKS HARRISBURG,"HARRISBURG, PA",22
SCALLOPS AND GRITS,MILLWORKS HARRISBURG,"HARRISBURG, PA",16
HOUSE CHEESEBURGER,MILLWORKS HARRISBURG,"HARRISBURG, PA",15
CRISPY FRIED POTATOES,MILLWORKS HARRISBURG,"HARRISBURG, PA",4
HOUSE MADE BREAKFAST SAUSAGE,MILLWORKS HARRISBURG,"HARRISBURG, PA",5
PASTURED HEN'S EGG,MILLWORKS HARRISBURG,"HARRISBURG, PA",1
PANCAKES,MILLWORKS HARRISBURG,"HARRISBURG, PA",3
HOUSE SMOKED THICK CUT BACON,MILLWORKS HARRISBURG,"HARRISBURG, PA",5
SEASONAL LOCAL FRUIT,MILLWORKS HARRISBURG,"HARRISBURG, PA",4
PANCAKES (2),MILLWORKS HARRISBURG,"HARRISBURG, PA",5
EGG AND SAUSAGE,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
KIDS COMBO,MILLWORKS HARRISBURG,"HARRISBURG, PA",8
CHOCOLATE DOUGHNUTS,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
VANILLA BEAN CUSTARD,MILLWORKS HARRISBURG,"HARRISBURG, PA",7
WARM MILK AND COOKIES,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
DESSERT COCKTAIL,MILLWORKS HARRISBURG,"HARRISBURG, PA",9
BLOODY MARY,MILLWORKS HARRISBURG,"HARRISBURG, PA",9
MIMOSA,MILLWORKS HARRISBURG,"HARRISBURG, PA",7
MICHELADA,MILLWORKS HARRISBURG,"HARRISBURG, PA",7
ESPRESSO MARTINI,MILLWORKS HARRISBURG,"HARRISBURG, PA",11
CLASSIC EGGS BENEDICT - CRAB CAKES,MILLWORKS HARRISBURG,"HARRISBURG, PA",22
HOMESTEAD LAGER,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
URBAN RADLER,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
100 ACRES HEFEWEIZEN,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
LA CERVEZA,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
SUMMERTIME BLONDE,MILLWORKS HARRISBURG,"HARRISBURG, PA",5
SINGLE HOP - BELMA,MILLWORKS HARRISBURG,"HARRISBURG, PA",7
HAZY IPA,MILLWORKS HARRISBURG,"HARRISBURG, PA",7
CHERRY BERRY GOSE,MILLWORKS HARRISBURG,"HARRISBURG, PA",6
BLACKBERRY SOUR,MILLWORKS HARRISBURG,"HARRISBURG, PA",7
HAYMAKER DOUBLE IPA,MILLWORKS HARRISBURG,"HARRISBURG, PA",7
SOLSTICE,MILLWORKS HARRISBURG,"HARRISBURG, PA",12
CUCUMBER ROSE MINT MARGARITA,MILLWORKS HARRISBURG,"HARRISBURG, PA",13
MAGGIES FARM,MILLWORKS HARRISBURG,"HARRISBURG, PA",12
MIDTOWNER,MILLWORKS HARRISBURG,"HARRISBURG, PA",12
AVIA PINOT GRIGIO - GLASS,MILLWORKS HARRISBURG,"HARRISBURG, PA",8
AVIA PINOT GRIGIO - BOTTLE,MILLWORKS HARRISBURG,"HARRISBURG, PA",32
VILLA POZZI MOSCATO - GLASS,MILLWORKS HARRISBURG,"HARRISBURG, PA",8
VILLA POZZI MOSCATO - BOTTLE,MILLWORKS HARRISBURG,"HARRISBURG, PA",30
SEANCE PINOT NOIR - GLASS,MILLWORKS HARRISBURG,"HARRISBURG, PA",9
SEANCE PINOT NOIR - BOTTLE,MILLWORKS HARRISBURG,"HARRISBURG, PA",34
MURPHY GOOD RED BLEND - GLASS,MILLWORKS HARRISBURG,"HARRISBURG, PA",10
MURPHY GOOD RED BLEND - BOTTLE,MILLWORKS HARRISBURG,"HARRISBURG, PA",34
