name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
BARQS ROOT BEER,HABIT,NATIONAL,120,0,0,24,30,0,30,0
BLACK TEA,HABIT,NATIONAL,2,0,0,0,1,0,0,0
CITRUS GREEN TEA,HABIT,NATIONAL,2,0,0,0,1,0,0,0
COKE,HABIT,NATIONAL,110,0,0,25,29,0,29,0
DIET COKE,HABIT,NATIONAL,1,0,0,10,1,0,1,0
GLACEAU VITAMINWATER XXX,HABIT,NATIONAL,50,0,0,25,14,0,13,0
MINUTE MAID LEMONADE,HABIT,NATIONAL,100,0,0,70,29,0,27,0
MINUTE MAID LIGHT LEMONADE,HABIT,NATIONAL,0,0,0,30,1,0,0,0
MINUTE MAID LIGHT POMEGRANATE LEMONADE,HABIT,NATIONAL,0,0,0,45,1,0,0,0
PIBB XTRA,HABIT,NATIONAL,100,0,0,40,28,0,28,0
POWERADE MOUNTAIN BLAST,HABIT,NATIONAL,60,0,0,80,16,0,16,0
SPRITE,HABIT,NATIONAL,100,0,0,22,26,0,26,0
STRAWBERRY LIMEADE,HABIT,NATIONAL,120,0,0,0,32,0,31,0
TROPICAL TEA,HABIT,NATIONAL,1,0,0,0,2,0,0,0
CIABATTA BREAD,HABIT,NATIONAL,330,8,0,610,54,1,0,10
ICEBERG LETTUCE WRAP,HABIT,NATIONAL,12,0,0,10,3,1,2,1
PLAIN BUN,HABIT,NATIONAL,160,2,0,280,30,1,4,4
SEEDED BUN,HABIT,NATIONAL,160,3,0,300,35,1,4,5
SOURDOUGH BREAD,HABIT,NATIONAL,290,5,0,400,42,1,1,8
WHEAT BUN,HABIT,NATIONAL,240,3,0,380,47,2,7,8
BBQ BACON CHARBURGER,HABIT,NATIONAL,630,44,85,1780,45,2,17,27
CHARBURGER,HABIT,NATIONAL,470,35,75,1240,35,1,4,20
DOUBLE CHARBURGER,HABIT,NATIONAL,640,55,120,2130,35,3,8,39
LETTUCE WRAP CHARBURGER,HABIT,NATIONAL,352,19,65,990,10,3,2,18
PORTABELLA CHARBURGER,HABIT,NATIONAL,940,76,130,2050,39,2,6,33
SANTA BARBARA CHARBURGER,HABIT,NATIONAL,930,69,150,2360,56,7,5,52
