name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
SALAD LETTUCE BASE,PENN STATION,NATIONAL,20,0,0,13,4,,3,1
WRAP,PENN STATION,NATIONAL,330,14,0,766,50,,3,7
BUTTER FLAVORED OIL,PENN STATION,NATIONAL,39,4,0,36,0,,0,0
COOKIE,PENN STATION,NATIONAL,560,32,20,280,64,,40,4
BACON,PENN STATION,NATIONAL,70,6,15,220,0,,0,4
CHICKEN,PENN STATION,NATIONAL,30,0,17,19,0,,0,7
CHICKEN SALAD,PENN STATION,NATIONAL,67,4,10,140,3,,2,3
CORNED BEEF,PENN STATION,NATIONAL,73,2,33,603,1,,1,12
HAM,PENN STATION,NATIONAL,33,1,12,263,1,,1,5
PEPPERONI,PENN STATION,NATIONAL,140,13,35,490,0,,0,5
SALAMI,PENN STATION,NATIONAL,120,11,35,500,0,,0,5
SAUSAGE,PENN STATION,NATIONAL,87,7,19,260,1,,0,5
STEAK,PENN STATION,NATIONAL,35,1,15,125,0,,0,6
TURKEY,PENN STATION,NATIONAL,25,0,15,270,1,,1,6
ARTICHOKES,PENN STATION,NATIONAL,7,0,0,97,1,,1,1
