name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
MULTI GRAIN BREAD FOR SNACK SUB,PENN STATION,NATIONAL,127,2,0,234,20,,0,4
MULTI GRAIN BREAD FOR SMALL SUB,PENN STATION,NATIONAL,254,5,0,467,40,,0,8
MULTI GRAIN BREAD FOR REGULAR SUB,PENN STATION,NATIONAL,381,7,0,701,60,,0,12
MULTI GRAIN BREAD FOR LARGE SUB,PENN STATION,NATIONAL,508,10,0,935,80,,0,16
WHITE BREAD FOR SNACK SUB,PENN STATION,NATIONAL,117,2,0,274,21,,0,4
WHITE BREAD FOR SMALL SUB,PENN STATION,NATIONAL,234,3,0,548,42,,0,8
WHITE BREAD FOR REGULAR SUB,PENN STATION,NATIONAL,352,5,0,823,63,,0,12
WHITE BREAD FOR LARGE SUB,PENN STATION,NATIONAL,469,8,0,1097,84,,0,16
AMERICAN CHEESE FOR SNACK SUB,PENN STATION,NATIONAL,50,4,13,255,1,,0,3
AMERICAN CHEESE FOR SALAD,PENN STATION,NATIONAL,100,9,26,510,1,,0,5
AMERICAN CHEESE FOR SMALL SUB,PENN STATION,NATIONAL,100,9,26,510,1,,0,5
AMERICAN CHEESE FOR WRAP,PENN STATION,NATIONAL,150,13,39,765,2,,0,8
AMERICAN CHEESE FOR REGULAR SUB,PENN STATION,NATIONAL,150,13,39,765,2,,0,8
AMERICAN CHEESE FOR LARGE SUB,PENN STATION,NATIONAL,200,18,52,1020,2,,0,10
PARMESAN FOR SNACK SUB,PENN STATION,NATIONAL,62,4,14,180,1,,0,5
PARMESAN FOR SMALL SUB,PENN STATION,NATIONAL,124,9,28,360,2,,0,10
PARMESAN FOR WRAP,PENN STATION,NATIONAL,186,14,42,542,3,,0,15
PARMESAN FOR REGULAR SUB,PENN STATION,NATIONAL,186,14,42,542,3,,0,15
PARMESAN FOR SALAD,PENN STATION,NATIONAL,186,14,42,542,3,,0,15
PARMESAN FOR LARGE SUB,PENN STATION,NATIONAL,248,18,56,720,5,,0,20
PROVOLONE CHEESE FOR SNACK SUB,PENN STATION,NATIONAL,51,4,10,127,1,,0,4
PROVOLONE CHEESE FOR SALAD,PENN STATION,NATIONAL,102,8,20,253,1,,0,7
