name,restaurant_name,identifier,calories,price_usd
SATURDAY BEEF BARLEY SOUP | LARGE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,7.50
SATURDAY BEEF BARLEY SOUP | SMALL - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,5.90
COBB SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
BBQ RANCH CHICKEN SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,14.50
PERFECT PAIR SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
CALIFORNIA CITRUS SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
BLACKENED SALMON SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,16.95
TRI-TIP SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,16.95
CHINESE CHICKEN SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
GARDEN SALAD - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,5.95
CHICKEN POT PIE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
LUNCHTIME SPECIAL - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.50
1/2 SANDWICH SPECIAL - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,8.95
CARNE ASADA TACOS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.95
GRILLED CHICKEN QUESADILLA - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.50
CHILE VERDE WET BURRITO - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.50
GOURMET WET BURRITO - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.50
CARNE ASADA BURRITO - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,12.95
AL PASTOR TACOS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.95
AL PASTOR PLATE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.95
CHILE VERDE PLATE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.95
CHILE RELLENO PLATE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.95
CARNE ASADA PLATE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,15.95
POLLO ASADO PLATE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.95
MEXICAN COMBO PLATE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,16.95
SLIDERS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,6.50
FRIED CHICKEN WINGS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,9.00
HOUSE NACHOS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,6.95
JOE'S SPICY NASHVILLE HOT CHICKEN SLIDERS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,7.50
CHILI CHEESE FRIES - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,6.50
IRISH NACHOS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,5.50
FRIED CALAMARI RINGS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,8.00
COCONUT FRIED SHRIMP - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,9.00
SOUTHERN CHICKEN TENDERS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,12.95
JOE'S CHILI SPAGHETTI - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
GRANDMA'S SPAGHETTI - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,12.95
SHEPARD'S PIE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,15.95
SPAGHETTI AND MEATBALLS - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,15.95
CHICKEN POT PIE - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
TUNA SALAD SANDWICH - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.50
TURKEY SANDWICH - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.95
CLUB SANDWICH - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.75
CLASSIC B.L.T. - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.50
CHICKEN SALAD SANDWICH - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,11.50
EGG SALAD SANDWICH - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,9.95
PORTOBELLO MUSHROOM SANDWICH - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,10.95
GRILLED TURKEY MELT - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,12.50
ORTEGA MELT - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.75
TUNA MELT - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,12.75
NEW YORK REUBEN - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,14.75
PATTY MELT - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,13.95
SAN FRANCISCO MELT - REGULAR,CRUTCH & BISCUIT,"CHOWNOW, WICHITA, KS",,14.50
