name,restaurant_name,identifier,calories,price_usd
CRAB CAKES | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,17.95
CRISPY COCONUT SHRIMP | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,15.95
AWARD WINNING CLAM CHOWDER | LUNCH - CUP,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,7.95
AWARD WINNING CLAM CHOWDER | LUNCH - BOWL,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,13.95
AWARD WINNING CLAM CHOWDER | LUNCH - BREAD BOWL,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,16.95
CRISPY HOPPER CALAMARI | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,14.95
MAUI ONION & TOMATO SALAD | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,14.95
SESAME CRUSTED AHI & COCONUT PRAWNS SALAD | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,23.95
LAND & SEA BURGER | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,20.95
KONA BREW FISH & CHIPS | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,18.95
COCONUT SHRIMP | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,19.95
PASTA ISABELLA | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,24.95
MAHI MAHI | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,21.95
YELLOWFIN AHI TUNA | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,23.95
HAWAIIAN ONO | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,21.95
GRILLED SANDDABS | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,21.95
MANGO KIAWE BARBEQUE PORK BABY BACK RIBS | LUNCH - HALF ORDER,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,21.95
MANGO KIAWE BARBEQUE PORK BABY BACK RIBS | LUNCH - FULL ORDER,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,32.95
PARMESAN CHICKEN | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,17.95
10 OZ. MAPLE SOY MARINATED SKIRT STEAK | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,26.95
14 OZ. NEW YORK STEAK | LUNCH - REGULAR,FISH HOPPER,"CHOWNOW, KAILUA KONA, HI",,37.95
