name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
CHICKEN SALAD GRAB N GO SANDWICH ON CROISSANT,NEWKS EATERY,NATIONAL,760,50,,969,45,1,3,31
CHICKEN SALAD GRAB N GO SANDWICH ON WHEATBERRY,NEWKS EATERY,NATIONAL,830,42,,1259,78,5,13,38
HAM GRAB N GO SANDWICH ON CROISSANT,NEWKS EATERY,NATIONAL,599,31,,2144,42,0,1,37
HAM GRAB N GO SANDWICH ON WHEATBERRY,NEWKS EATERY,NATIONAL,658,22,,2312,75,4,11,45
ROAST BEEF GRAB N GO SANDWICH ON CROISSANT,NEWKS EATERY,NATIONAL,488,20,,1026,42,0,1,35
ROAST BEEF GRAB N GO SANDWICH ON WHEATBERRY,NEWKS EATERY,NATIONAL,558,12,,1316,75,4,11,42
TURKEY BREAST GRAB N GO SANDWICH ON CROISSANT,NEWKS EATERY,NATIONAL,599,25,,1891,45,0,3,42
TURKEY BREAST GRAB N GO SANDWICH ON WHEATBERRY,NEWKS EATERY,NATIONAL,658,16,,2059,78,4,13,50
FIVE CHEESE MAC CHEESE SIDE,NEWKS EATERY,NATIONAL,452,29,,1087,28,2,2,18
FIVE CHEESE MAC CHEESE ENTREE,NEWKS EATERY,NATIONAL,793,50,,1992,56,3,3,29
SIX CHEESE PIMIENTO MAC CHEESE WITH BACON SIDE,NEWKS EATERY,NATIONAL,488,37,,1063,21,1,2,17
SIX CHEESE PIMIENTO MAC CHEESE WITH BACON ENTREE,NEWKS EATERY,NATIONAL,1111,84,,2589,41,3,3,42
CHICKEN BACON CLUB SANDWICH HALF,NEWKS EATERY,NATIONAL,536,27,,747,44,2,7,29
CHICKEN BACON CLUB SANDWICH WHOLE,NEWKS EATERY,NATIONAL,1027,48,,1499,88,3,14,58
CHICKEN SALAD SANDWICH HALF,NEWKS EATERY,NATIONAL,501,28,,1100,38,4,4,22
CHICKEN SALAD SANDWICH WHOLE,NEWKS EATERY,NATIONAL,1001,56,,2201,76,8,9,44
CLUB SANDWICH HALF,NEWKS EATERY,NATIONAL,453,19,,1366,44,2,7,25
CLUB SANDWICH WHOLE,NEWKS EATERY,NATIONAL,907,38,,2732,89,3,14,49
FARMERS MARKET SANDWICH HALF,NEWKS EATERY,NATIONAL,324,13,,584,42,6,6,11
FARMERS MARKET SANDWICH WHOLE,NEWKS EATERY,NATIONAL,648,27,,1169,83,11,12,21
GRILLED STEAK SANDWICH HALF,NEWKS EATERY,NATIONAL,345,10,,646,41,2,4,21
GRILLED STEAK SANDWICH WHOLE,NEWKS EATERY,NATIONAL,689,20,,1291,82,4,7,41
PESTO CHICKEN SANDWICH HALF,NEWKS EATERY,NATIONAL,305,5,,605,37,4,4,24
PESTO CHICKEN SANDWICH WHOLE,NEWKS EATERY,NATIONAL,609,11,,1210,75,8,7,49
PIMIENTO CHEESE SANDWICH HALF,NEWKS EATERY,NATIONAL,486,28,,859,38,2,2,18
PIMIENTO CHEESE SANDWICH WHOLE,NEWKS EATERY,NATIONAL,971,57,,1718,76,3,5,36
Q SANDWICH HALF,NEWKS EATERY,NATIONAL,553,30,,1102,39,1,3,29
Q SANDWICH WHOLE,NEWKS EATERY,NATIONAL,1105,60,,2204,79,3,7,58
ROAST BEEF SANDWICH HALF,NEWKS EATERY,NATIONAL,372,12,,1060,38,2,2,24
ROAST BEEF SANDWICH WHOLE,NEWKS EATERY,NATIONAL,744,25,,2121,75,3,4,48
ROYAL SANDWICH HALF,NEWKS EATERY,NATIONAL,420,18,,1358,38,2,2,23
ROYAL SANDWICH WHOLE,NEWKS EATERY,NATIONAL,839,36,,2714,75,3,4,46
SHRIMP POBOY SANDWICH HALF,NEWKS EATERY,NATIONAL,395,12,,958,43,2,6,25
SHRIMP POBOY SANDWICH WHOLE,NEWKS EATERY,NATIONAL,715,22,,1819,86,4,12,38
SMOKED HAM SANDWICH HALF,NEWKS EATERY,NATIONAL,372,14,,1434,37,2,2,22
SMOKED HAM SANDWICH WHOLE,NEWKS EATERY,NATIONAL,743,28,,2870,75,3,4,44
THE ITALIAN SANDWICH HALF,NEWKS EATERY,NATIONAL,596,38,,1691,40,2,2,19
THE ITALIAN SANDWICH WHOLE,NEWKS EATERY,NATIONAL,1191,77,,3351,80,3,4,38
TURKEY AVOCADO SANDWICH HALF,NEWKS EATERY,NATIONAL,430,18,,1156,42,7,5,25
TURKEY AVOCADO SANDWICH WHOLE,NEWKS EATERY,NATIONAL,859,36,,2312,84,14,10,50
TURKEY BREAST SANDWICH HALF,NEWKS EATERY,NATIONAL,365,11,,1377,38,4,5,24
TURKEY BREAST SANDWICH WHOLE,NEWKS EATERY,NATIONAL,729,22,,2755,75,7,9,48
BROCCOLI CHEESE SOUP CUP,NEWKS EATERY,NATIONAL,411,33,,1252,13,2,4,15
