name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
BBQ BACON CHEDDAR BLACK BEAN BURGER,SMASHBURGER,NATIONAL,840,44,110,2860,82,7,11,33
BUTTERFINGER MALT,SMASHBURGER,NATIONAL,910,55,305,270,83,1,71,18
BUTTERFINGER MILKSHAKE,SMASHBURGER,NATIONAL,880,54,305,240,78,1,68,17
CHOCOLATE MALT,SMASHBURGER,NATIONAL,840,49,305,280,78,1,72,17
CHOCOLATE MILKSHAKE,SMASHBURGER,NATIONAL,810,49,305,240,73,1,68,16
CHOCOLATE OREO MALT,SMASHBURGER,NATIONAL,922,53,247,411,96,2,81,16
CHOCOLATE OREO MILKSHAKE,SMASHBURGER,NATIONAL,892,52,245,378,91,2,77,15
CHOCOLATE PEANUT BUTTER MALT,SMASHBURGER,NATIONAL,966,62,287,367,82,2,73,18
CHOCOLATE PEANUT BUTTER MILKSHAKE,SMASHBURGER,NATIONAL,936,61,285,339,77,2,70,17
OREO MALT,SMASHBURGER,NATIONAL,910,55,305,340,83,1,70,18
OREO MILKSHAKE,SMASHBURGER,NATIONAL,880,54,305,310,78,1,66,17
PEANUT BUTTER MALT,SMASHBURGER,NATIONAL,910,63,287,298,67,1,59,19
PEANUT BUTTER MILKSHAKE,SMASHBURGER,NATIONAL,880,62,285,270,62,1,56,18
SALTED CARAMEL MALT,SMASHBURGER,NATIONAL,810,47,245,440,79,0,73,14
SALTED CARAMEL MILKSHAKE,SMASHBURGER,NATIONAL,780,46,245,410,74,0,69,13
STRAWBERRY MALT,SMASHBURGER,NATIONAL,830,49,305,210,76,0,69,17
STRAWBERRY MILKSHAKE,SMASHBURGER,NATIONAL,800,49,305,180,71,0,66,16
VANILLA MALT,SMASHBURGER,NATIONAL,840,49,305,210,79,0,67,17
VANILLA MILKSHAKE,SMASHBURGER,NATIONAL,810,49,305,170,74,0,64,16
KIDS CHICKEN STRIPS WITH BBQ,SMASHBURGER,NATIONAL,370,12,95,2300,43,2,33,23
KIDS CHICKEN STRIPS WITH RANCH,SMASHBURGER,NATIONAL,450,34,115,2060,15,2,9,23
KIDS GRILLED CHEESE,SMASHBURGER,NATIONAL,580,44,120,1280,36,2,4,16
KIDS GRILLED CHICKEN STRIPS,SMASHBURGER,NATIONAL,247,4,79,944,25,4,20,27
KIDS HOT DOG,SMASHBURGER,NATIONAL,460,31,70,1150,31,1,2,16
KIDS SMASHBURGER,SMASHBURGER,NATIONAL,530,32,100,1320,37,1,2,26
BALSAMIC VINAIGRETTE,SMASHBURGER,NATIONAL,170,14,0,540,11,0,11,0
BBQ SAUCE,SMASHBURGER,NATIONAL,70,0,0,460,18,0,15,0
BLUE CHEESE,SMASHBURGER,NATIONAL,600,64,55,1020,4,0,4,4
CHIPOTLE MAYONNAISE,SMASHBURGER,NATIONAL,528,56,44,821,3,0,3,0
RANCH DRESSING,SMASHBURGER,NATIONAL,150,16,15,400,1,0,1,0
AVOCADO CLUB CHICKEN SANDWICH CRISPY,SMASHBURGER,NATIONAL,800,49,150,2400,56,6,11,38
AVOCADO CLUB CHICKEN SANDWICH GRILLED,SMASHBURGER,NATIONAL,610,37,110,1740,39,3,4,34
SCORCHIN HOT CRISPY CHICKEN SANDWICH,SMASHBURGER,NATIONAL,870,56,205,2200,54,3,2,37
FRIED PICKLES,SMASHBURGER,NATIONAL,210,13,20,2100,20,2,2,3
HAYSTACK ONIONS,SMASHBURGER,NATIONAL,560,42,75,1130,42,4,12,5
SMALL WEDGE SALAD,SMASHBURGER,NATIONAL,490,45,60,1140,8,2,6,12
VEGGIE FRITES,SMASHBURGER,NATIONAL,110,6,5,490,12,4,9,2
AVOCADO CLUB BLACK BEAN BURGER,SMASHBURGER,NATIONAL,720,43,70,2180,66,8,5,20
AVOCADO RANCH BLACK BEAN BURGER,SMASHBURGER,NATIONAL,600,29,65,1830,67,9,4,21
BACON CHEESE BLACK BEAN BURGER,SMASHBURGER,NATIONAL,610,27,80,3180,74,6,8,25
CLASSIC BLACK BEAN BURGER,SMASHBURGER,NATIONAL,640,33,80,2610,76,8,8,22
SPICY JALAPENO BAJA BLACK BEAN BURGER,SMASHBURGER,NATIONAL,670,36,70,2100,75,10,7,21
SPINACH CUCUMBER GOAT CHEESE BLACK BEAN BURGER,SMASHBURGER,NATIONAL,519,20,49,1691,69,8,7,19
TRUFFLE MUSHROOM SWISS BLACK BEAN BURGER,SMASHBURGER,NATIONAL,690,40,80,1910,66,7,3,2
