name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
BAJA CHICKEN 4,QUIZNOS,NATIONAL,410,17,60,1210,38,1,6,26
BAJA CHICKEN FLATBREAD,QUIZNOS,NATIONAL,420,21,60,1220,32,3,6,25
BAJA CHICKEN 8,QUIZNOS,NATIONAL,780,31,120,2310,76,3,11,50
BAJA CHICKEN 12,QUIZNOS,NATIONAL,1190,47,180,3510,115,5,18,75
BLACK ANGUS STEAK FLATBREAD,QUIZNOS,NATIONAL,390,15,50,1000,39,4,10,23
BLACK ANGUS STEAK 4,QUIZNOS,NATIONAL,390,13,50,1010,44,2,9,23
BLACK ANGUS STEAK 8,QUIZNOS,NATIONAL,780,27,100,2020,88,4,19,47
BLACK ANGUS STEAK 12,QUIZNOS,NATIONAL,1170,40,150,3060,134,6,30,70
CHICKEN CARBONARA 4,QUIZNOS,NATIONAL,450,20,60,1080,37,2,4,26
CHICKEN CARBONARA FLATBREAD,QUIZNOS,NATIONAL,450,24,60,1070,31,4,3,25
CHICKEN CARBONARA 8,QUIZNOS,NATIONAL,860,40,115,2160,73,3,7,52
CHICKEN CARBONARA 12,QUIZNOS,NATIONAL,1320,62,175,3260,111,5,11,79
CHIPOTLE STEAK CHEDDAR 4,QUIZNOS,NATIONAL,420,22,50,990,36,2,3,20
CHIPOTLE STEAK CHEDDAR FLATBREAD,QUIZNOS,NATIONAL,440,26,50,980,30,4,2,19
CHIPOTLE STEAK CHEDDAR 8,QUIZNOS,NATIONAL,840,44,100,1970,73,4,6,39
CHIPOTLE STEAK CHEDDAR 12,QUIZNOS,NATIONAL,1290,68,150,2990,110,6,8,59
CHIPOTLE TURKEY 4,QUIZNOS,NATIONAL,400,19,55,1100,37,2,5,20
CHIPOTLE TURKEY FLATBREAD,QUIZNOS,NATIONAL,420,23,55,1090,30,4,4,19
CHIPOTLE TURKEY 8,QUIZNOS,NATIONAL,800,38,105,2190,73,4,9,40
CHIPOTLE TURKEY 12,QUIZNOS,NATIONAL,1230,59,165,3320,110,6,13,60
CLASSIC ITALIAN 4,QUIZNOS,NATIONAL,470,26,45,1370,39,2,6,20
CLASSIC ITALIAN FLATBREAD,QUIZNOS,NATIONAL,470,29,45,1370,33,4,5,19
