name,price_usd,calories,restaurant_name,identifier
Kids Grilled Cheese,5.95,340,B.GOOD,"BEDFORD, MA"
Kids Chicken Tenders,6.95,260,B.GOOD,"BEDFORD, MA"
Tractor Lemonade,2.95,130,B.GOOD,"BEDFORD, MA"
Tractor Blackberry Mint Lemonade,2.95,140,B.GOOD,"BEDFORD, MA"
Tractor Stone Fruit Lemonade,2.95,130,B.GOOD,"BEDFORD, MA"
Bottled Water,1.99,,B.GOOD,"BEDFORD, MA"
Spindrift - Lemon,2.75,3,B.GOOD,"BEDFORD, MA"
Spindrift - Grapefruit,2.75,17,B.GOOD,"BEDFORD, MA"
Spindrift - Raspberry Lime,2.75,9,B.GOOD,"BEDFORD, MA"
Spindrift - Lime,2.75,,B.GOOD,"BEDFORD, MA"
Kevita Kombucha - Ginger,4.49,70,B.GOOD,"BEDFORD, MA"
Pure Leaf - Peach,2.99,150,B.GOOD,"BEDFORD, MA"
Pure Leaf - Unsweetened,2.99,0,B.GOOD,"BEDFORD, MA"
Stubborn - Root Beer,2.75,150,B.GOOD,"BEDFORD, MA"
Stubborn - Black Cherry Tarragon,2.75,140,B.GOOD,"BEDFORD, MA"
Stubborn - Agave Vanilla Cream,2.75,150,B.GOOD,"BEDFORD, MA"
Spindrift 6 Pack,9,,B.GOOD,"BEDFORD, MA"
La Colombe - Cold Brew,3.5,,B.GOOD,"BEDFORD, MA"
La Colombe - Draft Latte,3.5,,B.GOOD,"BEDFORD, MA"
Naked Coconut Water,4.49,80,B.GOOD,"BEDFORD, MA"
