name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
CAFFEINE FREE DIET COKE,NEWKS EATERY,NATIONAL,0,0,,110,0,0,0,0
CHERRY COKE,NEWKS EATERY,NATIONAL,400,0,,95,112,0,112,0
COCA COLA,NEWKS EATERY,NATIONAL,400,0,,120,108,0,108,0
COKE ZERO,NEWKS EATERY,NATIONAL,0,0,,110,0,0,0,0
DIET COKE,NEWKS EATERY,NATIONAL,0,0,,110,0,0,0,0
DIET DR. PEPPER,NEWKS EATERY,NATIONAL,0,0,,160,0,0,0,0
DIET SPRITE,NEWKS EATERY,NATIONAL,0,0,,120,0,0,0,0
DR. PEPPER,NEWKS EATERY,NATIONAL,400,0,,160,106,0,102,0
HI C FRUIT PUNCH,NEWKS EATERY,NATIONAL,420,0,,35,112,0,112,0
HI C PINK LEMONADE,NEWKS EATERY,NATIONAL,380,0,,160,100,0,100,0
MELLO YELLO,NEWKS EATERY,NATIONAL,450,0,,120,125,0,125,0
MINUTE MAID LEMONADE,NEWKS EATERY,NATIONAL,360,0,,260,100,0,96,0
MINUTE MAID LIGHT LEMONADE,NEWKS EATERY,NATIONAL,20,0,,140,4,0,0,0
MOUNTAIN BLAST POWERADE,NEWKS EATERY,NATIONAL,210,0,,400,56,0,56,0
ORANGE FANTA,NEWKS EATERY,NATIONAL,430,0,,140,118,0,118,0
ROOT BEER,NEWKS EATERY,NATIONAL,430,0,,180,120,0,118,0
SPLENDA TEA,NEWKS EATERY,NATIONAL,40,0,,30,12,0,8,0
SPRITE,NEWKS EATERY,NATIONAL,390,0,,90,100,0,89,0
SWEET TEA,NEWKS EATERY,NATIONAL,330,0,,30,84,0,81,0
UNSWEETENED ICED TEA,NEWKS EATERY,NATIONAL,10,0,,30,3,0,0,0
BIG CRISPY,NEWKS EATERY,NATIONAL,280,4,,210,60,0,26,2
BROWNIE,NEWKS EATERY,NATIONAL,520,27,,180,66,3,52,6
CARAMEL CAKE SLICE,NEWKS EATERY,NATIONAL,678,29,,698,106,0,84,7
CHOCOLATE CAKE SLICE,NEWKS EATERY,NATIONAL,825,36,,575,128,3,104,8
PEANUT BUTTER CRISPY,NEWKS EATERY,NATIONAL,692,31,,348,96,5,57,11
RED VELVET CAKE SLICE,NEWKS EATERY,NATIONAL,776,35,,556,110,1,90,7
STRAWBERRY CAKE SLICE,NEWKS EATERY,NATIONAL,745,28,,548,126,1,106,4
PIMIENTO CHEESE GRAB N GO SANDWICH,NEWKS EATERY,NATIONAL,1013,64,,1714,76,4,11,37
KIDS APPLE JUICE,NEWKS EATERY,NATIONAL,100,0,,15,24,0,24,0
KIDS CAFFEINE FREE DIET COKE,NEWKS EATERY,NATIONAL,0,0,,40,0,0,0,0
KIDS CHERRY COKE,NEWKS EATERY,NATIONAL,150,0,,35,42,0,42,0
KIDS COCA COLA,NEWKS EATERY,NATIONAL,150,0,,45,40,0,40,0
KIDS COKE ZERO,NEWKS EATERY,NATIONAL,0,0,,40,0,0,0,0
KIDS DIET COKE,NEWKS EATERY,NATIONAL,0,0,,40,0,0,0,0
KIDS DIET DR. PEPPER,NEWKS EATERY,NATIONAL,0,0,,60,0,0,0,0
KIDS DIET SPRITE,NEWKS EATERY,NATIONAL,0,0,,45,0,0,0,0
KIDS DR. PEPPER,NEWKS EATERY,NATIONAL,150,0,,60,40,0,38,0
KIDS HI C FRUIT PUNCH,NEWKS EATERY,NATIONAL,160,0,,15,42,0,42,0
KIDS HI C PINK LEMONADE,NEWKS EATERY,NATIONAL,140,0,,60,38,0,38,0
KIDS MELLO YELLO,NEWKS EATERY,NATIONAL,170,0,,45,47,0,47,0
KIDS MINUTE MAID LEMONADE,NEWKS EATERY,NATIONAL,140,0,,100,38,0,36,0
KIDS MINUTE MAID LIGHT LEMONADE,NEWKS EATERY,NATIONAL,5,0,,50,2,0,0,0
KIDS MOUNTAIN BLAST POWERADE,NEWKS EATERY,NATIONAL,80,0,,150,21,0,21,0
KIDS ORANGE FANTA,NEWKS EATERY,NATIONAL,160,0,,55,44,0,44,0
