name,restaurant_name,identifier,price_usd
CAESAR SALAD | SMALL,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.50 
CAESAR SALAD | LARGE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",8.00 
HOUSE SALAD | SMALL,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.50 
HOUSE SALAD | LARGE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",8.00 
VINNY'S SALAD,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",8.00 
GREEK ARTICHOKE SALAD,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",9.50 
MEATBALL PARM SUB,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",8.00 
42ND STREET SUB,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",9.00 
CHICKEN PARM SUB,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",9.00 
CHEESE CALZONE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",9.00 
SPINACH & MUSHROOM CALZONE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",11.00 
PEPPERONI & ONION CALZONE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",11.00 
HAWAIIAN CALZONE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",11.00 
SAUSAGE & MUSHROOM CALZONE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",11.00 
CHEESE STROMBOLI,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",8.00 
SAUSAGE & PEPPER STROMBOLI,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",10.00 
PEPPERONI & ONION STROMBOLI,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",10.00 
VEGGIE STROMBOLI,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",12.00 
MEAT O' MANIA STROMBOLI,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",12.00 
GF CAPRESE PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",13.00 
GF MEAT O' MANIA PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",15.00 
GF THE WORKS PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",15.00 
GF VEGGIE PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",15.00 
GF VINNY'S SPECIAL PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",15.00 
GF WHITE PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",12.00 
NY CHEESE PIZZA SLICE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",2.95 
WHITE PIZZA SLICE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.00 
VINNY'S SPECIAL PIZZA SLICE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",5.00 
MEAT O' MANIA PIZZA SLICE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",5.00 
VEGGIE PIZZA SLICE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",5.00 
THE WORKS PIZZA SLICE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",5.00 
SICILIAN CHEESE PIZZA SLICE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",3.05 
CHEESE PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",15.50 
WHITE PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",17.00 
VINNY'S SPECIAL PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",26.00 
MEAT O' MANIA PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",26.00 
VEGGIE PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",26.00 
THE WORKS PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",26.00 
MEDITERRANEAN PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",26.00 
CAPRESE PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",22.00 
SICILIAN VINNY'S SPECIAL PIZZA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",28.00 
CHICKEN & SPINACH CANNELLONI,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",11.00 
OVEN BAKED LASAGNA,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",11.00 
CHEESE & SPINACH SHELLS,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",11.00 
ITALIAN CANNOLI,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.50 
TIRAMISU,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.50 
PLAIN CHEESECAKE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.50 
OREO CHEESECAKE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.50 
TURTLE CHEESECAKE,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",4.50 
FOUNTAIN DRINK,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",2.25 
BOTTLED WATER,VINNY'S AUTHENTIC N.Y. PIZZA & GRILL,"ATLANTA, GA",1.25 
