name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
BIG COUNTRY BOWL WITH COUNTRY GRAVY,IHOP,NATIONAL,1021,76,515,1930,39,3,5,45
BIG COUNTRY BOWL WITH SAUSAGE GRAVY,IHOP,NATIONAL,1051,80,520,2070,40,3,5,46
BIG COUNTRY BURRITO BOWL WITH COUNTRY GRAVY,IHOP,NATIONAL,1301,83,520,2600,84,5,7,51
BIG COUNTRY BURRITO BOWL WITH SAUSAGE GRAVY,IHOP,NATIONAL,1331,87,525,2740,85,5,7,52
BUTTERMILK BISCUITS COMBO WITH COUNTRY GRAVY,IHOP,NATIONAL,1171,81,85,2510,88,4,4,20
BUTTERMILK BISCUITS COMBO WITH SAUSAGE GRAVY,IHOP,NATIONAL,1271,91,100,2920,91,4,4,23
CLASSIC BOWL WITH BACON,IHOP,NATIONAL,871,65,475,1700,30,3,3,42
CLASSIC BOWL WITH SAUSAGE,IHOP,NATIONAL,911,73,490,140,30,3,3,35
COUNTRY FRIED STEAK EGGS COMBO WITH COUNTRY GRAVY,IHOP,NATIONAL,1371,87,145,3260,108,7,9,39
COUNTRY FRIED STEAK EGGS COMBO WITH SAUSAGE GRAVY,IHOP,NATIONAL,1441,93,155,3530,110,7,9,41
BUTTERMILK CRISPY CHICKEN DINNER WITH COUNTRY GRAVY,IHOP,NATIONAL,631,30,80,1740,47,2,null,43
BUTTERMILK CRISPY CHICKEN DINNER WITH SAUSAGE GRAVY,IHOP,NATIONAL,701,36,90,2020,49,2,1,45
NEW MEXICO CHICKEN BOWL WITH FIRE ROASTED SALSA,IHOP,NATIONAL,951,46,130,2860,84,13,7,48
NEW MEXICO CHICKEN BOWL WITH CHILE VERDE SALSA,IHOP,NATIONAL,961,47,130,2980,84,13,6,47
SOUTHWEST CHICKEN BOWL WITH FIRE ROASTED SALSA,IHOP,NATIONAL,1101,79,535,2490,42,8,8,57
SOUTHWEST CHICKEN BOWL WITH CHILE VERDE SALSA,IHOP,NATIONAL,1111,80,535,2610,42,8,7,56
T BONE STEAK COMBO 10 OZ,IHOP,NATIONAL,741,28,200,2140,59,4,12,62
T BONE STEAK COMBO 12 OZ,IHOP,NATIONAL,831,37,205,2550,60,4,12,67
T BONE STEAK ENTREE 10 OZ,IHOP,NATIONAL,290,11,115,580,null,1,null,49
T BONE STEAK ENTREE 12 OZ,IHOP,NATIONAL,390,19,125,990,1,1,1,54
CHOCOLATE CHIP BUTTERMILK PANCAKES 3,IHOP,NATIONAL,550,17,65,1500,87,5,35,14
CHOCOLATE CHIP BUTTERMILK PANCAKES 4,IHOP,NATIONAL,691,21,85,2000,110,6,41,18
CHOCOLATE CHOCOLATE CHIP PANCAKES 3,IHOP,NATIONAL,561,18,65,1510,90,7,35,15
CHOCOLATE CHOCOLATE CHIP PANCAKES 4,IHOP,NATIONAL,711,22,85,2000,114,9,41,20
CUPCAKE PANCAKES 3,IHOP,NATIONAL,651,19,70,1530,108,3,52,13
CUPCAKE PANCAKES 4,IHOP,NATIONAL,811,23,90,2030,134,4,59,17
DOUBLE BLUEBERRY PANCAKES 3,IHOP,NATIONAL,490,12,65,1520,83,5,31,13
DOUBLE BLUEBERRY PANCAKES 4,IHOP,NATIONAL,811,23,90,2030,134,4,59,17
HARVEST GRAIN N NUT PANCAKES 4,IHOP,NATIONAL,540,15,80,1140,90,2,17,11
HARVEST GRAIN N NUT PANCAKES 3,IHOP,NATIONAL,621,34,80,1310,62,5,15,16
MEXICAN TRES LECHES PANCAKES 3,IHOP,NATIONAL,540,20,90,1570,76,,20,14
MEXICAN TRES LECHES PANCAKES 4,IHOP,NATIONAL,701,26,115,2080,99,5,26,19
NEW YORK CHEESECAKE PANCAKES 3,IHOP,NATIONAL,721,27,130,1710,101,5,41,17
NEW YORK CHEESECAKE PANCAKES 4,IHOP,NATIONAL,931,36,175,2270,130,6,51,23
ORIGINAL BUTTERMILK PANCAKES 2,IHOP,NATIONAL,300,12,55,1040,39,2,7,9
ORIGINAL BUTTERMILK PANCAKES 3,IHOP,NATIONAL,450,18,80,1560,59,3,11,13
ORIGINAL BUTTERMILK PANCAKES 5,IHOP,NATIONAL,741,30,135,2590,98,5,19,21
STRAWBERRY BANANA PANCAKES 3,IHOP,NATIONAL,531,12,65,1500,95,7,34,14
STRAWBERRY BANANA PANCAKES 4,IHOP,NATIONAL,681,15,85,2000,120,8,41,19
BIG BRUNCH CHICKEN BURGER GRILLED,IHOP,NATIONAL,841,43,335,2640,59,4,10,54
BIG BRUNCH CHICKEN BURGER CRISPY,IHOP,NATIONAL,971,54,265,2180,76,4,9,44
CLASSIC CHICKEN BACON BURGER GRILLED,IHOP,NATIONAL,621,29,165,2530,43,3,11,47
CLASSIC CHICKEN BACON BURGER CRISPY,IHOP,NATIONAL,741,39,100,2070,60,3,11,36
CLASSIC CHICKEN BURGER GRILLED,IHOP,NATIONAL,521,21,155,2210,43,3,11,41
CLASSIC CHICKEN BURGER CRISPY,IHOP,NATIONAL,641,32,90,1750,59,3,10,30
COWBOY BBQ CHICKEN BURGER GRILLED,IHOP,NATIONAL,801,33,165,3000,76,4,23,50
COWBOY BBQ CHICKEN BURGER CRISPY,IHOP,NATIONAL,921,43,95,2540,93,4,22,39
JALAPENO KICK CHICKEN BURGER GRILLED,IHOP,NATIONAL,851,53,180,2340,43,4,10,50
JALAPENO KICK CHICKEN BURGER CRISPY,IHOP,NATIONAL,971,64,115,1880,60,4,10,39
