name,restaurant_name,identifier,calories,price_usd
AGEDASHI TOFU | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,7.75
BAKED GREEN MUSSELS | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,7.50
BRUSSEL SPROUTS | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,7.50
CRAB CHEESE | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,6.95
EGG ROLLS | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,5.50
GRILLED CHICKEN TERIYAKI | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,8.95
GYOZA | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,6.95
MIXED TEMPURA | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,11.50
MUMMY SHRIMP | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,7.50
SHRIMP BACON | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,7.95
SHRIMP TEMPURA | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,10.50
SHUMAI | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,5.95
SQUID KARAGE | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,7.95
VEGETABLE TEMPURA | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,8.25
CHICKEN SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,12.50
CUCUMBER SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,5.50
GREEN SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,5.95
IKA SANSAI SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,7.50
SALMON SKIN SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,13.95
SASHIMI SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,20.50
SASHIMI SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,20.50
SEAFOOD SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,14.95
SEARED ALBACORE SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,18.95
SEAWEED SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,6.50
SOFT SHELL CRAB SALAD | LUNCH - REGULAR,SUSHI PLANET,"CAMARILLO, CA",,12.95
