name,restaurant_name,identifier,calories,price_usd
STARTER BAG - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,28.00
TREASURE CHEST - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,35.00
THE CAPTAIN'S PICK - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,40.00
MASTER OF THE SEA - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,53.00
HOLIDAY FAMILY STYLE BUNDLE - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,115.00
DUNGENESS VOYAGE - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,35.00
CRAWFISH - 1/2 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,7.50
CRAWFISH - 1 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,14.00
SHRIMP (HEAD OFF) - 1/2 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,13.00
SHRIMP (HEAD OFF) - 1 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,23.00
SHRIMP (HEAD ON) - 1/2 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,11.00
SHRIMP (HEAD ON) - 1 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,20.00
SNOW CRAB LEGS - 1 CLUSTER,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,16.50
SNOW CRAB LEGS - 2 CLUSTERS,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,31.00
GREEN MUSSELS - 1/2 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,10.50
GREEN MUSSELS - 1 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,18.00
BLACK MUSSELS - 1/2 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,10.00
BLACK MUSSELS - 1 LB.,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,17.00
KING CRAB LEGS - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,45.00
DUNGENESS CRAB - 1 CLUSTER,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,16.50
DUNGENESS CRAB - 2 CLUSTERS,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,31.00
LOBSTER TAIL - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,21.50
FRIED CATFISH BASKET (3PCS) - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,13.00
FRIED WHITING BASKET (3PCS) - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,13.00
FRIED SHRIMP BASKET (8) - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,14.00
CHICKEN TENDER BASKET (4) - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,12.00
CHICKEN WING BASKET (8) - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,14.00
FRIED CALAMARI - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,11.00
CAJUN CALAMARI - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,11.00
REGULAR FRIES - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,5.00
CAJUN FRIES - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,6.00
SWEET POTATO FRIES - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,7.00
ONION RINGS - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,7.00
CHICKEN WINGS - 6 WINGS,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,8.00
CHICKEN WINGS - 12 WINGS,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,13.00
CORN FRITTERS - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,7.50
MOZZARELLA STICKS (6) - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,7.50
HUSH PUPPIES (10) - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,5.00
CORN - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,1.50
POTATO - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,1.50
BOILED EGG - REGULAR,PHO VIET USA | H STREET NE,"WASHINGTON, DC",,1.50
