name,restaurant_name,identifier,calories,price_usd
BEEF BROCCOLI | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
BEEF CHOW MEIN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
BEEF GARLIC SAUCE | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
BEEF WITH MIXED VEGETABLE | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
BEEF WITH SNOW PEAS | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
CURRY BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
JALAPENO BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.75
KUNG PAO BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
MONGOLIAN BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
MOO SHU BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,11.55
ORANGE BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,11.55
PEPPER STEAK | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
SESAME BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,11.55
SZECHUAN BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
ALMOND CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
CASHEW CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
CHICKEN BROCCOLI | DINNER - LARGE,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
CHICKEN CHOW MEIN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
CHICKEN GARLIC SAUCE | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
CHICKEN WITH MIXED VEGETABLE | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
CHICKEN WITH SNOW PEAS | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
CURRY CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
GENERAL TSO'S CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
JALAPENO CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
KUNG PAO CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
LEMON CHICKEN | DINNER - LARGE,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
MOO GOO GAI PAN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
MOO SHU CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
ORANGE CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
SALT & PEPPER CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
SESAME CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
SWEET & SOUR CHICKEN | DINNER - LARGE,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
TERIYAKI CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
VOLCANO CHICKEN | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.95
CHICKEN | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,13.45
COMBINATION | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,14.05
PAN FRIED NOODLE | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,14.05
PORK COMBO | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,13.45
SALTED FISH & CHICKEN FRIED RICE | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,14.05
SHRIMP | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,14.05
TOFU | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,13.05
VEGETABLES | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,12.45
BEEF COMBO | COMBO - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,14.05
TOFU | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,9.95
VEGETABLES | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,8.95
BEEF | DINNER - REGULAR,PIZZAS BY MARCHELLONI,"CHOWNOW, PERU, IL",,10.55
