name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
EVERYTHING HOOK LADDER SUB,FIREHOUSE SUBS,NATIONAL,817,35,110,1947,79,3,13,40
CATERING SALAD CHOPPED,FIREHOUSE SUBS,NATIONAL,100,5,15,270,8,3,3,8
CATERING SALAD CHOPPED DELUXE CHICKEN,FIREHOUSE SUBS,NATIONAL,150,7,45,620,9,3,4,16
CATERING SALAD CHOPPED DELUXE HAM,FIREHOUSE SUBS,NATIONAL,170,7,35,540,14,3,9,16
CATERING SALAD CHOPPED DELUXE TUNA SALAD,FIREHOUSE SUBS,NATIONAL,230,16,25,470,11,3,5,13
CATERING SALAD CHOPPED DELUXE TURKEY,FIREHOUSE SUBS,NATIONAL,140,6,25,630,10,3,4,16
CATERING SALAD PLATTER,FIREHOUSE SUBS,NATIONAL,35,0,0,15,8,3,4,2
CATERING SUB DELUXE PLATTER,FIREHOUSE SUBS,NATIONAL,450,14,60,1500,50,3,13,34
CATERING SUB PLATTER,FIREHOUSE SUBS,NATIONAL,430,12,60,1440,51,3,14,34
CHICKEN SUB BOXED LUNCH,FIREHOUSE SUBS,NATIONAL,520,18,90,1710,56,4,11,37
CORNED BEEF SUB BOXED LUNCH,FIREHOUSE SUBS,NATIONAL,550,22,80,2170,54,4,9,35
HAM SUB BOXED LUNCH,FIREHOUSE SUBS,NATIONAL,560,17,70,1510,70,4,23,37
PASTRAMI SUB BOXED LUNCH,FIREHOUSE SUBS,NATIONAL,510,18,70,1990,56,4,9,33
ROAST BEEF SUB BOXED LUNCH,FIREHOUSE SUBS,NATIONAL,530,17,80,1690,54,4,9,39
TURKEY SUB BOXED LUNCH,FIREHOUSE SUBS,NATIONAL,490,15,50,1730,58,4,11,37
VEGGIE SUB BOXED LUNCH,FIREHOUSE SUBS,NATIONAL,520,23,50,1230,58,4,10,25
CHOPPED HOOK LADDER SALAD,FIREHOUSE SUBS,NATIONAL,264,8,52,943,21,5,12,30
FIREHOUSE CHOPPED SALAD WITH GRILLED CHICKEN,FIREHOUSE SUBS,NATIONAL,375,10,159,1687,14,5,4,57
FIREHOUSE CHOPPED SALAD WITH HAM,FIREHOUSE SUBS,NATIONAL,307,9,56,1084,27,5,18,31
FIREHOUSE CHOPPED SALAD WITH TURKEY,FIREHOUSE SUBS,NATIONAL,224,7,47,1022,15,5,6,29
FIREHOUSE CHOPPED SALAD WITHOUT NO MEAT,FIREHOUSE SUBS,NATIONAL,125,5,16,294,11,5,4,10
FIREHOUSE CHOPPED SIDE SALAD,FIREHOUSE SUBS,NATIONAL,62,2,8,92,5,2,2,5
ITALIAN CHOPPED SALAD WITH GRILLED CHICKEN SALAD,FIREHOUSE SUBS,NATIONAL,409,22,116,1576,14,5,5,39
KID039S GRILLED CHEESE,FIREHOUSE SUBS,NATIONAL,438,27,30,716,32,0,2,12
KID039S HAM SUB,FIREHOUSE SUBS,NATIONAL,261,7,30,750,30,1,9,18
KID039S TURKEY SUB,FIREHOUSE SUBS,NATIONAL,220,6,26,719,24,1,2,17
KIDS MEATBALL SUB,FIREHOUSE SUBS,NATIONAL,357,20,40,791,27,1,3,16
KIDS ROAST BEEF SUB,FIREHOUSE SUBS,NATIONAL,251,7,36,720,22,1,2,20
1 CHOCOLATE MILK,FIREHOUSE SUBS,NATIONAL,150,2,10,170,26,1,23,7
1 MILK,FIREHOUSE SUBS,NATIONAL,90,2,10,105,10,0,10,7
APPLE JUICE,FIREHOUSE SUBS,NATIONAL,100,0,0,15,24,0,2,0
BALSAMIC SALAD DRESSING,FIREHOUSE SUBS,NATIONAL,108,9,0,341,7,0,7,0
HONEY MUSTARD DRESSING,FIREHOUSE SUBS,NATIONAL,300,27,21,256,15,0,15,2
ITALIAN DRESSING,FIREHOUSE SUBS,NATIONAL,174,15,0,928,8,0,6,0
LIGHT ITALIAN DRESSING,FIREHOUSE SUBS,NATIONAL,85,8,0,510,2,0,2,0
OIL VINEGAR,FIREHOUSE SUBS,NATIONAL,251,28,0,1,0,0,0,0
PEPPERCORN RANCH,FIREHOUSE SUBS,NATIONAL,188,17,19,604,4,0,2,2
BANANA PEPPERS FOR SALAD,FIREHOUSE SUBS,NATIONAL,1,0,0,233,0,0,0,0
BLACK OLIVES ADD ON,FIREHOUSE SUBS,NATIONAL,25,2,0,71,1,1,0,0
JALAPENO PEPPERS FOR SALAD,FIREHOUSE SUBS,NATIONAL,0,0,0,233,0,0,0,0
5 CHEESE MAC CHEESE,FIREHOUSE SUBS,NATIONAL,380,20,50,1400,33,1,2,17
BROWNIE,FIREHOUSE SUBS,NATIONAL,430,20,75,240,61,1,38,4
CHILI SIDE,FIREHOUSE SUBS,NATIONAL,180,9,25,510,13,3,3,11
CHOCOLATE CHIP COOKIE,FIREHOUSE SUBS,NATIONAL,310,15,30,170,44,2,26,4
CHOCOLATE MINT COOKIE,FIREHOUSE SUBS,NATIONAL,310,15,30,180,43,2,27,4
COLESLAW SIDE,FIREHOUSE SUBS,NATIONAL,140,12,5,180,9,2,5,1
CRUNCHY CHEETOS,FIREHOUSE SUBS,NATIONAL,310,21,0,500,26,1,2,3
DORITOS COOL RANCH,FIREHOUSE SUBS,NATIONAL,260,13,0,320,31,3,2,3
DORITOS NACHO CHEESE,FIREHOUSE SUBS,NATIONAL,240,14,0,360,28,2,1,3
FRITOS,FIREHOUSE SUBS,NATIONAL,320,20,0,320,32,3,1,3
FUNYUNS,FIREHOUSE SUBS,NATIONAL,160,8,0,350,20,1,1,2
LAYS KETTLE COOKED CHIPS,FIREHOUSE SUBS,NATIONAL,190,8,0,180,27,2,1,3
LAYS KETTLE COOKED JALAPENO CHEDDAR CHIPS,FIREHOUSE SUBS,NATIONAL,190,8,0,180,26,2,2,3
LAYS ORIGINAL CHIPS,FIREHOUSE SUBS,NATIONAL,240,16,0,250,23,2,1,3
LAYS SOUR CREAM AND ONION CHIPS,FIREHOUSE SUBS,NATIONAL,240,15,0,240,23,2,1,3
LEMON COOKIE,FIREHOUSE SUBS,NATIONAL,330,16,25,210,43,1,25,4
MISS VICKIES HAND PICKED JALAPENO CHIPS,FIREHOUSE SUBS,NATIONAL,210,12,0,180,22,2,2,3
MISS VICKIES SEA SALT AND VINEGAR CHIPS,FIREHOUSE SUBS,NATIONAL,210,12,0,230,23,2,2,2
MISS VICKIES SIMPLY SEA SALT ORIGINAL CHIPS,FIREHOUSE SUBS,NATIONAL,210,13,0,120,22,2,1,3
MISS VICKIES SMOKEHOUSE BBQ CHIPS,FIREHOUSE SUBS,NATIONAL,210,12,0,200,23,2,2,3
OATMEAL RAISIN COOKIE,FIREHOUSE SUBS,NATIONAL,290,11,25,135,45,2,25,4
OVEN BAKED LAYS BBQ CHIPS,FIREHOUSE SUBS,NATIONAL,140,3,0,220,24,2,4,2
OVEN BAKED LAYS REGULAR CHIPS,FIREHOUSE SUBS,NATIONAL,130,2,0,150,26,2,2,2
OVEN BAKED RUFFLES CHEDDAR AND SOUR CREAM CHIPS,FIREHOUSE SUBS,NATIONAL,130,4,0,270,24,1,2,2
PICKLE SPEAR,FIREHOUSE SUBS,NATIONAL,5,0,0,240,1,0,0,0
RICE KRISPIES TREAT,FIREHOUSE SUBS,NATIONAL,45,1,0,53,9,0,4,0
SUNCHIPS HARVEST CHEDDAR,FIREHOUSE SUBS,NATIONAL,210,10,0,310,29,4,3,3
BROCCOLI CHEESE SOUP,FIREHOUSE SUBS,NATIONAL,340,28,50,1240,12,1,5,11
CHICKEN NOODLE SOUP,FIREHOUSE SUBS,NATIONAL,120,2,30,1030,18,1,3,8
EVERYTHING HOAGIE ROLL,FIREHOUSE SUBS,NATIONAL,400,10,0,700,62,2,1,12
GLUTEN FREE CIABATTA ROLL,FIREHOUSE SUBS,NATIONAL,190,2,0,300,40,6,5,3
ONION,FIREHOUSE SUBS,NATIONAL,19,0,0,2,4,1,2,1
