name,restaurant_name,identifier,calories,price_usd
"BUILD YOUR OWN MEDIUM PIZZA - 12"" MEDIUM",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,9.99
"BUILD YOUR OWN LARGE PIZZA - 14"" LARGE",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,11.99
"BUILD YOUR OWN FAMILY PIZZA - 16"" FAMILY",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,13.99
"BUILD YOUR OWN 10 INCH  GLUTEN FREE PIZZA - 10"" GLUTEN FREE",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,12.99
"MEAT LOVERS - 12"" MEDIUM",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,16.99
"MEAT LOVERS - 14"" LARGE",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,19.99
"MEAT LOVERS - 16"" FAMILY",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,22.99
"MEAT LOVERS - 10"" GLUTEN FREE",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,16.99
"MAMA'S DELUXE - 12"" MEDIUM",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,16.99
"MAMA'S DELUXE - 14"" LARGE",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,19.99
"MAMA'S DELUXE - 16"" FAMILY",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,22.99
"MAMA'S DELUXE - 10"" GLUTEN FREE",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,16.99
"MAMA'S VEGGIE - 12"" MEDIUM",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,16.99
"MAMA'S VEGGIE - 14"" LARGE",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,19.99
"MAMA'S VEGGIE - 16"" FAMILY",NORTH AUGUSTA | WIFESAVER RESTAURANT,"CHOWNOW, NORTH AUGUSTA, SC",,22.99
