name,restaurant_name,identifier,calories,price_usd
#3 DOUBLE CHEESEBURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.79
#4 RED STEER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.29
#5 ATKINS SPECIAL (BUNLESS) - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.79
#6 TURKEY BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#8. JALAPENO BOTTLE CAP BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#12 TEXAS CHILI BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.79
#14 THE WORKS - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#18 MUSHROOM SWISS BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#19 VEGGIE BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.29
#20  BACON BLEU - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#21 CHEDDAR STEER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.79
#22 THE HOT COWBOY - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.79
#23 BREAKFAST BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,10.99
#25 PATTY MELT - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#26 KICKIN CHICKEN FRIED BACON BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
JULY BURGER OF THE MONTH - PHILLY BURGER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#7 BLT - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,7.99
#9 HAM & CHEESE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,7.79
#10 GRILLED CHEESE SANDWICH - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,6.49
#11 KICKIN' CHICKEN FRIED STEAK OR CHICKEN SANDWICH - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
#15 GRILLED CHICKEN SANDWICH - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,8.99
#16 FLAMING ROOSTER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,8.99
#17 CHICKEN CLUB - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
FLAMING DAWG - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,6.79
HOT DAWG - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,5.99
KICKIN' CHICKEN FRIED RIBEYE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,12.99
KICKIN' CHICKEN FRIED CHICKEN - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,11.99
GRILLED CHICKEN SALAD - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,8.99
KICKIN' CHICKEN TENDER SALAD - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,10.99
GRILLED CHICKEN CAESAR SALAD - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,8.99
COBB SALAD - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,9.99
GARDEN SALAD - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,6.99
FRENCH FRIES OR TATER TOTS - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
CHEDDAR FRIES OR TOTS - SMALL,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.79
CHEDDAR FRIES OR TOTS - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,6.99
"CHEDDAR FRIES OR TOTS WITH CHILI, CHIVES, BACON & JALAPENOS - SMALL",ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,6.58
"CHEDDAR FRIES OR TOTS WITH CHILI, CHIVES, BACON & JALAPENOS - REGULAR",ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,8.78
SWEET POTATO FRIES - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.49
JUMPIN' JAKE'S FRIES - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
BEER BATTERED ONION RINGS - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.49
SIDE GARDEN SALAD - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.79
SIDE CAESAR SALAD - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.79
FRIED CAULIFLOWER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,6.99
FRIED MUSHROOMS - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,6.99
ROOT BEER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.29
ICED TEA - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
SODA - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
COFFEE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
JUICE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
MILK - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
RED BULL - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.50
BOTTLED WATER - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
MEXICAN BOTTLED COKE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
TOPO CHICO - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.99
TEA AND LEMONADE BY THE GALLON - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,5.99
SHAKE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.99
SHAKE OF THE MONTH - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.99
MALT - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.99
GRANNY JAKE'S MELLOW CAKE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,5.99
SIDE OF GRAVY - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.95
SIDE OF DRESSING - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.35
SIDE OF MARINARA - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.50
MARSHMALLOW - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.50
JALAPENOS - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.35
MUSHROOMS - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.50
CHILI - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.75
BACON - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.95
BURGER PATTY - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,1.50
CHICKEN BREAST - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,2.50
VEGGIE PATTY - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.00
TURKEY PATTY - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.00
PICKLE SLICES - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.35
HICKORY SAUCE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.35
PICO DE GALLO - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.95
EGG - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,1.25
SIDE SALSA - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,0.75
GALLON OF JAKES ROCKS MARGARITA - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,30.00
DREAMING TREE CRUSH RED BLEND - BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,27.00
COORS LIGHT BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.00
RUFFINO PINOT GRIGIO BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,27.00
ANGRY ORCHARD BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.50
BUD LIGHT BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.00
CORONA BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.50
CORONA LIGHT BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.50
CORONA PREMIER BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.50
KIM CRAWFORD SAUVIGNON BLANC BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,33.00
MICH ULTRA BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.00
MILLER LITE BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.00
O'DOUL'S BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.00
PABST BLUE RIBBON - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,3.75
SHINER LIGHT BLONDE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.00
MEOMI CHARDONNAY BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,31.00
KENDALL JACKSON CHARDONNAY - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,31.00
MEOMI PINOT NOIR BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,33.00
RAVAGE CABERNET SAUVIGNON BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,29.00
TOM GORE CABERNET SAUVIGNON BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,31.00
BUDWEISER BOTTLE - REGULAR,ZYKA: THE TASTE | ALPHARETTA,"CHOWNOW, ALPHARETTA, GA",,4.00
