name,restaurant_name,identifier,calories,price_usd
BIG. COXINHA / PLAIN CHICKEN - 100 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,37.99
BIG.4 CHEESE BALLS / 4 QUEIJOS - 10 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,5.99
BIG.4 CHEESE BALLS / 4 QUEIJOS - 25 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,14.99
BIG.4 CHEESE BALLS / 4 QUEIJOS - 50 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,23.99
BIG.4 CHEESE BALLS / 4 QUEIJOS - 100 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,37.99
BIG . PIZZA FLAVOR - 10 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,5.99
BIG . PIZZA FLAVOR - 25 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,14.99
BIG . PIZZA FLAVOR - 50 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,23.99
BIG . PIZZA FLAVOR - 100 UNIDADES,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,37.99
DRINK´S - COCA COLA CAN,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,1.60
DRINK´S - FANTA CAN,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,1.60
DRINK´S - SPRIT CAN,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,1.60
DRINK´S - COCA ZERO CAN,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,1.60
DRINK´S - CANADA DRY CAN,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,1.60
DRINK´S - GUARANA ANTARTICA CAN,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,1.60
DRINK´S - MATE COURO 350 ML,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,1.60
DRINK´S - RED BULL 250 ML,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,2.99
DRINK´S - COCA COLA 600 ML,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,2.30
DRINK´S - COCA COLA 2 LIT.,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.50
DRINK´S - FANTA 2 LIT.,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.50
DRINK´S - MATE COURO 2 LIT.,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.80
DRINK´S - GUARANA ANTARTICA 2 LIT.,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.99
AÇAI - SMALL,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,7.99
AÇAI - LARGE,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,11.99
PASTEL - CARNE,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.49
PASTEL - FRANGO,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.49
PASTEL - PIZZA,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.49
PASTEL - QUEIJO,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.49
PASTEL - CATUPIRY,MINI BITES FACTORY | EVERETT,"CHOWNOW, EVERETT, MA",,3.99
