name,restaurant_name,identifier,calories,price_usd
A1. SPRING ROLLS WITH SHRIMPS - REGULAR (2),PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,6.00
A3. EGG ROLL WITH GROUND PORK - REGULAR (3),PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,6.00
A2. VEGGIE SPRING ROLLS WITH TOFU - REGULAR (2),PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,6.00
A25. ROLLS PLATTERS - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,10.00
A4. VEGGIE EGG ROLLS WITH TOFU - REGULAR (3),PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,6.00
A5. CRISPY SHRIMP DUMPLING - REGULAR (4),PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,6.00
A8. SPRING ROLLS W/ GRILLED LEMONGRASS CHICKEN - REGULAR (2),PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,6.00
N5. SPECIAL COMBO PHO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
N6. RARE STEAK & BRISKET PHO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,11.00
N7. CHICKEN PHO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,11.00
N8. SEAFOOD PHO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
N9. SHRIMPS PHO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
N10. VEGGIE PHO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,11.00
N11. SPICY LEMONGRASS BEEF SOUP - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
N12. MEATBALL PHO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,11.00
R13. SPECIAL COMBO RICE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
R14. STIR FRIED SHRIMPS RICE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
R15. VEGGIE RICE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
R16. BONELESS CHICKEN RICE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
R17. CHICKEN FRIED RICE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,10.00
R18. SEAFOOD FRIED RICE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
DN19. NOODLES COMBO - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
DN20. SHRIMPS NOODLE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
DN21. VEGGIE NOODLES - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,12.00
B22. LEMONGRASS GRILLED CHICKEN BANH MI - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,9.00
B24. BANH MI WITH TOFU - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,9.00
B23. VIETNAMESE HAM BANH MI - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,9.00
SOFT DRINKS - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,2.00
COCONUT JUICE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,3.00
LEMONADE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,4.00
JASMINE TEA - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,2.00
VIETNAMESE ICED COFFEE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,4.00
SEA-SALT MILK FOAM COFFEE - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,5.00
LEMONGRASS TEA - REGULAR,PHO VIET USA | NEW HAMPSHIRE AVE,"CHOWNOW, WASHINGTON, DC",,5.00
