name,restaurant_name,identifier,calories,price_usd
SEASONAL PORIYAL - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,12.00
PAPADUM & CHUTNEYS - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,7.00
PANI PURI - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,8.00
AVOCADO BHEL PURI - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,11.00
VADA PAV & IDLI FRIES - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,8.00
HARA BARA KABOB - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,11.00
KEEMA PAV - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,12.00
AFGHANI SEEKH KABOB - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,15.00
MALAI CHICKEN TIKKA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,14.00
CHARBROILED PANEER TIKKA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,13.00
CHARBROILED SALMON KABOB - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,15.00
CLASSIC MASALA DOSA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,14.00
CHEESE DOSA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,15.00
FUNGI MUSHROOM DOSA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,16.00
PAPER DOSA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,15.00
LAMB KEEMA DOSA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,16.00
BUTTER CHICKEN - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,18.00
KASHMIRI ROGAN JOSH - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,19.00
GOAN PRAWN MASALA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,22.00
CHANNA BHATURA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,17.00
BHINDI MASALA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,17.00
DAL BHUKARA - REGULAR,TUMBI | CRAFT INDIAN KITCHEN,"SANTA MONICA, CA",,9.00
