name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
3 MEAT TREAT PIZZA,LITTLE CAESARS,NATIONAL,346,17,40,776,32,2,2,16
5 MEAT FEAST PIZZA,LITTLE CAESARS,NATIONAL,343,17,41,843,32,2,2,17
HOT N READY CHEESE PIZZA,LITTLE CAESARS,NATIONAL,244,8,19,460,31,2,2,12
HOT N READY PEPPERONI PIZZA,LITTLE CAESARS,NATIONAL,276,11,26,583,31,2,2,13
HULA HAWAIIAN W PINEAPPLE AND HAM PIZZA,LITTLE CAESARS,NATIONAL,273,9,28,689,34,2,4,15
ITALIAN SAUSAGE PIZZA,LITTLE CAESARS,NATIONAL,284,11,28,560,32,2,2,14
PEPPERONI CHEESERCHEESER PIZZA,LITTLE CAESARS,NATIONAL,300,14,29,578,31,1,2,14
SEASONED BEEF PIZZA,LITTLE CAESARS,NATIONAL,344,13,29,626,40,2,2,16
SOFT PRETZEL CRUST PEPPERONI PIZZA,LITTLE CAESARS,NATIONAL,270,11,20,570,31,1,2,11
ULTIMATE SUPREME PIZZA,LITTLE CAESARS,NATIONAL,303,13,31,675,32,2,2,14
VEGGIE PIZZA,LITTLE CAESARS,NATIONAL,281,11,19,664,33,3,2,13
BUFFALO RANCH,LITTLE CAESARS,NATIONAL,230,23,20,580,4,0,3,1
BUTTERY GARLIC,LITTLE CAESARS,NATIONAL,370,42,0,330,0,0,0,0
CHEEZY JALAPENO,LITTLE CAESARS,NATIONAL,210,21,15,460,3,0,2,1
CRAZY BREAD,LITTLE CAESARS,NATIONAL,100,3,1,161,16,1,1,3
CRAZY COMBO,LITTLE CAESARS,NATIONAL,105,3,1,228,17,1,1,3
CRAZY SAUCE,LITTLE CAESARS,NATIONAL,30,0,0,530,7,2,0,1
ITALIAN CHEESE BREAD,LITTLE CAESARS,NATIONAL,134,5,9,22,16,1,1,6
PEPPERONI CHEESE BREAD,LITTLE CAESARS,NATIONAL,152,7,13,284,16,1,1,7
RANCH,LITTLE CAESARS,NATIONAL,230,23,20,480,4,0,3,2
STUFFED CRAZY BREAD,LITTLE CAESARS,NATIONAL,327,13,20,653,42,2,2,12
ZESTY CHEESE BREAD,LITTLE CAESARS,NATIONAL,149,7,9,249,16,1,1,6
BBQ WINGS,LITTLE CAESARS,NATIONAL,620,35,285,2300,32,0,24,48
BUFFALO HOT WINGS,LITTLE CAESARS,NATIONAL,510,35,285,3600,3,0,0,47
GARLIC PARMESAN WINGS,LITTLE CAESARS,NATIONAL,670,51,290,2510,5,0,0,49
OVEN ROASTED WINGS,LITTLE CAESARS,NATIONAL,510,35,285,1740,3,0,0,47
DEEP DEEP DISH 3 MEAT TREAT PIZZA,LITTLE CAESARS,NATIONAL,435,22,46,898,40,2,2,20
5 MEAT FEAST DEEP DEEP DISH PIZZA,LITTLE CAESARS,NATIONAL,438,22,50,1011,40,2,2,21
DEEP DEEP DISH CHEESE PIZZA,LITTLE CAESARS,NATIONAL,313,11,22,521,40,2,2,15
DEEP DEEP DISH HULA HAWAIIAN PIZZA,LITTLE CAESARS,NATIONAL,336,11,29,694,43,2,4,17
DEEP DEEP DISH ITALIAN SAUSAGE PIZZA,LITTLE CAESARS,NATIONAL,353,14,31,634,40,2,2,17
DEEP DEEP DISH PEPPERONI PIZZA,LITTLE CAESARS,NATIONAL,346,14,30,653,40,2,2,16
DEEP DEEP DISH SEASONED BEEF PIZZA,LITTLE CAESARS,NATIONAL,344,13,29,626,40,2,2,16
STUFFED CRUST DEEPDEEP DISH PIZZA,LITTLE CAESARS,NATIONAL,350,14,25,680,39,2,4,16
DEEP DEEP DISH ULTIMATE SUPREME PIZZA,LITTLE CAESARS,NATIONAL,381,16,36,778,42,3,3,18
VEGGIE DEEP DEEP DISH PIZZA,LITTLE CAESARS,NATIONAL,341,12,23,704,42,3,3,15
PEPPERONI CHEESE STUFFED CRUST,LITTLE CAESARS,NATIONAL,870,76,175,3180,10,0,2,38
