name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
ALOHA PINEAPPLE SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,310,1,5,45,67,2,67,7
ALOHA PINEAPPLE SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,400,1,5,55,89,3,90,7
ALOHA PINEAPPLE SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,510,1,5,65,115,4,114,8
CARIBBEAN PASSION SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,260,1,5,35,63,2,58,2
CARIBBEAN PASSION SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,340,1,5,45,82,3,77,2
CARIBBEAN PASSION SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,420,2,5,55,102,4,95,3
MANGO A GO GO SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,300,1,5,35,73,2,66,1
MANGO A GO GO SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,400,2,5,45,97,3,89,2
MANGO A GO GO SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,510,2,5,60,123,4,112,2
MATCHA GREEN TEA BLAST SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,270,0,5,130,56,1,57,8
MATCHA GREEN TEA BLAST SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,410,0,0,200,87,2,93,12
MATCHA GREEN TEA BLAST SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,500,0,5,240,105,2,102,14
ORANGE DREAM MACHINE SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,310,1,5,95,68,0,71,5
ORANGE DREAM MACHINE SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,440,1,10,125,97,1,97,7
ORANGE DREAM MACHINE SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,550,2,10,160,120,1,120,9
PEANUT BUTTER MOOD SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,430,10,5,190,75,3,72,13
PEANUT BUTTER MOOD SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,720,20,10,330,120,5,109,22
PEANUT BUTTER MOOD SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,910,29,10,420,144,6,131,29
RAZZMATAZZ SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,270,1,5,30,65,3,54,1
RAZZMATAZZ SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,360,1,5,40,87,4,74,1
RAZZMATAZZ SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,460,2,5,55,112,4,96,2
STRAWBERRIES WILD SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,240,0,0,50,57,2,55,3
STRAWBERRIES WILD SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,340,0,0,75,81,3,75,5
STRAWBERRIES WILD SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,430,0,0,95,103,4,97,6
STRAWBERRY SURF RIDER SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,250,1,5,15,60,3,70,1
STRAWBERRY SURF RIDER SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,340,1,5,25,84,4,98,1
STRAWBERRY SURF RIDER SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,420,2,5,25,102,4,128,1
WATERMELON BREEZE SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,280,1,5,35,68,2,58,2
WATERMELON BREEZE SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,400,1,5,50,97,3,82,2
WATERMELON BREEZE SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,480,1,5,60,118,4,100,3
WHITE GUMMI SMOOTHIE SMALL,JAMBA JUICE,NATIONAL,320,0,0,65,74,0,0,2
WHITE GUMMI SMOOTHIE MEDIUM,JAMBA JUICE,NATIONAL,450,0,0,85,105,0,0,2
WHITE GUMMI SMOOTHIE LARGE,JAMBA JUICE,NATIONAL,590,0,0,120,135,0,0,4
ORANGE CARROT TWIST JUICE SMALL,JAMBA JUICE,NATIONAL,210,1,0,170,48,0,34,4
