name,restaurant_name,identifier,calories,price_usd
"BBQ CHICKEN - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"BBQ CHICKEN - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"BBQ CHICKEN - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"THE RANCHER - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"THE RANCHER - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"THE RANCHER - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"THE RANCHER - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"SPICY ITALIAN - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"SPICY ITALIAN - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"SPICY ITALIAN - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"SPICY ITALIAN - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"CHICKEN BACON GARLIC - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"CHICKEN BACON GARLIC - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"CHICKEN BACON GARLIC - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"CHICKEN BACON GARLIC - 10""GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"CLASSIC ITALIAN - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"CLASSIC ITALIAN - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"CLASSIC ITALIAN - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"CLASSIC ITALIAN - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"VEGETARIAN - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"VEGETARIAN - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"VEGETARIAN - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"VEGETARIAN - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"CHICKEN BACON ARTICHOKE - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"CHICKEN BACON ARTICHOKE - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"CHICKEN BACON ARTICHOKE - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"CHICKEN BACON ARTICHOKE - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"MEDITERRANEAN - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"MEDITERRANEAN - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"MEDITERRANEAN - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"MEDITERRANEAN - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"MARGARITA - 12"" MEDIUM",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
"MARGARITA - 14"" LARGE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,19.99
"MARGARITA - 16"" FAMILY",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,22.99
"MARGARITA - 10"" GLUTEN FREE",NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,16.99
BONELESS WINGS - 8 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,7.99
BONELESS WINGS - 12 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,10.99
BONELESS WINGS - 16 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,13.99
BONELESS WINGS - 24 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,20.99
TRADITIONAL WINGS - 8 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,7.99
TRADITIONAL WINGS - 12 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,10.99
TRADITIONAL WINGS - 16 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,13.99
TRADITIONAL WINGS - 24 WINGS,NORTH LEG | WIFESAVER RESTAURANT,"CHOWNOW, AUGUSTA, GA",,20.99
