name,restaurant_name,identifier,price_usd
CREATE YOUR OWN 12 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",9.25
CREATE YOUR OWN 14 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",12.25
CREATE YOUR OWN PIZZA 16 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",13.25
THE WORKS PERSONAL- 12 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",15.25
THE MEAT O'MANIA PERSONAL- 12 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",15.25
THE VINNY'S SPECIAL PERSONAL- 12 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",15.25
VINNY'S WHITE PERSONAL-12 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",12.25
THE VEGGIE PERSONAL- 12 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",14.25
THE WORKS MEDIUM-14 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",19.25
THE MEAT O'MANIA MEDIUM-14 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",19.25
THE VINNY'S SPECIAL MEDIUM-14 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",19.25
VINNY'S WHITE MEDIUM- 14 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",19.25
THE VEGGIE MEDIUM- 14 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",18.25
"THE WORKS LARGE-16"" INCH",VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",22.25
THE MEAT O'MANIA LARGE-16 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",22.25
THE VINNY'S SPECIAL LARGE- 16 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",22.25
VINNY'S WHITE LARGE- 16 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",15.25
THE VEGGIE LARGE- 16 INCH,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",20.25
CALZONES- W/ SIDE TOMATO SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",10.25
CALZONE MEAT O'MANIA- W/ SIDE TOMATO SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",15.25
CALZONE THE WORKS- W/ SIDE TOMATO SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",15.25
CALZONE THE VEGGIE- W/ SIDE TOMATO SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",14.25
SAUSAGE ROLL W/ SIDE TOMATO SAUCE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",12.25
SLICE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",3
CALAMARI FRITTI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.75
CHICKEN TENDERS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.25
MOZZARELLA STICKS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.75
ITALIAN GARLIC CHEESE BREAD,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
ITALIAN GARLIC ROLLS (6EA),VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",3.55
ITALIAN GARLIC ROLLS (10EA),VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",5.25
ALFREDO ROLLS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.25
TOASTED RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.25
ANTIPASTA SALAD,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",9.25
CHEF SALAD,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",9.25
PHILLY CHICKEN & CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.25
THE NEWYORK NEIGHBOR,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",9.25
EGGPLANT PARMIGIANA SUB,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
CHICKEN PARMIGIANA SUB,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.25
VEAL PARMIGIANA SUB,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",9.25
SAUSAGE & PEPPER SUB,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.75
MEATBALL HERO,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.25
42ND STREET SUB,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.75
PASTA ON A PLATE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",9.25
OVEN BAKED PASTA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",10.75
SPINACH & FETA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",10.75
BEEF LASAGNA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.75
CHICKEN PARMIGIANA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",12.25
VEAL PARMIGIANA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",16.25
COMBINATION PARMIGIANA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",14.25
EGGPLANT PARMIGIANA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
SAUSAGE & PEPPER PLATE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",12.25
SHRIMP VODKA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",15.75
DITALINI ALLA NONNA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",12.25
VINNY'S MAC & CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
CHEESE RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
BEEF RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
COMBINATION RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
MANICOTTI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
CHEESE TORTELINNI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
SPINACH STUFFED SHELLS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.75
ECHOLÂ€™S CHICKEN & VEGETABLES,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",11.25
LOBSTER RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",18.2
KID PASTA ON A PLATE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS BAKED PASTA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS BEEF LASAGNA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS MAC & CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS CHEESE RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS COMBINATION RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS BEEF RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS CHICKEN TENDERS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
KIDS GRILLED CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6.25
SENIOR PASTA ON A PLATE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.25
SENIOR OVEN BAKED PASTA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
SENIOR BEEF LASAGNA,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",8.25
SENIOR MAC & CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
SENIOR CHEESE RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
SENIOR COMBINATION RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
SENIOR BEEF RAVIOLI,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
SENIOR GRILLED CHEESE,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
SENIOR CHICKEN TENDERS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",7.75
MEATBALL- 1,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.25
MEATBALL- 2,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",4.5
SAUSAGE- 1,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",2.25
SAUSAGE- 2,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",4.5
GRILLED CHICKEN,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",5
BLACKENED CHICKEN,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",6
ANCHOVIES,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.25
FRENCH FRIES,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.99
CHIPS,VINNY'S N.Y. PIZZA & GRILL,"BUFORD, GA",1.5
