name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
BARQS ROOT BEER REGULAR,QDOBA,NATIONAL,290,0,0,90,73,0,73,0
BARQS ROOT BEER LARGE,QDOBA,NATIONAL,440,0,0,135,109,0,109,0
CAFFEINE FREE DIET COKE LARGE,QDOBA,NATIONAL,0,0,0,120,0,0,0,0
CAFFEINE FREE DIET COKE REGULAR,QDOBA,NATIONAL,0,0,0,80,0,0,0,0
CHERRY COCA COLA REGULAR,QDOBA,NATIONAL,280,0,0,70,70,0,70,0
CHERRY COCA COLA LARGE,QDOBA,NATIONAL,420,0,0,105,105,0,105,0
COCA COLA REGULAR,QDOBA,NATIONAL,270,0,0,65,67,0,67,0
COCA COLA LARGE,QDOBA,NATIONAL,400,0,0,95,100,0,100,0
COCA COLA ZERO LARGE,QDOBA,NATIONAL,0,0,0,100,0,0,0,0
COCA COLA ZERO REGULAR,QDOBA,NATIONAL,0,0,0,65,0,0,0,0
DIET COKE LARGE,QDOBA,NATIONAL,0,0,0,125,1,0,0,0
DIET COKE REGULAR,QDOBA,NATIONAL,0,0,0,80,1,0,0,0
FANTA ORANGE REGULAR,QDOBA,NATIONAL,290,0,0,65,73,0,71,0
FANTA ORANGE LARGE,QDOBA,NATIONAL,430,0,0,100,109,0,107,0
FUZE RASPBERRY TEA REGULAR,QDOBA,NATIONAL,150,0,0,85,38,0,37,0
FUZE RASPBERRY TEA LARGE,QDOBA,NATIONAL,230,0,0,125,57,0,55,0
GOLD PEAK CLASSIC BLEND TEA REGULAR,QDOBA,NATIONAL,0,0,0,60,0,0,0,0
GOLD PEAK CLASSIC BLEND TEA LARGE,QDOBA,NATIONAL,0,0,0,90,0,0,0,0
GOLD PEAK CLASSIC SWEET TEA REGULAR,QDOBA,NATIONAL,140,0,0,60,35,0,35,0
GOLD PEAK CLASSIC SWEET TEA LARGE,QDOBA,NATIONAL,205,0,0,90,55,0,55,0
GOLD PEAK SOUTHERN TEA REGULAR,QDOBA,NATIONAL,280,0,0,60,70,0,70,0
GOLD PEAK SOUTHERN TEA LARGE,QDOBA,NATIONAL,410,0,0,90,110,0,110,0
HI C FLASHIN FRUIT PUNCH REGULAR,QDOBA,NATIONAL,280,0,0,120,71,0,69,0
HI C FLASHIN FRUIT PUNCH LARGE,QDOBA,NATIONAL,420,0,0,180,106,0,103,0
MELLO YELLO REGULAR,QDOBA,NATIONAL,290,0,0,85,73,0,73,0
MELLO YELLO LARGE,QDOBA,NATIONAL,430,0,0,125,109,0,109,0
MINUTE MAID LEMONADE REGULAR,QDOBA,NATIONAL,250,0,0,160,63,0,60,0
MINUTE MAID LEMONADE LARGE,QDOBA,NATIONAL,370,0,0,240,95,0,90,0
MINUTE MAID LIGHT LEMONADE REGULAR,QDOBA,NATIONAL,10,0,0,70,3,0,0,0
MINUTE MAID LIGHT LEMONADE LARGE,QDOBA,NATIONAL,15,0,0,105,5,1,0,0
POWERADE MOUNTAIN BERRY BLAST REGULAR,QDOBA,NATIONAL,150,0,0,190,37,0,36,0
POWERADE MOUNTAIN BERRY BLAST LARGE,QDOBA,NATIONAL,230,0,0,280,55,0,55,0
SPRITE REGULAR,QDOBA,NATIONAL,250,0,0,115,61,0,61,0
SPRITE LARGE,QDOBA,NATIONAL,370,0,0,170,92,0,91,0
3 CHEESE QUESO 2 OZ,QDOBA,NATIONAL,90,8,25,350,3,0,1,3
3 CHEESE QUESO 4 OZ,QDOBA,NATIONAL,190,15,50,710,6,0,1,6
GUACAMOLE 2 OZ,QDOBA,NATIONAL,90,7,0,200,5,0,0,1
GUACAMOLE 4 OZ,QDOBA,NATIONAL,170,14,0,400,10,0,0,2
STREET STYLE CHICKEN TACOS WITH CORN TORTILLA,QDOBA,NATIONAL,470,22,80,1340,50,0,3,24
STREET STYLE CHICKEN TACOS WITH FLOUR TORTILLA,QDOBA,NATIONAL,520,25,80,1540,52,0,3,26
