name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
PEPPER STEAK STEAMED,PF CHANGS,NATIONAL,440,21,110,1730,28,4,17,33
PEPPER STEAK STIR FRIED,PF CHANGS,NATIONAL,640,36,147,2260,29,4,17,51
KUNG PAO CHICKEN STEAMED,PF CHANGS,NATIONAL,720,39,130,1460,30,8,17,67
KUNG PAO CHICKEN STIR FRIED,PF CHANGS,NATIONAL,960,58,119,1430,46,7,27,71
ORANGE PEEL CHICKEN STEAMED,PF CHANGS,NATIONAL,580,10,140,1810,67,4,56,59
ORANGE PEEL CHICKEN STIR FRIED,PF CHANGS,NATIONAL,860,31,130,1780,84,3,68,64
SESAME CHICKEN STEAMED,PF CHANGS,NATIONAL,600,14,140,1590,58,5,44,62
SESAME CHICKEN STIR FRIED,PF CHANGS,NATIONAL,870,36,130,1560,75,5,58,66
SINGAPORE BLACK PEPPER CHICKEN STEAMED,PF CHANGS,NATIONAL,530,27,160,1410,22,3,11,52
SINGAPORE BLACK PEPPER CHICKEN STIR FRIED,PF CHANGS,NATIONAL,640,37,156,1540,28,4,11,50
SPICY CHICKEN STEAMED,PF CHANGS,NATIONAL,560,12,140,1170,60,2,54,56
SPICY CHICKEN STIR FRIED,PF CHANGS,NATIONAL,840,33,132,1140,77,1,66,61
BANANA SPRING ROLLS SMALL,PF CHANGS,NATIONAL,430,15,35,210,71,1,27,6
BANANA SPRING ROLLS REGULAR,PF CHANGS,NATIONAL,940,35,65,480,149,2,47,14
HAND FOLDED CRAB WONTONS 4 PIECE,PF CHANGS,NATIONAL,370,20,0,1000,39,1,15,9
HAND FOLDED CRAB WONTONS 6 PIECE,PF CHANGS,NATIONAL,590,30,0,1720,66,1,29,14
PAN FRIED PORK DUMPLINGS 4 PIECE,PF CHANGS,NATIONAL,330,19,40,720,25,1,4,13
PAN FRIED PORK DUMPLINGS 6 PIECE,PF CHANGS,NATIONAL,510,28,61,1170,40,1,7,19
PAN FRIED SHRIMP DUMPLINGS 4 PIECE,PF CHANGS,NATIONAL,240,9,118,890,20,0,4,17
PAN FRIED SHRIMP DUMPLINGS 6 PIECE,PF CHANGS,NATIONAL,370,14,177,1430,31,1,8,26
PORK EGG ROLLS 2 PIECE,PF CHANGS,NATIONAL,520,28,33,1580,53,3,15,14
PORK EGG ROLLS 4 PIECE,PF CHANGS,NATIONAL,970,55,65,3080,92,6,19,26
STEAMED PORK DUMPLINGS 4 PIECE,PF CHANGS,NATIONAL,280,13,40,720,25,1,4,13
STEAMED PORK DUMPLINGS 6 PIECE,PF CHANGS,NATIONAL,440,20,61,1170,40,1,7,19
STEAMED SHRIMP DUMPLINGS 4 PIECE,PF CHANGS,NATIONAL,190,4,118,890,20,0,4,17
STEAMED SHRIMP DUMPLINGS 6 PIECE,PF CHANGS,NATIONAL,290,6,177,1430,31,1,8,26
VEGETABLE SPRING ROLLS 2 PIECE,PF CHANGS,NATIONAL,270,12,0,880,38,4,18,4
VEGETABLE SPRING ROLLS 4 PIECE,PF CHANGS,NATIONAL,540,25,0,1750,75,7,35,7
GLUTEN FREE EGG DROP SOUP CUP,PF CHANGS,NATIONAL,40,1,30,560,6,0,2,1
GLUTEN FREE EGG DROP SOUP BOWL,PF CHANGS,NATIONAL,270,7,185,3760,42,1,14,7
GLUTEN FREE FRIED RICE PLAIN,PF CHANGS,NATIONAL,510,15,185,670,77,2,10,13
GLUTEN FREE FRIED RICE WITH VEGETABLES,PF CHANGS,NATIONAL,920,16,185,1290,165,9,25,25
GLUTEN FREE FRIED RICE WITH SHRIMP,PF CHANGS,NATIONAL,1000,20,380,1660,155,5,20,44
GLUTEN FREE FRIED RICE WITH CHICKEN,PF CHANGS,NATIONAL,1120,26,270,1500,159,6,20,52
GLUTEN FREE FRIED RICE WITH BEEF,PF CHANGS,NATIONAL,1140,33,275,1730,156,5,20,48
GLUTEN FREE FRIED RICE WITH PORK,PF CHANGS,NATIONAL,1190,37,270,1650,162,5,21,46
GLUTEN FREE FRIED RICE COMBO,PF CHANGS,NATIONAL,1200,35,340,1850,161,6,20,56
GLUTEN FREE PAD THAI SHRIMP,PF CHANGS,NATIONAL,1080,25,320,2760,176,7,41,38
GLUTEN FREE PAD THAI CHICKEN SHRIMP COMBO,PF CHANGS,NATIONAL,1100,26,280,2620,176,7,41,42
GLUTEN FREE PAD THAI CHICKEN,PF CHANGS,NATIONAL,1120,27,240,2480,176,7,41,45
KIDS BABY BUDDHAS FEAST STEAMED,PF CHANGS,NATIONAL,60,0,0,50,12,5,3,4
KIDS BABY BUDDHAS FEAST STIR FRIED,PF CHANGS,NATIONAL,150,5,0,1060,22,4,13,5
KOREAN BIBIMBAP WITH CHICKEN,PF CHANGS,NATIONAL,950,36,269,1170,108,7,28,48
KOREAN BIBIMBAP WITH STEAK,PF CHANGS,NATIONAL,1080,51,304,1200,104,5,28,47
SPICY CHICKEN BOWL STIR FRIED,PF CHANGS,NATIONAL,970,27,105,960,127,2,54,54
SPICY CHICKEN BOWL STEAMED,PF CHANGS,NATIONAL,1120,41,121,660,136,2,39,41
TOKYO UDON NOODLE BOWL WITH STEAK,PF CHANGS,NATIONAL,890,32,88,1650,106,6,34,45
TOKYO UDON NOODLE BOWL WITH CHICKEN,PF CHANGS,NATIONAL,890,28,83,1430,110,7,34,48
FRIED RICE WITH VEGETABLES,PF CHANGS,NATIONAL,910,16,186,1360,164,10,24,25
