name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
BEEF A LA SICHUAN,PF CHANGS,NATIONAL,690,33,132,1990,55,5,45,46
BEEF WITH BROCCOLI,PF CHANGS,NATIONAL,670,33,132,2110,46,5,33,50
MONGOLIAN BEEF,PF CHANGS,NATIONAL,770,42,176,2300,39,1,32,59
WOK FIRED FILET MIGNON,PF CHANGS,NATIONAL,1140,72,159,2580,72,6,20,51
CRISPY HONEY CHICKEN,PF CHANGS,NATIONAL,1120,60,162,750,87,1,38,47
GINGER CHICKEN WITH BROCCOLI,PF CHANGS,NATIONAL,480,12,128,1370,41,6,26,57
SWEET SOUR CHICKEN,PF CHANGS,NATIONAL,860,41,121,560,86,3,45,36
THAI HARVEST CURRY WITH CHICKEN,PF CHANGS,NATIONAL,1190,76,55,2560,76,11,39,46
GOOD FORTUNE CHEESECAKE,PF CHANGS,NATIONAL,290,18,70,140,28,1,21,4
MISO BUTTERSCOTCH PUDDING,PF CHANGS,NATIONAL,320,20,55,95,32,0,19,3
NEW YORK STYLE CHEESECAKE,PF CHANGS,NATIONAL,940,61,300,660,80,4,64,17
STRAWBERRY COCONUT CREAM CAKE,PF CHANGS,NATIONAL,330,19,70,200,35,0,27,4
THE GREAT WALL OF CHOCOLATE,PF CHANGS,NATIONAL,1700,71,122,1410,259,14,190,17
TRIPLE CHOCOLATE HAPPINESS,PF CHANGS,NATIONAL,390,27,77,170,32,2,23,3
VIETNAMESE CHOCOLATE LAVA CAKE,PF CHANGS,NATIONAL,800,49,149,340,88,5,70,12
CRISPY AVOCADO ROLLS,PF CHANGS,NATIONAL,1260,93,0,2040,102,21,39,13
MONGOLIAN POTSTICKERS,PF CHANGS,NATIONAL,700,41,75,1760,51,1,12,25
GLUTEN FREE BEEF WITH BROCCOLI,PF CHANGS,NATIONAL,680,33,135,2280,47,5,34,51
GLUTEN FREE CHICKEN LETTUCE WRAPS,PF CHANGS,NATIONAL,490,20,80,1680,45,5,21,31
GLUTEN FREE GINGER CHICKEN WITH BROCCOLI,PF CHANGS,NATIONAL,490,12,130,1640,43,6,28,57
