name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
HAM SWISS CIABATTA,QUIZNOS,NATIONAL,490,21,40,1210,58,2,9,20
LITTLE ITALY CIABATTA,QUIZNOS,NATIONAL,560,29,45,1580,52,2,5,23
SOUTHWEST CLUB CIABATTA,QUIZNOS,NATIONAL,510,24,50,1430,49,2,4,24
BAKED LAYS BARBECUE CHIPS,QUIZNOS,NATIONAL,140,4,0,220,24,2,4,2
BAKED LAYS,QUIZNOS,NATIONAL,120,2,0,135,23,2,2,2
CHEETOS,QUIZNOS,NATIONAL,310,21,0,500,26,1,2,3
CHOCOLATE BROWNIE,QUIZNOS,NATIONAL,310,16,15,150,40,2,24,4
CHOCOLATE CHUNK COOKIE,QUIZNOS,NATIONAL,390,19,55,170,54,1,31,4
CINNAMON SUGAR COOKIE,QUIZNOS,NATIONAL,400,17,50,290,58,1,33,4
GARDEN SALSA SUN CHIPS,QUIZNOS,NATIONAL,210,9,0,220,27,4,4,4
HARVEST CHEDDAR SUN CHIPS,QUIZNOS,NATIONAL,210,9,0,320,27,4,3,4
KETTLE COOKED BBQ CHIPS,QUIZNOS,NATIONAL,180,8,0,190,26,2,3,2
LAYS BARBECUE CHIPS,QUIZNOS,NATIONAL,230,15,0,230,23,2,3,3
LAYS CLASSIC CHIPS,QUIZNOS,NATIONAL,240,16,0,250,23,2,1,3
MISS VICKIES JALAPENO CHIPS,QUIZNOS,NATIONAL,210,12,0,180,22,2,2,3
MISS VICKIES SALT VINEGAR CHIPS,QUIZNOS,NATIONAL,210,12,0,230,23,2,2,2
NACHO CHEESE DORITOS,QUIZNOS,NATIONAL,240,13,0,370,28,2,1,3
OATMEAL RAISIN COOKIE,QUIZNOS,NATIONAL,360,12,50,200,58,3,34,5
RUFFLES SOUR CREAM AND CHEDDAR,QUIZNOS,NATIONAL,240,15,0,280,23,2,2,3
