zip5,county
33327,Broward
33328,Broward
33329,Broward
33330,Broward
33331,Broward
33332,Broward
33334,Broward
33335,Broward
33336,Broward
33337,Broward
33338,Broward
33339,Broward
33340,Broward
33345,Broward
33346,Broward
33348,Broward
33349,Broward
33351,Broward
33355,Broward
33359,Broward
33388,Broward
33394,Broward
33441,Broward
33442,Broward
33443,Broward
32421,Calhoun
32424,Calhoun
32430,Calhoun
32449,Calhoun
33927,Charlotte
33938,Charlotte
33946,Charlotte
33947,Charlotte
33948,Charlotte
33949,Charlotte
33950,Charlotte
33951,Charlotte
33952,Charlotte
33953,Charlotte
33954,Charlotte
33955,Charlotte
33980,Charlotte
33981,Charlotte
33982,Charlotte
33983,Charlotte
34224,Charlotte
34423,Citrus
34428,Citrus
34429,Citrus
34433,Citrus
34434,Citrus
34436,Citrus
34442,Citrus
34445,Citrus
34446,Citrus
34447,Citrus
34448,Citrus
34450,Citrus
34451,Citrus
34452,Citrus
34453,Citrus
34460,Citrus
34461,Citrus
34464,Citrus
34465,Citrus
34487,Citrus
32003,Clay
32006,Clay
32030,Clay
32043,Clay
32050,Clay
32065,Clay
32067,Clay
32068,Clay
32073,Clay
32079,Clay
32160,Clay
32656,Clay
34101,Collier
34102,Collier
34103,Collier
34104,Collier
34105,Collier
34106,Collier
34107,Collier
34108,Collier
34109,Collier
34110,Collier
34112,Collier
34113,Collier
34114,Collier
34116,Collier
34117,Collier
34119,Collier
34120,Collier
34137,Collier
34138,Collier
34139,Collier
34140,Collier
34141,Collier
34142,Collier
34143,Collier
34145,Collier
34146,Collier
32024,Columbia
32025,Columbia
32038,Columbia
32055,Columbia
32056,Columbia
32061,Columbia
34266,DeSoto
34268,DeSoto
34269,DeSoto
34265,Desoto
34267,Desoto
32628,Dixie
32648,Dixie
32680,Dixie
32692,Dixie
32099,Duval
32201,Duval
32202,Duval
32203,Duval
32204,Duval
32205,Duval
32206,Duval
32207,Duval
32208,Duval
32209,Duval
32210,Duval
32211,Duval
32212,Duval
32214,Duval
32215,Duval
32216,Duval
32217,Duval
32218,Duval
32219,Duval
32220,Duval
32221,Duval
32222,Duval
32223,Duval
32224,Duval
32225,Duval
32226,Duval
32227,Duval
32228,Duval
32229,Duval
32230,Duval
32231,Duval
32232,Duval
32233,Duval
32234,Duval
32235,Duval
32236,Duval
32237,Duval
32238,Duval
32239,Duval
32240,Duval
32241,Duval
32244,Duval
32245,Duval
32246,Duval
32247,Duval
32250,Duval
32254,Duval
32255,Duval
32256,Duval
32257,Duval
32258,Duval
32260,Duval
32266,Duval
32267,Duval
32277,Duval
32290,Duval
32501,Escambia
32502,Escambia
32503,Escambia
32504,Escambia
32505,Escambia
32506,Escambia
32507,Escambia
32508,Escambia
32509,Escambia
32511,Escambia
32512,Escambia
32513,Escambia
32514,Escambia
32516,Escambia
32520,Escambia
32521,Escambia
32522,Escambia
32523,Escambia
32524,Escambia
32526,Escambia
32533,Escambia
32534,Escambia
32535,Escambia
32559,Escambia
32560,Escambia
32568,Escambia
32577,Escambia
32590,Escambia
32591,Escambia
32592,Escambia
32110,Flagler
32135,Flagler
32136,Flagler
32137,Flagler
32142,Flagler
32143,Flagler
32164,Flagler
32320,Franklin
32322,Franklin
32323,Franklin
32328,Franklin
32329,Franklin
32324,Gadsden
32330,Gadsden
32332,Gadsden
32333,Gadsden
32343,Gadsden
32351,Gadsden
32352,Gadsden
32353,Gadsden
32619,Gilchrist
32693,Gilchrist
33471,Glades
33944,Glades
32456,Gulf
32457,Gulf
32465,Gulf
32052,Hamilton
32053,Hamilton
32096,Hamilton
33834,Hardee
33865,Hardee
33873,Hardee
33890,Hardee
33440,Hendry
33930,Hendry
33935,Hendry
33975,Hendry
34601,Hernando
34602,Hernando
34603,Hernando
34604,Hernando
34605,Hernando
34606,Hernando
34607,Hernando
34608,Hernando
34609,Hernando
34611,Hernando
34613,Hernando
34614,Hernando
34636,Hernando
34661,Hernando
33825,Highlands
33826,Highlands
33852,Highlands
33857,Highlands
33862,Highlands
33870,Highlands
33871,Highlands
33872,Highlands
33875,Highlands
33876,Highlands
33960,Highlands
33503,Hillsborough
33508,Hillsborough
33509,Hillsborough
33510,Hillsborough
33511,Hillsborough
33527,Hillsborough
33530,Hillsborough
33534,Hillsborough
33547,Hillsborough
33548,Hillsborough
33549,Hillsborough
33550,Hillsborough
33556,Hillsborough
33558,Hillsborough
33559,Hillsborough
33563,Hillsborough
33564,Hillsborough
33565,Hillsborough
33566,Hillsborough
33567,Hillsborough
33568,Hillsborough
33569,Hillsborough
33570,Hillsborough
33571,Hillsborough
33572,Hillsborough
33573,Hillsborough
33575,Hillsborough
33578,Hillsborough
33579,Hillsborough
33583,Hillsborough
33584,Hillsborough
33586,Hillsborough
33587,Hillsborough
33592,Hillsborough
33594,Hillsborough
33595,Hillsborough
33596,Hillsborough
33598,Hillsborough
33601,Hillsborough
33602,Hillsborough
33603,Hillsborough
33604,Hillsborough
33605,Hillsborough
33606,Hillsborough
33607,Hillsborough
33608,Hillsborough
33609,Hillsborough
33610,Hillsborough
33611,Hillsborough
33612,Hillsborough
33613,Hillsborough
33614,Hillsborough
33615,Hillsborough
33616,Hillsborough
33617,Hillsborough
33618,Hillsborough
33619,Hillsborough
33620,Hillsborough
33621,Hillsborough
33622,Hillsborough
33623,Hillsborough
33624,Hillsborough
33625,Hillsborough
33626,Hillsborough
33629,Hillsborough
33630,Hillsborough
33631,Hillsborough
33633,Hillsborough
33634,Hillsborough
33635,Hillsborough
33637,Hillsborough
33646,Hillsborough
33647,Hillsborough
33650,Hillsborough
33651,Hillsborough
33655,Hillsborough
33660,Hillsborough
33661,Hillsborough
33662,Hillsborough
33663,Hillsborough
33664,Hillsborough
33672,Hillsborough
33673,Hillsborough
33674,Hillsborough
33675,Hillsborough
33677,Hillsborough
33679,Hillsborough
33680,Hillsborough
33681,Hillsborough
33682,Hillsborough
33684,Hillsborough
33685,Hillsborough
33686,Hillsborough
33687,Hillsborough
33688,Hillsborough
33689,Hillsborough
33690,Hillsborough
33694,Hillsborough
32425,Holmes
32452,Holmes
32464,Holmes
32948,Indian River
32957,Indian River
32958,Indian River
32960,Indian River
32961,Indian River
32962,Indian River
32963,Indian River
32964,Indian River
32965,Indian River
32966,Indian River
32967,Indian River
32968,Indian River
32969,Indian River
32970,Indian River
32971,Indian River
32978,Indian River
32420,Jackson
32423,Jackson
32426,Jackson
32431,Jackson
32432,Jackson
32440,Jackson
32442,Jackson
32443,Jackson
32445,Jackson
32446,Jackson
32447,Jackson
32448,Jackson
32460,Jackson
32336,Jefferson
32337,Jefferson
32344,Jefferson
32345,Jefferson
32361,Jefferson
32013,Lafayette
32066,Lafayette
32102,Lake
32158,Lake
32159,Lake
32702,Lake
32726,Lake
32727,Lake
32735,Lake
32736,Lake
32756,Lake
32757,Lake
32767,Lake
32776,Lake
32778,Lake
32784,Lake
34705,Lake
34711,Lake
34712,Lake
34713,Lake
34714,Lake
34715,Lake
34729,Lake
34731,Lake
34736,Lake
34737,Lake
34748,Lake
34749,Lake
34753,Lake
34755,Lake
34756,Lake
34762,Lake
34788,Lake
34789,Lake
34797,Lake
33900,Lee
33901,Lee
33902,Lee
33903,Lee
33904,Lee
33905,Lee
33906,Lee
33907,Lee
33908,Lee
33909,Lee
33910,Lee
33911,Lee
33912,Lee
33913,Lee
33914,Lee
33915,Lee
33916,Lee
33917,Lee
33918,Lee
33919,Lee
33920,Lee
33921,Lee
33922,Lee
33924,Lee
33928,Lee
33929,Lee
33931,Lee
33932,Lee
33936,Lee
33945,Lee
33956,Lee
33957,Lee
33965,Lee
33966,Lee
33967,Lee
33970,Lee
33971,Lee
33972,Lee
33973,Lee
33974,Lee
33976,Lee
33990,Lee
33991,Lee
33993,Lee
33994,Lee
34133,Lee
34134,Lee
34135,Lee
34136,Lee
32301,Leon
32302,Leon
32303,Leon
32304,Leon
32305,Leon
32306,Leon
32307,Leon
32308,Leon
32309,Leon
32310,Leon
32311,Leon
32312,Leon
32313,Leon
32314,Leon
32315,Leon
32316,Leon
32317,Leon
32318,Leon
32362,Leon
32395,Leon
32399,Leon
32621,Levy
32625,Levy
32626,Levy
32639,Levy
32644,Levy
32668,Levy
32683,Levy
32696,Levy
34449,Levy
34498,Levy
32321,Liberty
32334,Liberty
32335,Liberty
32360,Liberty
32059,Madison
32331,Madison
32340,Madison
32341,Madison
32350,Madison
34201,Manatee
34202,Manatee
34203,Manatee
34204,Manatee
34205,Manatee
34206,Manatee
34207,Manatee
34208,Manatee
34209,Manatee
34210,Manatee
34211,Manatee
34212,Manatee
34215,Manatee
34216,Manatee
34217,Manatee
34218,Manatee
34219,Manatee
34220,Manatee
34221,Manatee
34222,Manatee
34243,Manatee
34250,Manatee
34251,Manatee
34264,Manatee
34270,Manatee
34280,Manatee
34281,Manatee
34282,Manatee
32111,Marion
32113,Marion
32133,Marion
32134,Marion
32179,Marion
32182,Marion
32183,Marion
32192,Marion
32195,Marion
32617,Marion
32633,Marion
32634,Marion
32663,Marion
32664,Marion
32681,Marion
32686,Marion
34420,Marion
34421,Marion
34430,Marion
34431,Marion
34432,Marion
34470,Marion
34471,Marion
34472,Marion
34473,Marion
34474,Marion
34475,Marion
34476,Marion
34477,Marion
34478,Marion
34479,Marion
34480,Marion
34481,Marion
34482,Marion
34483,Marion
34488,Marion
34489,Marion
34491,Marion
34492,Marion
33455,Martin
33475,Martin
34956,Martin
34957,Martin
34958,Martin
34990,Martin
34991,Martin
34992,Martin
34994,Martin
34995,Martin
34996,Martin
34997,Martin
33002,Miami-Dade
33010,Miami-Dade
33011,Miami-Dade
33012,Miami-Dade
33013,Miami-Dade
33014,Miami-Dade
33015,Miami-Dade
33016,Miami-Dade
33017,Miami-Dade
33018,Miami-Dade
33030,Miami-Dade
33031,Miami-Dade
33032,Miami-Dade
33033,Miami-Dade
33034,Miami-Dade
33035,Miami-Dade
33039,Miami-Dade
33054,Miami-Dade
33055,Miami-Dade
33056,Miami-Dade
33090,Miami-Dade
33092,Miami-Dade
33101,Miami-Dade
33102,Miami-Dade
33107,Miami-Dade
33109,Miami-Dade
33110,Miami-Dade
33111,Miami-Dade
33112,Miami-Dade
33114,Miami-Dade
33116,Miami-Dade
33119,Miami-Dade
33121,Miami-Dade
33122,Miami-Dade
33124,Miami-Dade
33125,Miami-Dade
33126,Miami-Dade
33127,Miami-Dade
33128,Miami-Dade
33129,Miami-Dade
33130,Miami-Dade
33131,Miami-Dade
33132,Miami-Dade
33133,Miami-Dade
33134,Miami-Dade
33135,Miami-Dade
33136,Miami-Dade
33137,Miami-Dade
33138,Miami-Dade
33139,Miami-Dade
33140,Miami-Dade
33141,Miami-Dade
33142,Miami-Dade
33143,Miami-Dade
33144,Miami-Dade
33145,Miami-Dade
33146,Miami-Dade
33147,Miami-Dade
33148,Miami-Dade
33149,Miami-Dade
33150,Miami-Dade
33151,Miami-Dade
33152,Miami-Dade
33153,Miami-Dade
33154,Miami-Dade
33155,Miami-Dade
33156,Miami-Dade
33157,Miami-Dade
33158,Miami-Dade
33159,Miami-Dade
33160,Miami-Dade
33161,Miami-Dade
33162,Miami-Dade
33163,Miami-Dade
33164,Miami-Dade
33165,Miami-Dade
33166,Miami-Dade
33167,Miami-Dade
33168,Miami-Dade
33169,Miami-Dade
33170,Miami-Dade
33172,Miami-Dade
33173,Miami-Dade
33174,Miami-Dade
33175,Miami-Dade
33176,Miami-Dade
33177,Miami-Dade
33178,Miami-Dade
33179,Miami-Dade
33180,Miami-Dade
33181,Miami-Dade
33182,Miami-Dade
33183,Miami-Dade
33184,Miami-Dade
33185,Miami-Dade
33186,Miami-Dade
33187,Miami-Dade
33188,Miami-Dade
33189,Miami-Dade
33190,Miami-Dade
33193,Miami-Dade
33194,Miami-Dade
33195,Miami-Dade
33196,Miami-Dade
33197,Miami-Dade
33199,Miami-Dade
33222,Miami-Dade
33231,Miami-Dade
33233,Miami-Dade
33234,Miami-Dade
33238,Miami-Dade
33239,Miami-Dade
33242,Miami-Dade
33243,Miami-Dade
33245,Miami-Dade
33247,Miami-Dade
33255,Miami-Dade
33256,Miami-Dade
33257,Miami-Dade
33261,Miami-Dade
33265,Miami-Dade
33266,Miami-Dade
33269,Miami-Dade
33280,Miami-Dade
33283,Miami-Dade
33296,Miami-Dade
33299,Miami-Dade
33001,Monroe
