SALAMONIE SCHOOL, WARREN, IN
SEATTLE CENTRAL COLLEGE - WOOD TECHNOLOGY CENTER, SEATTLE, WA
SEATTLE HILL ELEMENTARY, EVERETT, WA
SEATTLE INSTITUTE OF EAST ASIAN MEDICINE, SEATTLE, WA
SEATTLE NATIVITY SCHOOL, SEATTLE, WA
SEAVIEW ELEMENTARY SCHOOL, LINWOOD, NJ
SEBASTOPOL ATTENDANCE CENTER, SEBASTOPOL, MS
SECAUCUS MIDDLE SCHOOL, SECAUCUS, NJ
SECOND START-PINE HILL SCHOOL, SAN JOSE, CA
SECONDARY DAEP, HOUSTON, TX
SECREST ELEMENTARY SCHOOL, SENECAVILLE, OH
SEDGEFIELD ELEMENTARY, CHARLOTTE, NC
SEGUIN CHRISTIAN ACADEMY, SEGUIN, TX
SEGUIN EL, MCALLEN, TX
SEGUIN H S, ARLINGTON, TX
SEGUNDO RUIZ BELVIS, HORMIGUEROS, PR
SEJONG ACADEMY OF MINNESOTA, SAINT PAUL, MN
SELACO-DOWNEY HIGH (PAU), DOWNEY, CA
SELBY HIGH SCHOOL - 01, SELBY, SD
SELBY LANE ELEMENTARY, ATHERTON, CA
SELECT COMMUNITY DAY (SECONDARY), LONG BEACH, CA
SELF DEVELOPMENT ACADEMY-PHOENIX, PHOENIX, AZ
SELF DEVELOPMENT CHARTER SCHOOL, MESA, AZ
SELKIRK MIDDLE SCHOOL, IONE, WA
SELKIRK SCHOOL, SANDPOINT, ID
SELLERS ELEMENTARY, GLENDORA, CA
SELLWOOD MIDDLE SCHOOL, PORTLAND, OR
SELMA ELEMENTARY SCHOOL, SELMA, IN
SELMA HERNDON ELEMENTARY, LIVINGSTON, CA
SELMA HIGH, SELMA, CA
SELMA INDEPENDENT, SELMA, CA
SELMA MIDDLE SCHOOL, SELMA, IN
SELMAVILLE ELEM SCHOOL, SALEM, IL
SELMER ELEMENTARY, SELMER, TN
SELWYN ELEMENTARY, CHARLOTTE, NC
SEM YETO CONTINUATION HIGH, FAIRFIELD, CA
SEMINARIO EVANGELICO DE PUERTO RICO, SAN JUAN, PR
SEMINARY ELEMENTARY SCHOOL, SEMINARY, MS
SEMINARY HILLS PARK EL, FORT WORTH, TX
SEMINARY MIDDLE SCHOOL, SEMINARY, MS
SEMINOLE ACADEMY OF DIGITAL LEARNING, LAKE MARY, FL
SEMINOLE COUNTY MIDDLE/HIGH SCHOOL, DONALSONVILLE, GA
SEMINOLE SPRINGS ELEMENTARY SCHOOL, EUSTIS, FL
SEMINOLE STATE COLLEGE, SEMINOLE, OK
SEMINOLE VIRTUAL INSTRUCTION PROGRAM (SVIP), SANFORD, FL
SEMMES ELEMENTARY SCHOOL, SEMMES, AL
SEMPER ELEMENTARY SCHOOL, WESTMINSTER, CO
SEN./TATE CO. OPTIONAL LEARNING CEN, SENATOBIA, MS
SENATOR JAMES H DONOVAN MIDDLE SCHOOL, UTICA, NY
SENECA ACADEMY, DARNESTOWN, MD
SENECA BIBLE BAPTIST ACADEMY, SENECA FALLS, NY
SENECA EAST HIGH SCHOOL, ATTICA, OH
SENECA ELEMENTARY, MORENO VALLEY, CA
SENECA HIGH SCHOOL, TABERNACLE, NJ
SENECA HIGHLANDS CAREER AND TECHNICAL CE, PORT ALLEGANY, PA
SENECA HS, ERIE, PA
SENECA MIDDLE SCHOOL, MACOMB, MI
SENECA RIDGE MIDDLE, STERLING, VA
SENTINEL ELEMENTARY SCHOOL, SENTINEL, AZ
SEQUATCHIE CO HIGH SCHOOL, DUNLAP, TN
SEQUIOTA ELEM., SPRINGFIELD, MO
SEQUOIA CONTINUATION HIGH, SAN BERNARDINO, CA
SEQUOIA DISTRICT ADULT EDUCATION, MENLO PARK, CA
SEQUOIA ELEMENTARY, OAKLAND, CA
SEQUOIA ELEMENTARY, WESTMINSTER, CA
SEQUOIA ELEMENTARY CHARTER, LEMON COVE, CA
SEQUOIA HIGH, MERCED, CA
SEQUOIA HIGH, REDWOOD CITY, CA
SEQUOIA HIGH SCHOOL, EVERETT, WA
SEQUOIA MIDDLE, FONTANA, CA
SEQUOIA MIDDLE, FRESNO, CA
SEQUOIA MIDDLE, NEWBURY PARK, CA
SEQUOIA MIDDLE, PORTERVILLE, CA
SEQUOYA MIDDLE SCHOOL, HOLTSVILLE, NY
SEQUOYAH ELEMENTARY, KNOXVILLE, TN
SEQUOYAH ELEMENTARY SCHOOL, MACOMB, MI
SEQUOYAH ELEMENTARY SCHOOL, RUSSELLVILLE, AR
SEQUOYAH ES, OKLAHOMA CITY, OK
SEQUOYAH ES, SHAWNEE, OK
SEQUOYAH ES, TULSA, OK
SEQUOYAH HIGH SCHOOL, SODDY DAISY, TN
SEQUOYAH HIGH SCHOOL, TAHLEQUAH, OK
SEQUOYAH MIDDLE SCHOOL, RIVERDALE, GA
SEQUOYAH MS, BROKEN ARROW, OK
SEQUOYAH SCHOOL, GROVE, CA
SERENA ELEM SCHOOL, SERENA, IL
SERENA HILLS ELEM SCHOOL, CHICAGO HEIGHTS, IL
SERENDIPITY CENTER, PORTLAND, OR
SERENDIPITY SCHOOL, BELMONT, CA
SERGEANT PAUL R SMITH MIDDLE SCHOOL, TAMPA, FL
SERRA (JUNIPERO) ELEMENTARY, SAN FRANCISCO, CA
SERRA CATHOLIC HIGH SCHOOL, MCKEESPORT, PA
SERRA CATHOLIC SCHOOL, RANCHO SANTA MARGARITA, CA
SERRA HIGH, SAN DIEGO, CA
SERRA VISTA ELEMENTARY, S. SAN FRANCISCO, CA
SERRANO ELEMENTARY, MORENO VALLEY, CA
SERRANO ELEMENTARY, VILLA PARK, CA
SERRANO HEIGHTS ACADEMY, ANAHEIM, CA
SERRANO MIDDLE, HIGHLAND, CA
SERRANO MIDDLE, MONTCLAIR, CA
SERVIAM GIRLS ACADEMY, NEW CASTLE, DE
SERVICE HIGH SCHOOL, ANCHORAGE, AK
SESSIONS ELEMENTARY, SAN DIEGO, CA
SESSUMS ELEMENTARY SCHOOL, RIVERVIEW, FL
SETH G. HALEY SCHOOL, WEST HAVEN, CT
SETH PAINE ELEM SCHOOL, HAWTHORN WOODS, IL
SETH WHITMAN ELEM SCH, BELVIDERE, IL
SETH WOODARD ELEMENTARY, SPOKANE, WA
SETON ACADEMY, PLATTSBURGH, NY
SETON ACADEMY WEST, LAS VEGAS, NV
SETON CATHOLIC ELEMENTARY SCHOOL, HUDSON, OH
SETON CATHOLIC ELEMENTARY SCHOOL, OTTUMWA, IA
SETON CATHOLIC ELEMENTARY SCHOOL PEOSTA CENTER, PEOSTA, IA
SETON CATHOLIC PREPARATORY HIGH SCHOOL, CHANDLER, AZ
SETON CATHOLIC SCHOOL, FARLEY, IA
SETON CATHOLIC SCHOOL, LEXINGTON, KY
SETON CATHOLIC SCHOOL, MOLINE, IL
SETON CATHOLIC SCHOOL, ROCHESTER, NY
SETON GRADE SCHOOL, ALGONA, IA
SETON HALL - LECOM AT SETON HILL, GREENSBURG, PA
SETON HALL PREPARATORY SCHOOL, WEST ORANGE, NJ
SETON HOME, SAN ANTONIO, TX
SETON MONTESSORI SCHOOL, CLARENDON HILLS, IL
SETON REGIONAL CATHOLIC SCHOOL, SAINT CHARLES, MO
SETON SCHOOL, MANASSAS, VA
SETON-LA SALLE HIGH SCHOOL, BRIDGEVILLE, PA
SETTING THE STANDARD BARBERING AND NATURAL HAIR ACADEMY, SHREVEPORT, LA
SETTLEMENT CANYON SCHOOL, TOOELE, UT
SETTLEMENT HOME, AUSTIN, TX
SETTLERS POINT ELEMENTARY, GILBERT, AZ
SETTLES BRIDGE ELEMENTARY SCHOOL, SUWANEE, GA
SEVEN BRIDGES SCHOOL, ORANGE PARK, FL
SEVEN GENERATIONS CHARTER SCHOOL, EMMAUS, PA
SEVEN HILLS AT GROTON, GROTON, MA
SEVEN HILLS SCHOOL, WALNUT CREEK, CA
SEVEN LAKES H S, KATY, TX
SEVEN LOCKS ELEMENTARY, BETHESDA, MD
SEVEN MILE ELEMENTARY SCHOOL, SEVEN MILE, OH
SEVEN MILE SCHOOL, WHITERIVER, AZ
SEVEN OAK MIDDLE SCHOOL, LEBANON, OR
SEVEN OAKS CLASSICAL SCHOOL, ELLETTSVILLE, IN
SEVEN OAKS ELEMENTARY, BALTIMORE, MD
SEVEN OAKS ELEMENTARY, EAGLE, ID
SEVEN OAKS ELEMENTARY, LACEY, WA
SEVEN OAKS ELEMENTARY, ODENTON, MD
SEVEN OAKS ELEMENTARY SCHOOL, WESLEY CHAPEL, FL
SEVEN PEAKS SCHOOL, BEND, OR
SEVEN PINES ELEMENTARY, SANDSTON, VA
SEVEN SORROWS BUM SCHOOL, MIDDLETOWN, PA
SEVEN SPRINGS ELEMENTARY SCHOOL, NEW PORT RICHEY, FL
SEVEN SPRINGS MIDDLE SCHOOL, TRINITY, FL
SEVEN-BAR ELEMENTARY, ALBUQUERQUE, NM
SEVENTH DISTRICT ELEMENTARY, PARKTON, MD
SEVENTH STREET ELEM. SCHOOL, NORTH LITTLE ROCK, AR
SEVENTH STREET ELEMENTARY SCHOOL, DOVE CREEK, CO
SEVENTH WARD ELEMENTARY SCHOOL, DENHAM SPRINGS, LA
SEVENTY NINTH STREET SCHOOL, NIAGARA FALLS, NY
SEVENTY-FIFTH STREET ELEMENTARY, LOS ANGELES, CA
SEVENTY-FIRST CLASSICAL MIDDLE, FAYETTEVILLE, NC
SEVENTY-FOURTH ST. ELEMENTARY, ST PETERSBURG, FL
SEVENTY-FOURTH STREET ELEMENTARY, LOS ANGELES, CA
SEVERANCE MIDDLE SCHOOL, WINDSOR, CO
SEVERO E. COLBERG RAMIREZ, CABO ROJO, PR
SEVIERVILLE INTERMEDIATE, SEVIERVILLE, TN
SEVILLA PRIMARY SCHOOL, PHOENIX, AZ
SEWANEE ELEMENTARY, SEWANEE, TN
SEWARD COUNTY COMMUNITY COLLEGE, LIBERAL, KS
SEWARD ELEM COMMUNICATION ARTS AC, CHICAGO, IL
SEWARD ELEMENTARY, MINNEAPOLIS, MN
SEWARD MIDDLE SCHOOL, SEWARD, AK
SEWELL ELEMENTARY SCHOOL, SEWELL, NJ
SEWELL-ANDERSON, LYNN, MA
SEWELLS POINT ELEMENTARY, NORFOLK, VA
SEXTON MOUNTAIN ELEMENTARY SCHOOL, BEAVERTON, OR
SEYMOUR COMMUNITY CHRISTIAN SCHOOL, SEYMOUR, TN
SEYMOUR ELEMENTARY SCHOOL, FLUSHING, MI
SEYMOUR ELEMENTARY SCHOOL, PAYSON, IL
SEYMOUR ELEMENTARY SCHOOL, SEYMOUR, IA
SEYMOUR H S, SEYMOUR, TX
SEYMOUR HIGH SCHOOL, SEYMOUR, TN
SEYMOUR MIDDLE SCHOOL, SEYMOUR, IN
SEYMOUR SENIOR HIGH SCHOOL, SEYMOUR, IN
SEYMOUR-REDDING ELEMENTARY SCHOOL, SEYMOUR, IN
SGT HENRY JOHNSON YOUTH LEADERSHIP ACADEMY, SOUTH KORTRIGHT, NY
SGT MANUEL CHACON MIDDLE, MERCEDES, TX
SGT WILLIAM G HARRELL MIDDLE, MERCEDES, TX
SH'OR YOSHUV RABBINICAL COLLEGE, LAWRENCE, NY
SHAARE SHAMAYIM PRESCHOOL AND KINDERGARTEN, PHILADELPHIA, PA
SHABBONA ELEM SCHOOL, BOURBONNAIS, IL
SHACKELFORD EL, WAXAHACHIE, TX
SHACKELFORD ELEMENTARY, MODESTO, CA
SHACKELFORD J H, ARLINGTON, TX
SHADE ELEMENTARY SCHOOL, WEST CARROLLTON, OH
SHADE GAP EL SCH, SHADE GAP, PA
SHADE MOUNTAIN CHRISTIAN SCHOOL, MIFFLIN, PA
SHADES CAHABA ELEMENTARY SCHOOL, HOMEWOOD, AL
SHADES MOUNTAIN ELEMENTARY SCHOOL, HOOVER, AL
SHADES VALLEY HIGH SCHOOL, IRONDALE, AL
SHADEVILLE ELEMENTARY SCHOOL, CRAWFORDVILLE, FL
SHADOW FOREST EL, KINGWOOD, TX
SHADOW HILLS ELEMENTARY, ALPINE, CA
SHADOW HILLS ELEMENTARY, BOISE, ID
SHADOW HILLS ENGINEERING AND DESIGN MAGNET ACADEMY, PALMDALE, CA
SHADOW HILLS HIGH, INDIO, CA
SHADOW LAKE ELEMENTARY, MAPLE VALLEY, WA
SHADOW RIDGE HIGH SCHOOL, LAS VEGAS, NV
SHADOW RIDGE MIDDLE, FLOWER MOUND, TX
SHADOW ROCK ELEMENTARY SCHOOL, LITHONIA, GA
SHADOW VALLEY SCHOOL, OGDEN, UT
SHADOWLAWN ELEMENTARY SCHOOL, GREEN COVE SPRINGS, FL
SHADOWLAWN ELEMENTARY SCHOOL, NAPLES, FL
SHADY ACRES SCHOOL, ORWELL, OH
SHADY DELL EARLY CHILDHOOD CTR, SPRINGFIELD, MO
SHADY GROVE EL, KELLER, TX
SHADY GROVE EL SCH, AMBLER, PA
SHADY GROVE ELEMENTARY, GLEN ALLEN, VA
SHADY GROVE ELEMENTARY, MEMPHIS, TN
SHADY GROVE ELEMENTARY SCHOOL, MONROE, LA
SHADY HILLS ELEMENTARY SCHOOL, SPRING HILL, FL
SHADY LANE ELEMENTARY, MENOMONEE FALLS, WI
SHADY LANE SCHOOL, FONDA, NY
SHADY MAPLES SCHOOL, CANEYVILLE, KY
SHADY MEADOW SCHOOL, SPRING MILLS, PA
SHADY OAKS EL, HURST, TX
SHADY OAKS SCHOOL, CORDOVA, TN
SHADY POINT PUBLIC SCHOOL, SHADY POINT, OK
SHADY POND SCHOOL, ALTOONA, PA
SHADY SPRING HIGH, SHADY SPRING, WV
SHADYBEND ELEMENTARY, HACIENDA HEIGHTS, CA
SHADYSIDE HIGH SCHOOL, SHADYSIDE, OH
SHAFFER ELEMENTARY, ATWATER, CA
SHAFFER ELEMENTARY SCHOOL, LITTLETON, CO
SHAFTSBURY ELEMENTARY SCHOOL, SHAFTSBURY, VT
SHAJARA TAYYIBA SCHOOL, CANTON, MI
SHAKAMAK ELEMENTARY SCHOOL, JASONVILLE, IN
SHAKER LANE ELEMENTARY, LITTLETON, MA
SHAKER ROAD ELEMENTARY SCHOOL, ALBANY, NY
SHAKER ROAD SCHOOL, CONCORD, NH
SHAKOPEE AREA CATHOLIC SCHOOL, SHAKOPEE, MN
SHALER AREA EL SCH, GLENSHAW, PA
SHALER AREA HS, PITTSBURGH, PA
SHALOM MENNONITE SCHOOL, TERRE HILL, PA
SHALVA HIGH SCHOOL, LAKEWOOD, NJ
SHAMOKIN AREA EL SCH, COAL TOWNSHIP, PA
SHAMROCK, WOBURN, MA
SHANDIN HILLS MIDDLE, SAN BERNARDINO, CA
SHANNOCK VALLEY EL SCH, RURAL VALLEY, PA
SHANNON ELEMENTARY, PINOLE, CA
SHANNON ELEMENTARY SCHOOL, MONTICELLO, IA
SHANNON RANCH ELEMENTARY, VISALIA, CA
SHANNONDALE ELEMENTARY, KNOXVILLE, TN
SHANTI KIDS PRESCHOOL, HIALEAH, FL
SHARON ACADEMY, SHARON, VT
SHARON COMMUNITY, SHARON, WI
SHARON ELEMENTARY, CLIFTON FORGE, VA
SHARON ELEMENTARY, STATESVILLE, NC
SHARON ELEMENTARY SCHOOL, NEWBURGH, IN
SHARON ELEMENTARY SCHOOL, SUWANEE, GA
SHARON HIGH, SHARON, MA
SHARON J HARDY ELEMENTARY SCHOOL, SOUTH LYON, MI
SHARON MIDDLE, SHARON, MA
SHARON SHANNON EL, ROCKWALL, TX
SHARON SPRINGS CENTRAL SCHOOL, SHARON SPRINGS, NY
SHARON-MUTUAL HS, MUTUAL, OK
SHARONVILLE ELEMENTARY SCHOOL, CINCINNATI, OH
SHARP ACADEMY, LUBBOCK, TX
SHARP DEAN SCHOOL OF CONTINUING STUDIES INC, ANNISTON, AL
SHARPE ELEMENTARY SCHOOL, BENTON, KY
SHARPS ACADEMY OF HAIR STYLING, GRAND BLANC, MI
SHARPSBURG ELEMENTARY, SHARPSBURG, MD
SHARPSBURG ELEMENTARY SCHOOL, NORWOOD, OH
SHARPSTOWN H S, HOUSTON, TX
SHARSWOOD GEORGE SCH, PHILADELPHIA, PA
SHARYLAND NORTH J H, MCALLEN, TX
SHASTA ELEMENTARY, SHASTA, CA
SHASTA ELEMENTARY SCHOOL, KLAMATH FALLS, OR
SHATEKON ELEMENTARY SCHOOL, CLIFTON PARK, NY
SHATTUCK MIDDLE, NEENAH, WI
SHAVER ELEMENTARY SCHOOL, PORTLAND, OR
SHAW ACADEMY, LAURINBURG, NC
SHAW ISLAND ELEMENTARY SCHOOL, SHAW ISLAND, WA
SHAW ROAD ELEMENTARY, PUYALLUP, WA
SHAWANO HIGH, SHAWANO, WI
SHAWANOE ELEM, SHAWNEE MISSION, KS
SHAWMONT SCH, PHILADELPHIA, PA
SHAWNEE COMMUNITY COLLEGE, ULLIN, IL
SHAWNEE ELEMENTARY, HURON, OH
SHAWNEE ELEMENTARY SCHOOL, XENIA, OH
SHAWNEE HEIGHTS HIGH, TECUMSEH, KS
SHAWNEE HIGH SCHOOL, SPRINGFIELD, OH
SHAWNEE HS, SHAWNEE, OK
SHAWNEE MISSION NORTH HIGH, SHAWNEE MISSION, KS
SHAWNEE MISSION SOUTH HIGH, SHAWNEE MISSION, KS
SHAWNEE TRAIL EL, FRISCO, TX
SHAWSHEEN ELEMENTARY SCHOOL, GREELEY, CO
SHAWSHEEN SCHOOL, ANDOVER, MA
SHAWSWICK ELEMENTARY SCHOOL, BEDFORD, IN
SHEAD HIGH SCHOOL, EASTPORT, ME
SHEAR EARLY CHILDHOOD CENTER, REDFORD, MI
SHEARN EL, HOUSTON, TX
SHEBOYGAN LEADERSHIP ACADEMY, SHEBOYGAN, WI
SHEEHY ELEMENTARY SCHOOL, TAMPA, FL
SHEEP-HARNEY ELEMENTARY, ELIZABETH CITY, NC
SHEFFIELD ELEMENTARY, LYNCHBURG, VA
SHEFFIELD ELEMENTARY, MEMPHIS, TN
SHEFFIELD ELEMENTARY SCHOOL, TURNERS FALLS, MA
SHELBY HIGH, SHELBY, NC
SHELBY HIGH SCHOOL, SHELBY, MI
SHELBY JUNIOR HIGH SCHOOL, SHELBY TOWNSHIP, MI
SHELBY MIDDLE SCHOOL, SHELBY, OH
SHELBY VALLEY DAY TREATMENT, PIKEVILLE, KY
SHELBYVILLE CENTRAL HIGH SCHOOL, SHELBYVILLE, TN
SHELBYVILLE HIGH SCHOOL, SHELBYVILLE, IL
SHELBYVILLE MIDDLE SCHOOL, SHELBYVILLE, IN
SHELDON ELEMENTARY SCHOOL, SHELDON, VT
SHELLEY SCHOOL, AMERICAN FORK, UT
SHELTER ISLAND SCHOOL, SHELTER ISLAND, NY
SHELTER ROCK ELEMENTARY SCHOOL, MANHASSET, NY
SHELTERS ELEMENTARY SCHOOL, SOUTHGATE, MI
SHELTERWOOD ACADEMY, INDEPENDENCE, MO
SHELTON ELEMENTARY SCHOOL, GOLDEN, CO
SHELTON ELEMENTARY SCHOOL, SHELTON, NE
SHELTON HIGH SCHOOL, SHELTON, CT
SHELTON STATE COMMUNITY COLLEGE, TUSCALOOSA, AL
SHELTON VALLEY CHRISTIAN SCHOOL, SHELTON, WA
SHENANDOAH ELEM., ST LOUIS, MO
SHENANDOAH HIGH SCHOOL, SARAHSVILLE, OH
SHENANDOAH HIGH SCHOOL, SHENANDOAH, IA
SHENANDOAH UNIVERSITY, WINCHESTER, VA
SHENANDOAH UNIVERSITY - NORTHERN VIRGINIA CAMPUS-SCHOLAR PLAZA, LEESBURG, VA
SHENANDOAH VALLEY GOVERNOR'S SCHOOL, FISHERSVILLE, VA
SHENANDOAH VALLEY JUVENILE DETENTION HOME, STAUNTON, VA
SHENENDEHOWA HIGH SCHOOL, CLIFTON PARK, NY
SHEPARD BLVD. ELEM., COLUMBIA, MO
SHEPARD HILL ELEMENTARY SCHOOL, PLAINFIELD, CT
SHEPARD HILLS ELEMENTARY, OAK CREEK, WI
SHEPARDSON ELEMENTARY SCHOOL, FORT COLLINS, CO
SHEPHERD GLEN SCHOOL, HAMDEN, CT
SHEPHERD H S, SHEPHERD, TX
SHEPHERD OF THE COAST LUTHERAN SCHOOL, FORT LAUDERDALE, FL
SHEPHERD OF THE VALLEY LUTHERAN SCHOOL, MENASHA, WI
SHEPHERD OF THE VALLEY SCHOOL, MORENO VALLEY, CA
SHEPHERDSTOWN ELEMENTARY SCHOOL, SHEPHERDSTOWN, WV
SHEPTON H S, PLANO, TX
SHERBURNE-EARLVILLE ELEMENTARY SCHOOL, SHERBURNE, NY
SHERIDAN ACADEMY, MERIDIAN, ID
SHERIDAN ELEMENTARY SCHL, SHERIDAN, MT
SHERIDAN ELEMENTARY SCHOOL, SHERIDAN, IN
SHERIDAN HIGH SCHOOL, SHERIDAN, IN
SHERIDAN HIGH SCHOOL, SHERIDAN, WY
SHERIDAN HILLS ELEMENTARY, RICHFIELD, MN
SHERIDAN JUNIOR HIGH SCHOOL, SHERIDAN, WY
SHERIDAN PREPARATORY ACADEMY, ALBANY, NY
SHERIDAN SCHOOL, WASHINGTON, DC
SHERIFF'S DETENTION CENTER, LAND O LAKES, FL
SHERMAN COUNTY SCHOOL, MORO, OR
SHERMAN EL, HOUSTON, TX
SHERMAN ELEMENTARY SCHOOL, MANSFIELD, OH
SHERMAN HIGH SCHOOL, SETH, WV
SHERMAN HIGH SCHOOL, SHERMAN, NY
SHERMAN MIDDLE, MADISON, WI
SHERMAN OAKS CENTER FOR ENRICH, RESEDA, CA
SHERMAN SCHOOL, FAIRFIELD, CT
SHERMAN SCHOOL, SHERMAN, CT
SHERMAN VIEW SCHOOL, LOYSVILLE, PA
SHERRILLS FORD ELEMENTARY, SHERRILLS FORD, NC
SHERWOOD CENTER FOR THE EXCEPTINOAL CHILD, KANSAS CITY, MO
SHERWOOD CHRISTIAN ACADEMY, ALBANY, GA
SHERWOOD EL, HOUSTON, TX
SHERWOOD ELEM SCHOOL, HIGHLAND PARK, IL
SHERWOOD ELEM., CREIGHTON, MO
SHERWOOD ELEMENTARY, EDMONDS, WA
SHERWOOD ELEMENTARY, SALINAS, CA
SHERWOOD ELEMENTARY SCHOOL, CINCINNATI, OH
SHERWOOD ELEMENTARY SCHOOL, SHERWOOD, AR
SHERWOOD GLOBAL STUDIES ACADEMY, GRAND RAPIDS, MI
SHERWOOD HEIGHTS ELEMENTARY SCH, AUBURN, ME
SHERWOOD HIGH, SANDY SPRING, MD
SHERWOOD HIGH SCHOOL, SHERWOOD, OR
SHETTLER SCHOOL, MUSKEGON, MI
SHEVACH HIGH SCHOOL, FLUSHING, NY
SHEYENNE VALLEY AREA CAREER & TECH CENTER, VALLEY CITY, ND
SHICKLEY HIGH SCHOOL, SHICKLEY, NE
SHIDLER HS, SHIDLER, OK
SHIELD OF FAITH CHRISTIAN SCHOOL, EL MONTE, CA
SHIELDS MIDDLE SCHOOL, CHICAGO, IL
SHIELDS VALLEY 7-8, CLYDE PARK, MT
SHILOH CHARTER, MODESTO, CA
SHILOH CHRISTIAN ACADEMY, BILLINGS, MT
SHILOH CHRISTIAN ACADEMY, EL PASO, TX
SHILOH CHRISTIAN SCHOOL, BISMARK, ND
SHILOH CHRISTIAN SCHOOL, CONRATH, WI
SHILOH CHRISTIAN SCHOOL, TAHLEQUAH, OK
SHILOH ELEMENTARY SCHOOL, SHILOH, IL
SHILOH ELEMENTARY SCHOOL, SNELLVILLE, GA
SHILOH MIDDLE SCHOOL, PARMA, OH
SHILOH PARK ELEM SCHOOL, ZION, IL
SHILOH POINT ELEMENTARY, CUMMING, GA
SHINING STAR CHRISTIAN SCHOOL-FAIRVIEW, MILWAUKEE, WI
SHINING STARS PRESCHOOL, RIO RANCHO, NM
SHIOCTON ELEMENTARY, SHIOCTON, WI
SHIPLEY'S CHOICE ELEMENTARY, MILLERSVILLE, MD
SHIPMAN ELEM SCHOOL, SHIPMAN, IL
SHIRLAND C C SCHOOL, SHIRLAND, IL
SHIRLEY AVENUE ELEMENTARY, RESEDA, CA
SHIRLEY JOHNSON/GRETNA PARK ELEMENTARY SCHOOL, GRETNA, LA
SHIRLEY ROMINGER INTERMEDIATE, WINTERS, CA
SHIVE ELEMENTARY, ROCKWELL, NC
SHIWI TS'ANA ELEMENTARY, ZUNI, NM
SHOAL CREEK ADVENTIST SCHOOL, SHARPSBURG, GA
SHOEMAKER ELEMENTARY SCHOOL, GRAND ISLAND, NE
SHOESMITH ELEM SCHOOL, CHICAGO, IL
SHOHOLA EL SCH, SHOHOLA, PA
SHONTO PREPARATORY TECHNOLOGY HIGH SCHOOL, SHONTO, AZ
SHOOP MATH-SCI TECH ELEM ACADEMY, CHICAGO, IL
SHORE ACRES ELEMENTARY, BAY POINT, CA
SHORE COUNTRY DAY SCHOOL, BEVERLY, MA
SHORE ROAD SCHOOL, BELLMORE, NY
SHOREHAM ELEMENTARY SCHOOL, SHOREHAM, VT
SHORELAND ELEMENTARY SCHOOL, TOLEDO, OH
SHORELAND LUTHERAN HIGH SCHOOL, SOMERS, WI
SHORELINE ACADEMY, TAFT, TX
SHORELINE COMMUNITY COLLEGE, SHORELINE, WA
SHOREWOOD HIGH SCHOOL, SHORELINE, WA
SHORT AVENUE ELEMENTARY, LOS ANGELES, CA
SHORT EL, ARLINGTON, TX
SHOSHONE ELEMENTARY, SHOSHONE, CA
SHOSHONE ELEMENTARY SCHOOL, SHOSHONE, ID
SHOSHONE-BANNOCK SCHOOL DISTRICT NO 512, FORT HALL, ID
SHOW LOW JUNIOR HIGH SCHOOL, SHOW LOW, AZ
SHOW-ME CHRISTIAN SCHOOL, LA MONTE, MO
SHOW-ME CHRISTIAN YOUTH HOME, CAMDENTON, MO
SHOWERS OF BLESSINGS CHRISTIAN ACADEMY, FORT LAUDERDALE, FL
SHREVE ELEMENTARY SCHOOL, SHREVE, OH
SHREVEWOOD ELEMENTARY, FALLS CHURCH, VA
SHREWSBURY CHRISTIAN ACADEMY, NEW FREEDOM, PA
SHREWSBURY EL SCH, SHREWSBURY, PA
SHREWSBURY MONTESSORI SCHOOL, SHREWSBURY, MA
SHREWSBURY MOUNTAIN SCHOOL, CUTTINGSVILLE, VT
SHUE-MEDILL MIDDLE SCHOOL, NEWARK, DE
SHUFORD ELEMENTARY, CONOVER, NC
SHUGART EL, GARLAND, TX
SHULER ELEMENTARY, CLIVE, IA
SHULL EARLY LEARNING CENTER, PECULIAR, MO
SHUNGNAK SCHOOL, SHUNGNAK, AK
SIAM LEARNING CENTER, ELIZABETHTON, TN
SIBLEY ELEMENTARY, NORTHFIELD, MN
SIBLEY SCHOOL, GRAND RAPIDS, MI
SIBLEY-OCHEYEDAN MIDDLE SCHOOL, SIBLEY, IA
SIDE BY SIDE CHARTER SCHOOL, NORWALK, CT
SIDNEY C. HUNTINGTON ELEMENTARY, GALENA, AK
SIDNEY GUTIERREZ MIDDLE, ROSWELL, NM
SIDNEY HIGH SCHOOL, SIDNEY, NE
SIDNEY MIDDLE SCHOOL, SIDNEY, OH
SIDNEY SCHOOL, SIDNEY, TX
SIEBERT EL, EASTLAND, TX
SIEBERT ELEMENTARY SCHOOL, COLUMBUS, OH
SIEDEN PRAIRIE ELEMENTARY SCHOOL, MATTESON, IL
SIERRA AVENUE ELEMENTARY, OROVILLE, CA
SIERRA COLLEGE - NEVADA COUNTY CAMPUS, GRASS VALLEY, CA
SIERRA COLLEGE - ROSEVILLE GATEWAY CAMPUS, ROSEVILLE, CA
SIERRA COMMUNITY DAY-EAST, LOYALTON, CA
SIERRA ELEMENTARY, ALAMOGORDO, NM
SIERRA HIGH, WHITTIER, CA
SIERRA LINDA ELEMENTARY, OXNARD, CA
SIERRA LOWER SCHOOL, SACAMENTO, CA
SIERRA MIDDLE, LAS CRUCES, NM
SIERRA MIDDLE, RIVERSIDE, CA
SIERRA MIDDLE, STOCKTON, CA
