"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,14,0,0,0,14,0,56,84
Lawrence,14,1,0,83,29,0,41,168
Lewis,1,1,3,2,1,25,12,45
Lincoln,8,10,3,0,28,43,20,112
Loudon,11,15,9,1,24,65,21,146
Macon,43,0,0,0,27,67,11,148
Madison Annex,11,1,0,0,2,13,8,35
Madison CJC,64,16,0,4,73,134,101,392
Madison PF,13,9,0,0,15,20,18,75
Marion,4,16,0,0,17,50,12,99
Marshall,29,3,0,0,23,40,11,106
Maury,31,29,0,0,66,104,30,260
McMinn,34,0,8,0,52,108,30,232
McNairy,20,0,0,0,7,21,31,79
Meigs,9,1,0,0,0,31,26,67
Monroe,70,20,1,7,59,89,45,291
Montgomery Jail,14,1,0,7,50,269,68,409
Montgomery Workhouse,2,4,0,0,10,19,1,36
Moore,0,5,0,0,6,6,4,21
Morgan,2,0,0,0,29,23,16,70
Obion,30,6,2,64,7,21,16,146
Overton,41,1,2,0,27,20,28,119
Perry,11,0,2,0,1,23,13,50
Pickett (closed),0,0,0,0,0,0,0,0
Polk,76,0,2,2,10,30,11,131
Putnam,101,16,12,0,38,11,28,206
Rhea,46,26,0,1,44,106,56,279
Roane,19,9,15,3,17,66,43,172
Robertson,83,10,0,0,63,126,48,330
Rutherford,48,26,0,0,55,473,69,671
Rutherford Work Center,0,56,0,0,38,0,0,94
Scott,67,0,0,0,8,47,26,148
Sequatchie,16,7,0,0,5,58,15,101
Sevier Jail,12,7,0,0,3,74,34,130
Sevier Annex,9,8,0,0,34,104,67,222
Shelby CJC,28,7,312,67,4,2101,128,2647
Shelby SCCC,79,830,394,0,60,0,0,1363
Smith,26,3,0,0,24,20,16,89
Stewart,12,0,0,0,16,19,11,58
Sullivan,63,35,0,0,64,407,71,640
Sullivan Extension,16,18,0,0,41,145,56,276
Kingsport City,0,0,0,0,0,0,2,2
Sumner,43,42,0,0,117,330,64,596
Tipton,13,20,0,0,37,82,56,208
Trousdale,10,0,0,0,5,7,6,28
Unicoi Jail (M),18,3,0,0,5,24,10,60
Unicoi Annex (F),12,0,2,0,0,1,3,18
Union,1,0,2,1,0,6,60,70
Van Buren,0,7,0,0,15,16,10,48
Warren,31,25,15,0,32,51,60,214
"Washington Det, Center",104,14,10,83,147,161,85,604
Washington WH,0,0,0,0,0,0,0,0
Wayne,55,0,5,10,19,35,11,135
Weakley,27,9,0,0,14,13,11,74
White,6,9,8,0,57,21,16,117
Williamson,32,3,3,0,65,86,50,239
Wilson,55,25,3,7,95,168,102,455
