"",,,Other,Federal,,Pre-,Pre-,Total
Lawrence,7,0,0,88,17,0,50,162
Lewis,1,1,4,0,1,22,9,38
Lincoln,8,9,2,0,27,36,35,117
Loudon,3,10,6,1,34,93,16,163
Macon,47,0,0,0,14,54,50,165
Madison Annex,2,3,0,0,6,11,11,33
Madison CJC,84,11,0,3,66,135,74,373
Madison PF,12,10,0,0,17,17,14,70
Marion,5,13,0,0,27,55,23,123
Marshall,26,5,0,0,40,35,19,125
Maury,22,22,0,0,65,106,26,241
McMinn,31,0,10,0,41,116,30,228
McNairy,17,0,0,0,12,19,41,89
Meigs,13,0,1,0,0,39,25,78
Monroe,57,14,2,3,42,113,37,268
Montgomery Jail,3,3,0,7,28,255,66,362
Montgomery Workhouse,1,8,0,0,13,2,0,24
Moore,0,9,0,0,7,5,2,23
Morgan,5,0,0,0,15,12,24,56
Obion,30,12,4,62,5,13,19,145
Overton,38,1,3,3,22,24,30,121
Perry,14,0,1,0,3,20,21,59
Pickett (closed),0,0,0,0,0,0,0,0
Polk,60,4,0,0,12,44,7,127
Putnam,81,18,8,0,65,72,42,286
Rhea,47,17,0,2,40,100,52,258
Roane,11,3,28,2,20,78,53,195
Robertson,71,7,0,0,63,128,63,332
Rutherford,58,28,0,0,62,511,71,730
Rutherford Work Center,0,56,0,0,31,0,0,87
Scott,70,0,0,0,6,45,23,144
Sequatchie,13,5,0,0,8,56,21,103
Sevier Jail,19,6,0,0,5,62,30,122
Sevier Annex,11,13,0,0,32,120,93,269
Shelby CJC,25,14,308,53,11,2059,122,2592
Shelby SCCC,81,867,0,0,77,0,0,1025
Smith,30,6,0,0,13,22,20,91
Stewart,13,0,0,0,14,27,13,67
Sullivan,50,33,0,0,56,350,70,559
Sullivan Extension,8,24,0,0,47,137,54,270
Kingsport City,0,0,0,0,0,2,5,7
Sumner,35,38,0,0,124,340,38,575
Tipton,3,15,0,0,40,69,50,177
Trousdale,7,1,0,0,8,2,8,26
Unicoi Jail (M),22,0,5,0,3,16,12,58
Unicoi Annex (F),12,0,0,0,0,9,1,22
Union,2,0,4,0,4,0,54,64
Van Buren,0,8,0,0,8,8,10,34
Warren,28,21,32,0,36,63,59,239
"Washington Det, Center",89,6,12,64,130,181,77,559
Washington WH,0,0,0,0,0,0,0,0
Wayne,62,1,4,8,17,24,10,126
Weakley,24,13,0,0,11,18,15,81
White,11,6,12,0,47,27,7,110
Williamson,15,4,5,0,64,99,60,247
Wilson,45,24,2,1,111,165,73,421
