"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,110,14,16,0,38,94,108,380
Bedford,11,0,0,3,33,31,89,167
Bedford Workhouse,13,4,0,0,37,0,2,56
Benton,17,1,3,25,24,32,32,134
Bledsoe,47,0,0,0,17,30,12,106
Blount,150,17,0,124,63,166,137,657
Bradley,121,16,32,51,115,141,64,540
Campbell,172,40,12,0,17,92,27,360
Cannon,3,4,0,0,11,20,12,50
Carroll,51,17,0,2,36,23,12,141
Carter,34,10,2,40,83,118,75,362
Cheatham,31,1,0,4,31,65,37,169
Chester,26,7,0,0,15,29,12,89
Claiborne,107,12,0,1,48,50,34,252
Clay,6,2,0,0,2,4,3,17
Cocke Jail,4,8,0,0,13,21,34,80
Cocke Annex,15,16,0,0,13,24,38,106
Coffee Annex,0,0,0,0,0,0,0,0
Coffee,58,33,0,0,38,83,142,354
Crockett,0,0,5,2,2,32,8,49
Cumberland,44,11,0,7,68,65,17,212
Davidson CJC,0,0,0,0,0,0,0,0
Davidson HDC,4,1,34,8,59,142,57,305
Davidson CDC,9,11,97,24,159,338,45,683
Davidson MCC,19,0,29,10,18,250,13,339
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),32,585,24,31,55,94,37,858
Decatur,15,0,0,0,5,31,6,57
DeKalb,3,2,0,0,20,21,47,93
Dickson,97,3,0,0,85,160,58,403
Dyer,56,0,0,0,37,107,25,225
Dyer Annex,40,2,0,0,5,0,0,47
Fayette,53,0,3,10,10,22,53,151
Fentress,53,0,0,7,63,9,61,193
Franklin,28,50,0,0,49,72,36,235
Gibson,106,7,0,0,55,71,42,281
Giles,34,32,0,0,47,52,26,191
Grainger Co. Det. Center,6,25,5,7,8,24,7,82
Greene Det. Center,27,9,0,9,28,113,34,220
Greene WH,35,4,0,0,97,49,31,216
Grundy,28,10,0,0,5,31,21,95
Hamblen,65,4,0,0,157,134,91,451
Hamilton Jail,0,0,38,55,16,287,142,538
Hamilton - Silverdale CCA,41,50,46,69,329,227,227,989
Hancock,53,22,0,0,13,9,16,113
Hardeman,21,9,5,0,9,58,14,116
Hardin,25,10,0,1,22,47,39,144
Hawkins,64,0,0,0,91,73,46,274
Haywood,0,28,0,19,15,62,14,138
Henderson,91,13,14,4,60,62,18,262
Henry,46,26,0,0,40,44,23,179
Hickman,11,0,0,0,31,59,3,104
Houston,14,0,4,0,1,2,14,35
Humphreys,15,2,0,0,36,61,22,136
Jackson,28,0,21,15,3,15,40,122
Jefferson,49,19,0,2,15,78,80,243
Jefferson WH,26,9,0,0,15,1,0,51
Johnson,32,9,4,0,2,33,36,116
Johnson City (F),0,83,0,0,0,0,0,83
Knox - KCJ,46,5,3,5,6,132,9,206
Knox - RDWDF,175,23,32,78,47,625,246,1226
Knox - KCWRC,14,2,1,5,8,43,26,99
Lake,19,0,0,1,8,15,7,50
Lauderdale,36,11,0,0,14,0,65,126
Lawrence,11,3,0,166,28,0,121,329
Lewis,0,5,1,1,9,22,22,60
Lincoln,24,20,0,0,47,52,28,171
Loudon,9,7,1,1,28,111,28,185
Macon,43,0,0,0,48,93,69,253
Madison Annex,14,1,0,0,12,11,14,52
Madison CJC,78,22,0,2,110,120,151,483
Madison PF,10,8,0,0,38,10,15,81
Marion,5,15,0,0,21,70,27,138
Marshall,54,15,0,0,49,27,10,155
Maury,60,34,0,0,92,108,49,343
McMinn,79,0,22,0,73,93,67,334
McNairy,10,2,0,1,8,24,41,86
Meigs,20,4,0,0,4,33,21,82
Monroe,59,30,2,2,83,72,37,285
Montgomery,62,3,0,15,66,288,115,549
Montgomery Workhouse,18,13,0,0,37,0,0,68
Moore,10,6,3,0,3,7,2,31
Morgan,11,0,0,0,30,9,20,70
Obion,27,12,6,77,4,25,18,169
Overton,28,3,4,0,31,29,28,123
Perry,24,0,2,16,1,3,4,50
Pickett,0,0,0,0,0,0,0,0
Polk,94,7,0,0,13,52,13,179
Putnam,124,4,20,0,111,72,81,412
Rhea,20,12,0,4,14,40,56,146
Roane,70,29,0,0,77,83,94,353
Robertson,246,22,0,0,110,121,62,561
Rutherford,240,27,0,0,73,438,84,862
Rutherford Work Center,0,117,0,0,52,0,0,169
Scott,59,0,0,0,13,40,35,147
Sequatchie,19,12,0,0,7,41,20,99
Sevier Jail,48,12,0,0,16,117,48,241
Sevier Annex,55,14,0,0,51,121,127,368
Shelby CJC,65,8,247,71,9,2282,161,2843
Shelby SCCC,434,1307,0,0,249,0,0,1990
Smith,50,8,0,0,37,28,19,142
Stewart,46,0,0,0,13,27,10,96
Sullivan,130,43,0,0,84,383,106,746
Sullivan Extension,33,12,0,0,60,113,56,274
Kingsport City,0,0,0,0,0,2,2,4
Sumner,131,87,0,0,200,351,80,849
Tipton,43,15,0,0,63,64,48,233
Trousdale,18,0,0,0,13,10,17,58
Unicoi Jail (M),22,0,0,0,4,27,21,74
Unicoi Annex (F),24,0,0,0,2,6,8,40
Union,7,1,4,4,3,17,69,105
Van Buren,0,16,0,7,10,15,16,64
Warren,30,27,10,0,103,20,61,251
"Washington Det, Center",77,27,9,62,205,184,71,635
Washington WH,20,0,2,0,17,0,0,39
Wayne,52,12,3,4,35,36,12,154
Weakley,30,14,0,0,14,13,26,97
White,18,11,14,0,92,23,28,186
Williamson,68,9,0,0,131,137,47,392
Wilson,103,30,19,60,125,100,137,574
