"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,123,4,9,0,21,88,35,280
Bedford,15,6,8,2,34,29,59,153
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,32,8,0,5,2,20,7,74
Bledsoe,59,0,6,0,4,24,2,95
Blount,108,8,0,119,18,92,21,366
Bradley,68,12,20,58,21,92,7,278
Campbell,169,14,10,0,13,18,12,236
Cannon,4,8,0,0,13,6,8,39
Carroll,37,9,0,1,14,28,12,101
Carter,20,5,0,42,41,96,7,211
Cheatham,20,1,0,0,15,26,8,70
Chester,28,3,0,1,2,26,2,62
Claiborne,75,10,0,0,19,34,16,154
Clay,1,0,0,0,0,4,1,6
Cocke Jail,2,2,0,0,1,5,7,17
Cocke Annex,6,12,1,0,6,20,18,63
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,51,21,0,0,16,85,94,267
Crockett,2,0,6,0,6,22,1,37
Cumberland,33,7,0,3,38,46,11,138
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,0,3,22,25,27,278,9,364
Davidson HDC,0,2,13,7,10,137,14,183
Davidson CDC,0,2,38,32,49,268,23,412
Davidson MCC,0,0,0,0,0,0,0,0
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),43,462,14,57,10,79,12,677
Decatur,12,6,0,2,0,20,1,41
DeKalb,3,2,0,0,4,13,15,37
Dickson,55,0,0,0,36,131,22,244
Dyer,24,5,0,0,6,71,24,130
Dyer Annex,31,1,0,0,1,0,0,33
Fayette,23,1,1,10,1,28,14,78
Fentress,37,4,0,2,24,23,25,115
Franklin,21,33,0,0,22,39,3,118
Gibson,84,6,0,0,47,58,38,233
Giles,23,28,0,0,15,39,7,112
Grainger Co. Det. Center,2,8,1,3,6,10,2,32
Greene Det. Center,12,3,0,14,22,80,19,150
Greene WH,16,4,0,0,52,23,6,101
Grundy,17,5,0,0,2,17,11,52
Hamblen,25,0,0,0,73,70,28,196
Hamilton Jail,0,0,8,81,9,199,70,367
Hamilton - Silverdale CCA,49,16,78,0,162,234,98,637
Hancock,,,,,,,,0
Hardeman,14,3,2,0,3,44,5,71
a,,,,,,,,
Hardin,23,7,0,2,5,57,14,108
Hawkins,52,0,0,0,38,59,20,169
Haywood,0,15,0,6,5,54,8,88
Henderson,65,11,14,3,19,48,11,171
Henry,36,26,0,0,15,48,14,139
Hickman,7,0,1,0,16,46,0,70
Houston,12,1,5,0,5,3,4,30
Humphreys,10,1,0,0,3,34,20,68
Jackson,30,0,19,10,2,10,15,86
Jefferson,24,27,0,0,9,44,22,126
Jefferson WH,9,,0,0,0,0,0,9
Johnson,30,5,2,0,8,12,12,69
Johnson City (F),72,0,0,0,0,0,0,72
Knox - KCJ,36,11,11,6,4,126,5,199
Knox - RDWDF,126,8,16,73,25,348,61,657
Knox - KCWRC,19,0,3,1,6,35,5,69
Lake,11,0,0,1,3,11,4,30
Lauderdale,23,4,0,0,6,0,29,62
Lawrence,13,1,0,93,49,0,17,173
Lewis,0,2,4,1,1,22,5,35
Lincoln,14,12,2,0,16,43,15,102
Loudon,7,3,3,2,6,47,8,76
Macon,38,0,0,0,23,49,17,127
Madison Annex,13,3,0,0,6,11,4,37
Madison CJC,76,17,0,2,66,106,41,308
Madison PF,11,3,0,0,26,14,20,74
Marion,8,12,0,0,15,14,11,60
Marshall,36,6,0,0,48,57,20,167
Maury,38,33,0,0,51,77,7,206
McMinn,68,0,9,0,28,66,15,186
McNairy,17,0,0,0,6,12,10,45
Meigs,10,11,0,0,4,21,4,50
Monroe,52,11,0,0,27,56,20,166
Montgomery Jail,50,7,0,9,35,284,54,439
Montgomery Workhouse,15,4,0,5,15,0,0,39
Moore,0,1,15,0,2,2,0,20
Morgan,5,0,0,0,8,3,15,31
Obion,38,3,6,69,2,8,10,136
Overton,18,0,1,0,1,2,2,24
Perry,19,0,0,2,2,15,4,42
Pickett (closed),0,0,0,0,0,0,0,0
Polk,107,6,0,0,0,29,4,146
Putnam,103,11,9,0,59,43,14,239
Rhea,9,12,0,1,0,24,19,65
Roane,12,31,0,0,43,0,65,151
Robertson,223,13,0,0,56,87,40,419
Rutherford,213,34,0,0,44,332,31,654
Rutherford Work Center,0,108,0,0,34,0,0,142
Scott,59,0,0,0,2,54,17,132
Sequatchie,17,4,0,0,3,28,12,64
Sevier Jail,34,15,0,0,11,66,3,129
Sevier Annex,53,48,0,0,49,67,4,221
Shelby CJC,49,6,205,30,3,1737,55,2085
Shelby SCCC,387,1142,0,0,92,0,0,1621
Smith,46,2,0,0,5,14,1,68
Stewart,37,0,1,0,6,27,9,80
Sullivan,96,30,0,0,27,234,41,428
Sullivan Extension,24,7,0,0,25,91,28,175
Kingsport City,0,0,0,0,0,0,2,2
Sumner,125,52,0,0,68,290,30,565
Tipton,2,10,0,0,20,33,27,92
Trousdale,3,0,0,0,0,3,3,9
Unicoi Jail (M),15,0,1,0,1,23,7,47
Unicoi Annex (F),15,0,1,0,3,4,2,25
Union,3,0,4,0,1,13,35,56
Van Buren,0,11,1,4,16,2,1,35
Warren,23,26,4,0,49,19,38,159
"Washington Det, Center",49,9,10,46,75,174,41,404
Washington WH,6,1,3,0,11,2,1,24
Wayne,56,6,5,8,6,35,10,126
Weakley,29,13,0,0,7,12,5,66
White,12,1,3,0,40,25,11,92
Williamson,20,6,0,0,7,12,5,50
Wilson,83,23,12,2,66,45,105,336
