"",,,Other Federal,,,Pre-   Pre-,,Total
"",TDOC,Local,Conv. &,,Conv.,trial trial,,Jail
FACILITY,Backup Felons Felons** Others,,,,Misd. Felony Misd.,,,Pop.
Anderson,26,13,19 0,,53,140 101,,352
Bedford,57,1,12 0,,29,23 44,,166
Bedford Workhouse,25,2,2 0,,63,1 1,,94
Benton,2,16,0 0,,30,26 5,,79
Bledsoe,66,0,1 0,,6,12 5,,90
Blount,64,29,0 81,,57,137 67,,435
Bradley,73,12,47 78,,27,98 28,,363
Campbell,37,18,1 0,,27,131 41,,255
Cannon,9,0,0 2,,20,16 29,,76
Carroll,30,12,0 0,,30,21 20,,113
Carter,12,9,1 0,,67,102 34,,225
Cheatham,24,0,0 0,,35,22 16,,97
Chester,10,5,0 1,,8,18 4,,46
Claiborne,76,12,0 45,,13,80 9,,235
Clay,3,3,0 0,,6,7 2,,21
Cocke,14,18,0 0,,16,49 19,,116
Coffee,39,33,0 0,,89,16 82,,259
Crockett,9,2,6 0,,17,18 12,,64
Cumberland,42,8,0 3,,32,38 24,,147
Davidson CJC,10,5,48 86,,57,396 90,,692
Davidson HDC,16,3,79 12,,85,284 24,,503
Davidson CWC (CDC-M),1,20,87 97,,285,238 35,,763
Davidson CDC (F),1,9,29 37,,109,135 35,,355
Davidson CCA,0,1126,0 0,,0,0 0,,1126
Decatur,4,5,2 0,,14,3 0,,28
DeKalb,0,12,12 7,,13,14 21,,79
Dickson,52,13,0 1,,119,102 24,,311
Dyer,47,13,23 0,,57,55 11,,206
Fayette,19,2,12 10,,4,32 15,,94
Fentress,3,7,0 0,,4,8 14,,36
Franklin,22,36,6 0,,39,43 16,,162
Gibson,36,13,7 0,,58,69 39,,222
Giles,20,11,0 29,,0,22 7,,89
Grainger Co. Det. Center,46,8,0 0,,8,23 17,,102
Greene,78,18,0 49,,140,99 53,,437
Grundy,12,0,0 0,,12,34 7,,65
Hamblen,29,82,0 0,,106,90 34,,341
Hamilton Jail,3,0,49 84,,10,271 91,,508
Hamilton - Silverdale CCA,0,0,18 78,,353,0 449,,898
Hancock,0,28,31 0,,29,8 24,,120
Hardeman,14,6,9 0,,14,45 7,,95
Hardin,38,3,6 0,,24,41 18,,130
Hawkins,88,68,0 0,,43,0 5,,204
Haywood,0,41,0,1,21,37,13,113
Henderson,42,3,26,0,4,24,18,117
Henry,55,15,0,0,52,46,24,192
Hickman,12,36,5,0,12,36,13,114
Houston,1,8,3,0,0,12,1,25
Humphreys,6,0,1,4,3,33,18,65
Jackson,64,7,12,0,16,7,15,121
Jefferson,93,12,0,0,35,12,78,230
Johnson,59,5,0,1,12,32,16,125
Johnson City (F),0,103,0,0,0,0,0,103
Knox - KCJ,9,0,0,23,21,71,52,176
Knox - KCDF,47,28,6,73,68,440,188,850
Knox - KCWRC,2,7,0,2,21,16,8,56
Lake,0,32,0,0,4,19,5,60
Lauderdale,54,0,11,0,13,0,59,137
Lawrence,41,3,25,2,61,57,26,215
Lewis,7,0,3,0,11,23,11,55
Lincoln,36,9,5,0,44,8,17,119
Loudon,7,0,1,1,57,56,29,151
Macon,52,0,0,0,13,32,35,132
Madison,37,10,0,10,103,102,126,388
Madison PF,8,11,0,1,48,17,8,93
Marion,15,9,0,0,18,14,38,94
Marshall,36,12,1,0,40,20,7,116
Maury,80,31,0,0,81,94,50,336
McMinn,46,6,4,0,53,79,55,243
McNairy,28,1,0,0,1,24,35,89
Meigs,3,0,11,0,9,39,17,79
Monroe,35,5,0,0,27,72,20,159
Montgomery,74,6,0,0,38,217,36,371
Montgomery Workhouse,0,8,0,0,50,0,0,58
Moore,7,3,0,0,8,2,0,20
Morgan,5,0,4,0,8,17,14,48
Obion,30,10,13,52,10,12,24,151
Overton,50,10,0,0,29,37,30,156
Perry,14,0,0,0,3,16,5,38
Pickett,2,8,0,0,2,10,6,28
Polk,82,22,0,0,18,35,7,164
Putnam,53,8,0,0,89,48,45,243
Rhea,16,9,0,7,5,46,32,115
Roane,19,3,0,0,61,47,66,196
Robertson,62,50,0,0,82,148,34,376
Rutherford,179,50,0,0,195,207,135,766
Rutherford Work Center,0,0,0,0,192,0,0,192
Scott,46,19,0,9,8,24,23,129
Sequatchie,59,17,0,0,2,37,10,125
Sevier,88,68,0,0,63,151,91,461
Shelby CJC,17,16,60,58,24,2286,230,2691
Shelby SCCC,201,1891,0,0,377,2,0,2471
Smith,55,13,10,0,10,22,9,119
Stewart,0,0,1,0,7,12,2,22
Sullivan,151,18,1,0,151,291,92,704
Kingsport City,0,0,0,0,0,1,6,7
Sumner,31,74,0,0,174,286,58,623
Tipton,18,14,0,0,37,54,73,196
Trousdale,15,1,0,0,3,3,15,37
Unicoi,22,0,0,1,12,20,13,68
Union,17,7,0,3,0,30,14,71
Van Buren,7,0,0,3,13,3,6,32
Warren,34,30,0,0,143,58,23,288
Washington,80,4,19,65,146,196,55,565
Wayne,28,4,7,0,30,13,11,93
Weakley,30,3,0,0,16,16,11,76
White,79,14,0,0,67,16,41,217
Williamson,52,10,1,1,124,101,36,325
Wilson,50,13,6,0,85,77,67,298
