"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,92,10,15,0,30,116,112,375
Bedford,6,2,5,4,51,18,82,168
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,25,6,4,0,10,24,29,98
Bledsoe,64,2,0,0,10,45,11,132
Blount,105,6,0,135,27,148,77,498
Bradley,47,7,35,100,147,34,47,417
Campbell,158,18,8,0,21,20,32,257
Cannon,10,6,0,0,10,11,20,57
Carroll,33,7,0,2,16,32,13,103
Carter,32,6,0,40,66,115,34,293
Cheatham,9,3,0,4,11,26,40,93
Chester,31,3,0,0,11,22,12,79
Claiborne,75,12,0,0,27,30,40,184
Clay,4,1,0,0,2,9,4,20
Cocke Jail,13,22,2,0,7,30,28,102
Cocke Annex,7,6,0,0,2,11,24,50
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,32,2,0,0,12,65,162,273
Crockett,0,0,4,0,5,20,6,35
Cumberland,26,1,0,3,39,51,30,150
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,6,9,42,69,34,343,34,537
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,2,1,57,3,56,373,24,516
Davidson CDF,0,26,15,5,20,84,15,165
Davidson MCC (closed 4/24),0,0,0,0,0,0,0,0
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),19,335,5,29,0,0,0,388
Decatur,10,7,0,0,3,20,5,45
DeKalb,6,4,0,0,16,8,12,46
Dickson,42,1,0,0,53,125,24,245
Dyer,23,6,0,0,7,69,25,130
Dyer Annex,34,2,0,0,2,0,0,38
Fayette,17,0,1,21,3,18,47,107
Fentress,0,35,5,5,32,39,38,154
Franklin,15,25,0,0,44,44,44,172
Gibson,81,1,0,0,47,66,63,258
Giles,12,18,0,0,29,40,27,126
Grainger Co. Det. Center,7,6,8,1,18,29,12,81
Greene Det. Center,21,2,0,8,28,96,27,182
Greene WH,9,5,0,0,63,32,16,125
Grundy,14,10,0,0,4,31,19,78
Hamblen,33,12,0,0,88,78,63,274
Hamilton Jail,0,0,15,121,16,208,122,482
Hamilton - Silverdale CCA,18,25,86,0,244,237,158,768
Hancock,70,15,0,0,12,1,10,108
Hardeman,12,5,3,0,3,54,10,87
Hardin,24,5,0,2,6,54,25,116
Hawkins,54,0,0,0,46,62,33,195
Haywood,0,18,0,4,14,58,15,109
Henderson,61,8,9,4,40,60,21,203
Henry,40,15,0,0,19,47,30,151
Hickman,10,0,1,0,13,61,0,85
Houston,5,0,6,1,2,7,3,24
Humphreys,9,6,0,0,17,58,21,111
Jackson,26,0,21,5,2,16,36,106
Jefferson,19,20,0,1,8,45,60,153
Jefferson WH,14,6,0,0,2,0,0,22
Johnson,26,6,1,0,14,25,25,97
Johnson City (F),73,0,0,0,0,0,0,73
Knox - KCJ,37,2,6,13,7,127,6,198
Knox - RDWDF,113,14,15,85,24,422,186,859
Knox - KCWRC,19,3,5,5,8,57,16,113
Lake,9,0,0,0,8,13,7,37
