"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,105,8,4,0,16,100,100,333
Bedford,37,5,14,2,44,18,64,184
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,37,9,2,0,13,23,15,99
Bledsoe,0,4,0,67,5,44,7,127
Blount,102,4,0,136,42,141,76,501
Bradley,70,9,23,64,32,130,63,391
Campbell,165,22,10,0,18,17,20,252
Cannon,7,3,0,0,18,11,16,55
Carroll,29,12,0,2,10,23,11,87
Carter,42,7,0,61,53,101,21,285
Cheatham,27,2,0,2,5,27,9,72
Chester,27,2,0,2,5,27,9,72
Claiborne,85,7,0,0,21,35,26,174
Clay,2,1,0,0,3,4,9,19
Cocke Jail,2,7,0,1,1,20,9,40
Cocke Annex,8,5,0,2,2,23,20,60
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,47,6,0,0,8,81,141,283
Crockett,2,0,6,0,3,28,11,50
Cumberland,44,4,0,2,33,41,23,147
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,0,0,43,27,35,350,35,490
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,0,1,73,49,59,306,16,504
Davidson CDF,3,29,20,6,13,88,15,174
Davidson MCC (closed 4/24),0,0,0,0,0,0,0,0
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),64,339,3,66,2,0,0,474
Decatur,12,3,0,0,6,21,8,50
DeKalb,1,6,0,1,6,10,9,33
Dickson,53,0,0,0,57,101,21,232
Dyer,24,5,0,0,6,69,26,130
Dyer Annex,35,3,0,0,3,0,0,41
Fayette,24,0,2,17,1,19,39,102
Fentress,0,38,3,6,41,29,21,138
Franklin,29,27,0,0,39,36,17,148
Gibson,84,2,0,0,55,90,62,293
Giles,31,11,0,0,15,46,16,119
Grainger Co. Det. Center,9,5,2,2,6,25,4,53
Greene Det. Center,22,3,0,19,25,90,26,185
Greene WH,9,2,0,0,59,25,16,111
Grundy,16,3,0,0,5,29,17,70
Hamblen,37,7,0,0,70,63,39,216
Hamilton Jail,0,0,16,95,9,153,95,368
Hamilton - Silverdale CCA,44,20,82,0,162,261,158,727
Hancock,58,19,0,0,12,1,5,95
Hardeman,17,4,3,0,3,57,11,95
Hardin,25,5,0,2,8,61,17,118
Hawkins,52,0,0,0,56,69,32,209
Haywood,0,16,0,5,6,51,19,97
Henderson,68,6,10,4,31,68,13,200
Henry,43,20,0,0,22,34,14,133
Hickman,2,12,0,0,2,48,0,64
Houston,10,0,0,1,4,7,5,27
Humphreys,11,2,0,0,13,55,25,106
Jackson,24,0,16,5,3,8,26,82
Jefferson,21,10,0,0,11,60,54,156
Jefferson WH,14,3,0,0,8,0,0,25
Johnson,27,6,1,0,16,20,14,84
Johnson City (F),70,0,0,0,0,0,0,70
Knox - KCJ,62,11,14,6,4,103,2,202
Knox - RDWDF,163,7,30,57,24,358,95,734
Knox - KCWRC,23,2,4,2,7,29,10,77
Lake,10,0,0,0,3,13,1,27
