"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,122,4,11,0,16,80,57,290
Bedford,15,6,8,2,34,29,59,153
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,33,4,2,5,2,24,14,84
Bledsoe,65,0,4,0,2,35,5,111
Blount,93,11,0,117,20,105,44,390
Bradley,59,11,27,58,19,112,17,303
Campbell,178,25,10,0,13,14,12,252
Cannon,6,6,0,0,11,6,9,38
Carroll,32,10,0,1,13,20,8,84
Carter,23,7,0,56,37,99,35,257
Cheatham,19,1,0,0,11,30,11,72
Chester,28,1,0,2,3,23,5,62
Claiborne,82,4,0,0,16,48,35,185
Clay,2,0,0,0,0,5,8,15
Cocke Jail,2,5,0,2,17,6,7,39
Cocke Annex,2,6,0,1,4,18,15,46
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,49,13,0,0,11,83,126,282
Crockett,2,0,6,0,4,24,8,44
Cumberland,38,4,0,5,30,40,24,141
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,0,2,47,26,33,355,26,489
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,0,1,43,45,60,329,31,509
Davidson CDF,2,31,12,4,14,88,11,162
Davidson MCC (closed 4/24),0,0,0,0,0,0,0,0
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),52,386,6,53,0,5,3,505
Decatur,11,9,0,0,1,26,6,53
DeKalb,4,2,0,0,0,5,11,22
Dickson,56,2,0,0,35,112,23,228
Dyer,23,5,0,0,5,71,24,128
Dyer Annex,36,3,0,0,4,0,0,43
Fayette,21,1,1,10,1,31,25,90
Fentress,38,2,0,6,20,20,35,121
Franklin,17,24,0,0,20,40,7,108
Gibson,0,0,0,0,0,0,0,0
Giles,27,18,0,0,18,31,13,107
Grainger Co. Det. Center,4,6,0,3,7,17,2,39
Greene Det. Center,20,3,0,17,16,79,32,167
Greene WH,11,4,0,1,64,19,8,107
Grundy,17,3,0,0,2,33,9,64
Hamblen,26,2,0,0,76,87,46,237
Hamilton Jail,0,0,12,78,5,163,84,342
Hamilton - Silverdale CCA,50,20,80,0,165,254,146,715
Hancock,52,20,0,0,12,4,14,102
Hardeman,14,2,2,0,3,47,6,74
Hardin,27,8,0,3,6,50,10,104
Hawkins,49,0,0,0,41,63,12,165
Haywood,0,15,0,5,4,48,9,81
Henderson,66,7,9,4,21,55,12,174
Henry,42,31,0,0,20,32,13,138
Hickman,6,0,0,0,17,50,0,73
Houston,12,1,6,1,2,4,5,31
Humphreys,10,0,0,0,6,47,20,83
Jackson,26,0,20,10,1,8,19,84
Jefferson,22,10,0,0,3,38,39,112
Jefferson WH,12,7,0,0,1,0,0,20
Johnson,29,2,1,0,8,12,15,67
Johnson City (F),67,0,0,0,0,0,0,67
Knox - KCJ,46,11,10,4,7,115,5,198
Knox - RDWDF,133,7,27,73,18,376,75,709
Knox - KCWRC,16,2,5,1,1,30,4,59
Lake,10,0,0,0,1,12,0,23
