"",,,Other,Federal,,Pre-,Pre-,Total
Lawrence,11,0,0,81,13,0,46,151
Lewis,0,1,5,2,2,17,12,39
Lincoln,8,7,3,0,7,41,15,81
Loudon,9,15,6,0,23,65,13,131
Macon,25,0,0,0,20,57,52,154
Madison Annex,11,0,0,0,10,6,7,34
Madison CJC,94,16,0,2,60,110,85,367
Madison PF,16,5,0,0,25,18,11,75
Marion,9,11,0,0,18,49,12,99
Marshall,39,5,0,0,19,44,8,115
Maury,28,28,0,0,83,109,33,281
McMinn,46,0,10,0,22,74,23,175
McNairy,18,0,0,1,9,33,20,81
Meigs,12,4,0,0,0,31,11,58
Monroe,49,10,3,2,23,78,55,220
Montgomery Jail,22,11,0,5,55,255,64,412
Montgomery Workhouse,10,4,0,6,13,6,0,39
Moore,0,12,2,0,2,3,0,19
Morgan,2,0,0,0,12,15,17,46
Obion,17,15,0,60,2,17,19,130
Overton,59,3,1,0,18,13,18,112
Perry,15,1,0,0,3,17,15,51
Pickett (closed),0,0,0,0,0,0,0,0
Polk,91,6,0,0,5,34,6,142
Putnam,74,20,14,0,30,64,35,237
Rhea,16,7,0,0,13,52,30,118
Roane,5,13,19,4,18,47,17,123
Robertson,211,9,0,0,40,106,49,415
Rutherford,130,25,0,0,41,447,53,696
Rutherford Work Center,0,82,0,0,31,0,0,113
Scott,66,0,0,0,8,31,22,127
Sequatchie,20,2,0,0,4,46,19,91
Sevier Jail,16,15,0,0,11,60,8,110
Sevier Annex,25,30,0,0,32,71,47,205
Shelby CJC,19,8,300,47,9,1928,88,2399
Shelby SCCC,286,905,0,0,73,0,0,1264
Smith,58,1,0,0,9,34,10,112
Stewart,21,0,1,0,9,25,7,63
Sullivan,48,20,0,0,55,271,58,452
Sullivan Extension,24,6,0,0,30,86,53,199
Kingsport City,0,0,0,0,0,2,6,8
Sumner,104,43,0,0,64,283,38,532
Tipton,7,6,0,0,44,54,44,155
Trousdale,7,2,0,0,4,9,7,29
Unicoi Jail (M),24,0,0,0,7,17,13,61
Unicoi Annex (F),13,0,0,0,0,3,2,18
Union,3,0,5,1,1,13,32,55
Van Buren,0,14,0,0,9,7,8,38
Warren,30,29,0,0,44,44,46,193
"Washington Det, Center",86,11,6,41,117,185,63,509
Washington WH,0,0,0,0,0,0,0,0
Wayne,54,0,1,13,9,49,4,130
Weakley,19,11,0,0,6,12,12,60
White,9,10,4,0,55,30,11,119
Williamson,31,6,6,0,56,104,36,239
Wilson,60,19,13,2,81,157,71,403
