"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,24,13,0,0,7,0,56,100
Lawrence,21,0,0,100,28,1,35,185
Lewis,0,1,5,2,8,17,16,49
Lincoln,8,15,1,0,21,32,26,103
Loudon,4,4,5,0,30,90,24,157
Macon,41,0,0,0,29,50,49,169
Madison Annex,4,2,0,0,8,9,4,27
Madison CJC,40,8,0,5,48,168,115,384
Madison PF,6,8,0,0,22,18,17,71
Marion,3,11,0,0,22,75,21,132
Marshall,24,7,0,0,49,37,12,129
Maury,21,25,0,0,95,88,36,265
McMinn,30,0,15,0,64,126,52,287
McNairy,27,0,0,0,15,30,22,94
Meigs,10,0,2,0,0,39,20,71
Monroe,54,14,10,1,54,114,41,288
Montgomery Jail,7,2,0,8,45,254,69,385
Montgomery Workhouse,0,5,0,0,10,8,0,23
Moore,0,14,0,1,6,2,2,25
Morgan,0,0,0,0,28,6,30,64
Obion,23,9,2,60,3,33,19,149
Overton,49,2,5,1,20,23,41,141
Perry,12,0,1,0,5,23,12,53
Pickett (closed),0,0,0,0,0,0,0,0
Polk,76,5,0,0,7,42,9,139
Putnam,72,21,8,0,67,76,63,307
Rhea,38,14,2,1,26,96,46,223
Roane,12,6,19,3,28,62,47,177
Robertson,23,17,0,0,51,123,42,256
Rutherford,48,29,0,0,40,426,66,609
Rutherford Work Center,0,55,0,0,33,0,0,88
Scott,68,0,0,0,10,51,26,155
Sequatchie,13,6,0,0,9,58,16,102
Sevier Jail,21,10,0,0,14,71,10,126
Sevier Annex,9,26,0,0,43,92,62,232
Shelby CJC,10,6,275,47,6,1920,115,2379
Shelby SCCC,89,769,0,0,85,0,0,943
Smith,36,5,0,0,11,19,19,90
Stewart,20,0,0,0,8,24,7,59
Sullivan,15,40,0,0,76,302,61,494
Sullivan Extension,7,21,0,0,46,99,50,223
Kingsport City,0,0,0,0,0,0,4,4
Sumner,34,45,0,0,121,303,62,565
Tipton,9,4,0,0,60,50,35,158
Trousdale,7,3,0,0,6,4,9,29
Unicoi Jail (M),18,0,3,0,4,26,9,60
Unicoi Annex (F),14,0,1,0,2,8,4,29
Union,0,0,3,0,3,2,50,58
Van Buren,0,10,0,0,24,9,10,53
Warren,22,21,18,0,34,55,68,218
"Washington Det, Center",55,13,8,63,141,181,61,522
Washington WH,8,0,0,0,5,0,0,13
Wayne,52,0,3,18,21,23,16,133
Weakley,20,11,0,0,14,15,16,76
White,9,12,14,0,69,31,22,157
Williamson,10,9,0,0,78,85,49,231
Wilson,31,21,5,7,115,195,84,458
