"",,,Other,Federal,,Pre-,Pre-,Total
Lawrence,8,0,0,91,15,0,50,164
Lewis,0,0,6,1,3,14,15,39
Lincoln,5,6,2,0,6,40,20,79
Loudon,8,6,4,0,32,92,12,154
Macon,32,0,0,0,15,40,49,136
Madison Annex,11,0,0,0,8,6,6,31
Madison CJC,69,16,0,2,62,125,65,339
Madison PF,14,5,0,0,17,20,12,68
Marion,10,11,0,0,21,34,12,88
Marshall,38,4,0,0,31,34,7,114
Maury,24,32,0,0,79,100,30,265
McMinn,50,0,10,0,21,88,11,180
McNairy,19,0,0,0,11,33,35,98
Meigs,16,5,0,0,0,20,12,53
Monroe,58,10,3,2,31,67,38,209
Montgomery Jail,27,9,0,9,45,275,81,446
Montgomery Workhouse,10,4,0,6,17,7,0,44
Moore,0,14,0,0,3,3,0,20
Morgan,2,0,0,0,10,11,12,35
Obion,15,16,1,60,2,11,14,119
Overton,61,1,2,0,18,15,24,121
Perry,15,1,0,0,4,22,15,57
Pickett (closed),0,0,0,0,0,0,0,0
Polk,103,6,0,0,7,43,4,163
Putnam,71,14,12,0,25,60,27,209
Rhea,11,11,0,0,23,36,33,114
Roane,9,14,0,16,21,19,59,138
Robertson,217,12,0,0,47,100,37,413
Rutherford,130,27,0,0,37,433,52,679
Rutherford Work Center,0,0,81,0,24,0,0,105
Scott,54,0,0,0,6,37,23,120
Sequatchie,22,3,0,0,8,40,14,87
Sevier Jail,18,19,0,0,12,61,11,121
Sevier Annex,32,24,0,0,25,84,59,224
Shelby CJC,19,2,285,44,3,1898,71,2322
Shelby SCCC,289,909,0,0,84,0,0,1282
Smith,51,1,0,0,9,39,9,109
Stewart,20,2,0,0,7,19,4,52
Sullivan,49,35,0,0,48,286,62,480
Sullivan Extension,20,9,0,0,25,72,49,175
Kingsport City,0,0,0,0,0,1,3,4
Sumner,85,50,0,0,68,265,40,508
Tipton,8,11,0,0,38,42,39,138
Trousdale,8,2,0,0,4,7,8,29
Unicoi Jail (M),21,0,0,0,2,17,24,64
Unicoi Annex (F),16,0,0,0,0,5,1,22
Union,2,0,6,0,1,18,41,68
Van Buren,0,10,0,0,12,7,3,32
Warren,25,25,0,0,41,49,57,197
"Washington Det, Center",69,6,7,41,123,185,63,494
Washington WH,0,0,0,0,0,0,0,0
Wayne,44,0,2,14,9,53,0,122
Weakley,21,9,0,0,10,16,11,67
White,9,10,5,0,56,22,21,123
Williamson,32,8,8,0,46,100,38,232
Wilson,56,19,10,0,82,165,68,400
