"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,88,12,8,0,26,102,108,344
Bedford,29,3,10,2,51,15,78,188
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,25,6,4,0,10,24,29,98
Bledsoe,69,0,2,0,9,47,1,128
Blount,128,8,0,130,35,137,93,531
Bradley,63,6,28,57,67,154,42,417
Campbell,158,21,8,0,19,23,35,264
Cannon,8,4,0,0,11,11,19,53
Carroll,40,10,0,1,19,17,12,99
Carter,27,7,0,34,65,102,39,274
Cheatham,16,2,0,1,9,30,34,92
Chester,35,0,0,1,8,29,4,77
Claiborne,75,5,0,0,17,37,52,186
Clay,4,1,0,0,1,5,6,17
Cocke Jail,6,3,0,0,0,10,15,34
Cocke Annex,15,22,0,0,9,24,35,105
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,33,2,0,0,13,77,129,254
Crockett,0,0,4,0,4,73,6,87
Cumberland,20,3,0,8,44,62,16,153
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,2,7,43,81,30,367,36,566
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,1,3,59,0,55,357,17,492
Davidson CDF,1,27,16,9,19,88,22,182
Davidson MCC (closed 4/24),0,0,0,0,0,0,0,0
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),50,333,6,73,0,0,0,462
Decatur,11,4,0,0,5,25,3,48
DeKalb,6,0,0,0,5,6,24,41
Dickson,50,1,0,0,63,107,19,240
Dyer,25,6,0,0,9,77,33,150
Dyer Annex,39,3,0,0,4,0,0,46
Fayette,24,0,1,22,3,30,39,119
Fentress,0,42,0,8,37,43,34,164
Franklin,19,25,0,0,49,45,29,167
Gibson,79,3,0,0,43,76,69,270
Giles,17,18,0,0,23,46,24,128
Grainger Co. Det. Center,8,2,4,1,13,29,17,74
Greene Det. Center,27,5,0,7,21,93,25,178
Greene WH,13,4,0,0,76,23,6,122
Grundy,17,4,0,0,4,36,22,83
Hamblen,29,3,0,0,87,64,87,270
Hamilton Jail,0,0,7,132,13,190,116,458
Hamilton - Silverdale CCA,26,25,73,0,168,260,168,720
Hancock,39,3,0,0,38,38,3,121
Hardeman,21,8,4,0,5,57,8,103
Hardin,31,7,0,1,14,45,14,112
Hawkins,42,0,0,0,54,75,25,196
Haywood,0,16,0,5,9,63,15,108
Henderson,73,10,11,4,38,55,17,208
Henry,43,18,0,0,18,51,19,149
Hickman,4,8,0,0,2,75,56,145
Houston,7,0,2,0,2,6,7,24
Humphreys,6,2,0,0,19,61,26,114
Jackson,21,0,19,5,1,13,34,93
Jefferson,22,14,0,1,16,54,53,160
Jefferson WH,15,8,0,0,2,0,0,25
Johnson,28,10,1,0,19,21,13,92
Johnson City (F),65,0,0,0,0,0,0,65
Knox - KCJ,43,5,8,6,4,101,4,171
Knox - RDWDF,179,10,27,77,26,433,160,912
Knox - KCWRC,34,3,10,0,4,38,11,100
Lake,9,0,0,0,7,15,5,36
