"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,43,9,16,0,48,102,113,331
Bedford,11,3,1,1,63,28,78,185
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,9,2,0,2,3,18,24,58
Bledsoe,56,0,0,0,4,11,12,83
Blount,61,11,0,101,56,119,84,432
Bradley,26,9,23,53,30,178,49,368
Campbell,98,11,7,0,21,57,45,239
Cannon,6,6,0,0,5,3,19,39
Carroll,20,19,0,0,12,34,17,102
Carter,17,17,0,49,111,65,18,277
Cheatham,7,1,0,2,31,34,32,107
Chester,27,5,0,0,7,18,12,69
Claiborne,61,14,0,0,27,44,17,163
Clay,2,1,0,0,2,1,3,9
Cocke Jail,4,12,0,0,2,10,4,32
Cocke Annex,15,4,1,0,6,43,34,103
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,41,14,0,0,57,22,208,342
Crockett,2,4,10,1,6,27,9,59
Cumberland,28,2,0,4,41,81,15,171
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,2,34,39,53,17,392,38,575
Davidson HDC (closed),0,0,0,0,0,0,0,0
Davidson CDM,2,66,74,6,61,295,26,530
Davidson CDF,0,26,20,3,17,87,26,179
Davidson MCC,13,227,12,17,4,60,3,336
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),0,0,0,0,0,0,0,0
Decatur,8,17,0,0,6,28,6,65
DeKalb,5,0,0,0,14,45,5,69
Dickson,28,2,0,0,69,138,34,271
Dyer,35,10,0,0,19,75,29,168
Dyer Annex,26,6,0,0,7,0,0,39
Fayette,7,1,2,6,2,16,30,64
Fentress,0,26,8,4,25,29,25,117
Franklin,14,31,0,0,54,42,26,167
Gibson,64,3,0,0,51,74,72,264
Giles,5,24,0,0,11,40,10,90
Grainger Co. Det. Center,6,10,24,5,13,24,13,95
Greene Det. Center,19,6,0,12,48,79,33,197
Greene WH,12,2,0,0,92,21,19,146
Grundy,14,7,0,0,6,31,5,63
Hamblen,29,2,0,0,91,78,76,276
Hamilton Jail (closed 6/1/21),0,0,0,0,0,0,0,0
Hamilton - Silverdale CCA,1,0,67,105,31,488,343,1035
Hancock,49,16,0,0,3,19,17,104
Hardeman,13,7,5,0,3,40,14,82
Hardin,39,7,0,5,9,55,26,141
Hawkins,23,0,9,0,68,82,26,208
Haywood,0,18,0,1,4,38,6,67
Henderson,64,11,6,3,20,53,16,173
Henry,19,43,0,0,16,50,28,156
Hickman,4,1,0,0,6,42,0,53
Houston,7,0,7,2,2,8,6,32
Humphreys,11,9,0,0,6,50,13,89
Jackson,5,0,21,1,2,12,37,78
Jefferson,14,32,0,1,26,37,64,174
Jefferson WH,6,9,0,0,0,0,0,15
Johnson,3,8,3,0,6,22,26,68
Johnson City (F),57,0,0,0,0,0,0,57
Knox - KCJ,18,11,1,18,5,128,10,191
Knox - RDWDF,26,15,10,65,21,394,160,691
Knox - KCWRC,1,6,0,4,8,57,6,82
Lake,12,0,0,0,1,15,4,32
