"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,117,13,10,0,38,104,136,418
Bedford,12,1,3,3,35,34,79,167
Bedford Workhouse,11,4,0,0,48,0,1,64
Benton,17,1,4,31,8,28,32,121
Bledsoe,43,2,0,0,9,30,16,100
Blount,148,15,0,98,65,168,124,618
Bradley,110,20,34,48,132,144,69,557
Campbell,212,34,12,0,14,30,26,328
Cannon,5,5,0,0,19,21,6,56
Carroll,46,17,0,1,37,26,6,133
Carter,25,15,1,42,72,119,64,338
Cheatham,38,3,0,0,38,40,34,153
Chester,24,7,0,0,9,33,9,82
Claiborne,115,8,0,1,38,43,52,257
Clay,8,2,0,0,4,7,6,27
Cocke Jail,5,7,0,0,27,15,33,87
Cocke Annex,15,20,1,0,20,14,48,118
Coffee Annex,0,0,0,0,0,0,0,0
Coffee,65,38,0,0,63,88,128,382
Crockett,0,0,4,8,1,23,15,51
Cumberland,43,5,0,1,56,73,15,193
Davidson CJC,0,0,0,0,0,0,0,0
Davidson HDC,0,1,32,4,49,147,30,263
Davidson CDC,0,13,87,12,147,358,42,659
Davidson MCC,0,3,0,6,17,238,14,278
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),74,608,22,58,47,114,24,947
Decatur,14,0,0,0,7,37,7,65
DeKalb,3,2,0,0,21,19,45,90
Dickson,103,3,0,0,97,139,45,387
Dyer,54,0,0,0,33,110,22,219
Dyer Annex,41,1,0,0,2,0,0,44
Fayette,44,0,4,9,11,29,73,170
Fentress,61,0,0,6,58,7,58,190
Franklin,30,49,0,0,49,64,40,232
Gibson,102,7,0,0,45,79,63,296
Giles,30,31,0,0,51,49,19,180
Grainger Co. Det. Center,7,22,5,6,9,21,18,88
Greene Det. Center,28,8,0,12,26,105,30,209
Greene WH,36,7,0,0,80,37,24,184
Grundy,27,9,0,0,7,22,20,85
Hamblen,58,3,0,0,142,144,97,444
Hamilton Jail,0,0,31,60,15,280,146,532
Hamilton - Silverdale CCA,49,58,46,58,286,260,256,1013
Hancock,50,18,0,0,13,11,17,109
Hardeman,20,9,4,0,9,65,6,113
Hardin,31,13,0,1,20,44,36,145
Hawkins,63,2,0,0,83,73,43,264
Haywood,0,23,0,15,18,65,21,142
Henderson,99,16,13,3,59,59,32,281
Henry,40,29,0,0,32,56,19,176
Hickman,9,21,0,0,4,68,0,102
Houston,13,0,7,2,2,6,4,34
Humphreys,12,2,0,0,34,50,28,126
Jackson,34,0,20,20,4,15,41,134
Jefferson,51,17,0,3,23,70,73,237
Jefferson WH,20,12,0,0,10,0,0,42
Johnson,31,11,4,0,11,25,27,109
Johnson City (F),0,79,0,0,0,0,0,79
Knox - KCJ,54,5,2,5,7,130,6,209
Knox - RDWDF,179,25,26,68,36,648,241,1223
Knox - KCWRC,12,3,1,3,7,34,29,89
Lake,20,0,0,0,7,10,7,44
Lauderdale,42,7,0,0,7,0,62,118
Lawrence,13,0,0,169,26,0,116,324
Lewis,0,5,1,1,5,13,26,51
Lincoln,25,18,2,0,44,45,23,157
Loudon,26,14,5,3,34,68,32,182
Macon,44,0,0,0,38,76,83,241
Madison Annex,14,1,0,0,11,11,13,50
Madison CJC,79,22,0,2,110,122,153,488
Madison PF,12,8,0,0,32,13,16,81
Marion,3,20,0,0,23,56,21,123
Marshall,50,11,0,0,39,27,17,144
Maury,58,33,0,0,89,95,65,340
McMinn,84,0,21,0,77,132,73,387
McNairy,12,0,0,2,7,32,34,87
Meigs,17,7,0,0,5,39,23,91
Monroe,55,21,1,4,78,88,50,297
Montgomery,56,3,0,16,64,302,89,530
Montgomery Workhouse,20,11,0,0,29,0,0,60
Moore,10,5,3,0,8,6,0,32
Morgan,10,0,0,0,19,39,9,77
Obion,27,10,5,73,3,25,18,161
Overton,32,6,3,0,37,17,35,130
Perry,24,0,0,13,0,7,7,51
Pickett,0,0,0,0,0,0,0,0
Polk,100,5,0,0,12,57,15,189
Putnam,132,33,8,0,106,81,69,429
Rhea,16,9,0,5,6,44,74,154
Roane,56,19,0,0,71,98,110,354
Robertson,247,23,0,0,101,121,63,555
Rutherford,254,33,0,0,73,466,88,914
Rutherford Work Center,0,114,0,0,54,0,0,168
Scott,66,0,0,0,13,52,31,162
Sequatchie,20,15,0,0,13,47,20,115
Sevier Jail,49,14,0,0,18,86,34,201
Sevier Annex,58,29,0,0,42,118,114,361
Shelby CJC,84,13,252,58,5,2254,192,2858
Shelby SCCC,423,1282,0,0,229,0,0,1934
Smith,56,5,0,0,34,27,22,144
Stewart,41,0,0,0,20,34,4,99
Sullivan,131,38,0,0,54,386,94,703
Sullivan Extension,29,12,0,0,75,127,57,300
Kingsport City,0,0,0,0,0,2,4,6
Sumner,137,96,0,0,204,368,80,885
Tipton,49,14,0,0,66,69,48,246
Trousdale,18,0,0,0,10,11,7,46
Unicoi Jail (M),26,1,0,2,9,21,24,83
Unicoi Annex (F),31,1,0,0,0,4,5,41
Union,4,1,13,1,5,14,63,101
Van Buren,0,14,10,3,13,13,12,65
Warren,29,26,11,0,112,19,70,267
"Washington Det, Center",74,26,8,68,185,197,75,633
Washington WH,19,0,3,0,17,0,0,39
Wayne,49,8,4,10,34,38,10,153
Weakley,28,11,0,0,17,17,14,87
White,19,10,15,0,88,32,10,174
Williamson,60,6,1,0,144,135,58,404
Wilson,105,34,21,62,103,126,149,600
