"",,,Other,Federal,,Pre-,Pre-,Total
Lauderdale,15,2,0,0,12,0,58,87
Lawrence,10,1,0,87,25,0,45,168
Lewis,0,2,3,5,6,26,9,51
Lincoln,7,14,3,0,25,38,24,111
Loudon,9,10,7,0,22,87,16,151
Macon,44,0,0,0,17,60,38,159
Madison Annex,2,2,0,0,8,10,16,38
Madison CJC,80,11,0,4,64,129,48,336
Madison PF,12,9,0,0,14,18,23,76
Marion,5,13,0,0,9,69,16,112
Marshall,25,3,0,0,15,34,8,85
Maury,27,22,0,0,58,104,30,241
McMinn,30,0,6,0,52,118,35,241
McNairy,20,0,0,0,11,24,41,96
Meigs,10,1,0,0,0,25,22,58
Monroe,57,15,1,5,51,108,48,285
Montgomery Jail,7,5,0,6,25,262,57,362
Montgomery Workhouse,0,5,0,6,12,0,0,23
Moore,0,7,0,0,4,5,2,18
Morgan,3,0,0,0,23,15,38,79
Obion,28,2,2,60,6,16,24,138
Overton,41,2,3,0,30,19,30,125
Perry,14,0,2,0,3,23,11,53
Pickett (closed),0,0,0,0,0,0,0,0
Polk,74,0,2,0,8,29,7,120
Putnam,99,15,9,0,37,13,19,192
Rhea,46,21,0,3,35,118,63,286
Roane,20,10,15,3,13,60,41,162
Robertson,78,13,0,0,57,125,40,313
Rutherford,30,34,0,0,52,468,60,644
Rutherford Work Center,0,58,0,0,34,0,0,92
Scott,77,0,0,0,8,44,37,166
Sequatchie,15,12,0,0,3,58,15,103
Sevier Jail,11,7,0,0,4,60,25,107
Sevier Annex,15,13,0,0,31,108,75,242
Shelby CJC,7,1,295,51,5,2028,104,2491
Shelby SCCC,79,864,0,0,70,0,0,1013
Smith,30,5,0,0,30,18,35,118
Stewart,14,0,0,0,12,20,11,57
Sullivan,42,33,0,0,48,401,75,599
Sullivan Extension,14,16,0,0,35,134,56,255
Kingsport City,0,0,0,0,0,4,3,7
Sumner,37,44,0,0,98,314,45,538
Tipton,11,17,0,0,37,66,49,180
Trousdale,9,0,0,0,6,6,6,27
Unicoi Jail (M),18,0,0,0,4,31,13,66
Unicoi Annex (F),15,0,0,0,0,6,2,23
Union,0,0,4,3,3,4,57,71
Van Buren,0,10,0,0,7,13,16,46
Warren,31,23,16,0,34,45,48,197
"Washington Det, Center",98,10,11,72,131,163,95,580
Washington WH,0,0,0,0,0,0,0,0
Wayne,55,0,6,8,20,33,13,135
Weakley,25,6,0,0,16,15,17,79
White,3,9,8,0,48,27,19,114
Williamson,27,7,3,0,69,95,46,247
Wilson,49,21,2,3,100,164,102,441
