"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,99,15,9,0,25,95,111,354
Bedford,30,5,15,3,56,15,76,200
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,33,8,2,0,8,28,32,111
Bledsoe,69,0,3,0,5,39,4,120
Blount,114,8,0,135,45,135,93,530
Bradley,75,8,23,63,56,147,48,420
Campbell,159,21,8,0,19,23,13,243
Cannon,7,4,0,0,11,8,20,50
Carroll,42,8,0,1,13,27,11,102
Carter,40,9,0,33,40,110,50,282
Cheatham,19,2,0,1,11,37,24,94
Chester,31,2,0,1,6,27,7,74
Claiborne,72,5,0,0,22,41,29,169
Clay,4,2,0,0,3,5,6,20
Cocke Jail,3,4,0,1,1,5,20,34
Cocke Annex,10,11,0,1,2,30,20,74
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,36,5,0,0,12,71,149,273
Crockett,1,1,6,0,4,23,10,45
Cumberland,22,3,0,4,43,64,18,154
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,0,7,53,71,30,360,33,554
Davidson HDC (closed 5/31),0,0,0,0,0,0,0,0
Davidson CDM,0,4,66,1,58,306,18,453
Davidson CDF,0,26,18,5,16,97,25,187
Davidson MCC (closed 4/24),0,0,0,0,0,0,0,0
Davidson ORC (closed),0,0,0,0,0,0,0,0
Davidson CCA (MDF),72,327,2,64,0,0,0,465
Decatur,12,4,0,0,3,27,15,61
DeKalb,6,0,0,0,4,6,28,44
Dickson,45,1,0,0,52,113,25,236
Dyer,26,6,0,0,9,77,33,151
Dyer Annex,35,3,0,0,4,0,0,42
Fayette,24,0,2,17,1,19,39,102
Fentress,0,40,3,7,41,33,24,148
Franklin,21,20,0,0,40,48,33,162
Gibson,81,4,0,0,46,90,60,281
Giles,15,17,0,0,19,43,19,113
Grainger Co. Det. Center,6,3,4,4,4,20,12,53
Greene Det. Center,22,1,0,8,24,107,32,194
Greene WH,11,2,0,0,56,34,9,112
Grundy,19,4,0,0,4,38,13,78
Hamblen,29,5,0,0,100,72,49,255
Hamilton Jail,0,0,15,115,12,170,123,435
Hamilton - Silverdale CCA,36,20,70,0,159,248,152,685
Hancock,59,23,0,0,12,2,3,99
Hardeman,15,3,8,0,11,47,12,96
Hardin,30,7,0,1,14,46,14,112
Hawkins,48,0,0,0,60,80,32,220
Haywood,0,15,0,7,7,64,15,108
Henderson,79,9,9,5,34,56,17,209
Henry,47,22,0,0,20,41,21,151
Hickman,3,6,0,0,3,44,12,68
Houston,8,0,0,1,6,4,5,24
Humphreys,7,2,0,0,16,51,27,103
Jackson,20,0,18,7,2,11,28,86
Jefferson,20,25,0,2,10,64,41,162
Jefferson WH,12,3,0,0,3,0,0,18
Johnson,29,8,1,0,19,23,20,100
Johnson City (F),66,0,0,0,0,0,0,66
Knox - KCJ,52,3,12,9,5,114,6,201
Knox - RDWDF,150,9,27,52,22,389,151,800
Knox - KCWRC,34,2,8,1,7,48,7,107
Lake,12,0,0,0,5,18,9,44
